Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-05-06,26.15,26.15,26.15,26.15,100.0,,1.0
1996-05-07,27.05,28.55,27.05,28.55,200.0,0.09177820267686432,1.0
1996-05-08,30.75,30.75,30.75,30.75,300.0,0.07705779334500873,1.0
1996-05-09,31.0,31.0,31.0,31.0,200.0,0.008130081300812941,1.0
1996-05-24,31.0,31.0,31.0,31.0,100.0,0.0,1.0
1996-05-27,30.45,30.45,30.45,30.45,200.0,-0.01774193548387104,1.0
1996-05-31,29.0,29.0,28.0,28.0,200.0,-0.08045977011494254,1.0
1996-06-03,30.8,30.8,30.8,30.8,100.0,0.10000000000000009,1.0
1996-06-10,28.0,28.0,28.0,28.0,100.0,-0.09090909090909094,1.0
1996-06-12,27.5,27.5,27.5,27.5,200.0,-0.017857142857142905,1.0
1996-06-13,28.05,29.0,28.0,29.0,400.0,0.05454545454545445,1.0
1996-06-14,29.0,29.0,29.0,29.0,200.0,0.0,1.0
1996-06-17,29.0,29.0,29.0,29.0,200.0,0.0,1.0
1996-06-18,28.95,28.95,28.75,28.75,400.0,-0.008620689655172376,1.0
1996-06-19,28.5,28.75,28.5,28.75,400.0,0.0,1.0
1996-06-21,27.0,27.0,26.5,26.5,300.0,-0.07826086956521738,1.0
1996-06-24,27.75,27.75,27.75,27.75,100.0,0.04716981132075482,1.0
1996-06-25,27.5,27.5,27.5,27.5,100.0,-0.009009009009009028,1.0
1996-06-26,27.5,27.5,27.5,27.5,100.0,0.0,1.0
1996-06-28,27.5,27.5,27.5,27.5,400.0,0.0,1.0
1996-07-03,27.0,27.0,27.0,27.0,100.0,-0.018181818181818188,1.0
1996-07-04,26.0,26.0,26.0,26.0,100.0,-0.03703703703703709,1.0
1996-07-11,25.0,25.0,25.0,25.0,400.0,-0.038461538461538436,1.0
1996-07-16,24.0,24.0,24.0,24.0,100.0,-0.040000000000000036,1.0
1996-07-19,24.0,24.0,24.0,24.0,100.0,0.0,1.0
1996-07-22,24.0,24.0,24.0,24.0,100.0,0.0,1.0
1996-07-23,23.0,23.0,23.0,23.0,100.0,-0.04166666666666663,1.0
1996-07-24,24.0,24.0,24.0,24.0,500.0,0.04347826086956519,1.0
1996-07-25,22.0,22.0,22.0,22.0,500.0,-0.08333333333333337,1.0
1996-07-26,22.0,22.0,22.0,22.0,100.0,0.0,1.0
1996-07-29,22.0,22.0,22.0,22.0,700.0,0.0,1.0
1996-07-30,22.5,22.5,22.5,22.5,200.0,0.022727272727272707,1.0
1996-07-31,22.0,22.0,21.9,21.9,600.0,-0.026666666666666727,1.0
1996-08-01,23.25,23.25,23.25,23.25,200.0,0.06164383561643838,1.0
1996-08-06,23.75,23.75,23.75,23.75,100.0,0.021505376344086002,1.0
1996-08-07,22.5,22.5,22.5,22.5,100.0,-0.052631578947368474,1.0
1996-08-09,23.5,24.0,23.5,24.0,300.0,0.06666666666666665,1.0
1996-08-12,24.0,24.75,24.0,24.75,400.0,0.03125,1.0
1996-08-13,24.75,26.0,24.75,26.0,200.0,0.05050505050505061,1.0
1996-08-14,25.95,26.0,25.95,26.0,300.0,0.0,1.0
1996-08-16,25.25,25.25,25.25,25.25,300.0,-0.028846153846153855,1.0
1996-08-20,24.0,24.0,24.0,24.0,200.0,-0.04950495049504955,1.0
1996-08-23,23.0,23.0,23.0,23.0,200.0,-0.04166666666666663,1.0
1996-08-27,23.05,23.05,23.0,23.0,700.0,0.0,1.0
1996-08-30,22.0,25.2,22.0,25.2,200.0,0.09565217391304337,1.0
1996-09-02,26.9,26.9,26.9,26.9,200.0,0.06746031746031744,1.0
1996-09-03,28.0,28.0,26.0,26.0,200.0,-0.03345724907063197,1.0
1996-09-05,23.75,23.75,23.75,23.75,100.0,-0.08653846153846156,1.0
1996-09-24,22.5,22.5,22.5,22.5,500.0,-0.052631578947368474,1.0
1996-09-25,23.0,23.0,23.0,23.0,200.0,0.022222222222222143,1.0
1996-09-27,22.0,22.0,22.0,22.0,200.0,-0.04347826086956519,1.0
1996-10-01,20.0,20.0,20.0,20.0,100.0,-0.09090909090909094,1.0
1996-10-03,18.5,18.5,18.5,18.5,100.0,-0.07499999999999996,1.0
1996-10-04,19.25,20.35,19.25,20.35,400.0,0.10000000000000009,1.0
1996-10-09,18.5,20.1,18.5,20.1,1100.0,-0.012285012285012331,1.0
1996-10-11,20.1,20.1,20.1,20.1,100.0,0.0,1.0
