Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-11,70.0,70.0,70.0,70.0,100.0,,1.0
1996-01-12,68.0,68.0,68.0,68.0,100.0,-0.02857142857142858,1.0
1996-01-15,68.0,70.0,70.0,70.0,200.0,0.02941176470588225,1.0
1996-01-24,69.45,69.45,69.45,69.45,100.0,-0.007857142857142785,1.0
1996-06-04,35.0,35.0,35.0,35.0,100.0,-0.4960403167746581,1.0
1996-06-05,37.0,37.0,37.0,37.0,100.0,0.05714285714285716,1.0
1996-06-06,40.05,40.05,40.05,40.05,100.0,0.08243243243243237,1.0
1996-06-07,44.05,44.05,44.05,44.05,100.0,0.09987515605493136,1.0
1996-06-11,45.05,45.05,45.05,45.05,300.0,0.022701475595913845,1.0
1996-06-12,48.55,49.8,48.55,49.8,200.0,0.10543840177580477,1.0
1996-06-13,54.0,55.05,54.0,55.05,5000.0,0.10542168674698793,1.0
1996-06-14,56.05,56.05,56.05,56.05,100.0,0.01816530426884655,1.0
1996-06-17,56.2,56.2,56.2,56.2,100.0,0.00267618198037467,1.0
1996-06-18,56.5,56.5,56.5,56.5,700.0,0.005338078291814874,1.0
1996-06-19,59.5,62.25,59.5,59.55,2900.0,0.05398230088495559,1.0
1996-06-20,59.5,59.5,55.0,55.1,2600.0,-0.07472712006717042,1.0
1996-06-21,55.0,55.1,55.0,55.0,1300.0,-0.001814882032667886,1.0
1996-06-24,55.0,55.0,55.0,55.0,700.0,0.0,1.0
1996-06-25,55.0,55.0,55.0,55.0,100.0,0.0,1.0
1996-06-26,56.0,60.0,55.0,60.0,3400.0,0.09090909090909083,1.0
1996-06-27,60.0,61.0,59.0,60.0,1000.0,0.0,1.0
1996-06-28,60.0,60.05,60.0,60.05,500.0,0.0008333333333332416,1.0
1996-07-01,61.05,61.05,61.0,61.05,2400.0,0.016652789342214813,1.0
1996-07-02,61.0,61.0,61.0,61.0,2200.0,-0.0008190008190007703,1.0
1996-07-03,63.0,63.0,60.05,60.05,300.0,-0.015573770491803307,1.0
1996-07-04,60.5,61.0,59.05,61.0,1600.0,0.01582014987510405,1.0
1996-07-05,65.0,65.0,61.0,61.0,2300.0,0.0,1.0
1996-07-08,61.5,61.5,59.0,60.5,5200.0,-0.008196721311475419,1.0
1996-07-09,60.0,60.5,58.45,59.95,7500.0,-0.009090909090909038,1.0
1996-07-10,58.0,60.0,58.0,59.9,4600.0,-0.0008340283569642226,1.0
1996-07-16,57.25,59.95,57.25,59.95,1400.0,0.0008347245409014992,1.0
1996-07-17,59.5,59.95,59.5,59.95,600.0,0.0,1.0
1996-07-18,57.5,60.0,57.5,58.15,1900.0,-0.030025020850709017,1.0
1996-07-19,59.5,59.5,59.5,59.5,100.0,0.023215821152192673,1.0
1996-07-23,60.0,60.0,59.0,59.4,3200.0,-0.001680672268907557,1.0
1996-07-24,59.0,59.0,59.0,59.0,100.0,-0.006734006734006703,1.0
1996-07-29,53.1,53.1,53.1,53.1,500.0,-0.09999999999999998,1.0
1996-07-31,48.55,48.55,48.5,48.55,400.0,-0.0856873822975519,1.0
1996-08-01,47.0,47.0,43.75,44.0,2200.0,-0.09371781668383106,1.0
1996-08-02,43.0,43.0,43.0,43.0,500.0,-0.022727272727272707,1.0
1996-08-05,41.75,44.85,41.6,41.6,500.0,-0.032558139534883734,1.0
1996-08-06,45.75,45.75,45.75,45.75,500.0,0.09975961538461542,1.0
1996-08-07,41.85,43.05,41.85,43.0,600.0,-0.060109289617486295,1.0
1996-08-08,45.45,46.0,45.45,46.0,500.0,0.06976744186046502,1.0
1996-08-09,47.0,47.0,47.0,47.0,200.0,0.021739130434782705,1.0
1996-08-12,47.9,48.0,47.9,48.0,300.0,0.02127659574468077,1.0
1996-08-13,47.5,48.0,46.25,46.25,2300.0,-0.03645833333333337,1.0
1996-08-14,46.25,46.25,46.0,46.0,500.0,-0.00540540540540535,1.0
1996-08-16,50.0,50.0,50.0,50.0,200.0,0.08695652173913038,1.0
1996-08-19,51.0,55.0,51.0,55.0,900.0,0.10000000000000009,1.0
1996-08-20,50.0,57.0,50.0,57.0,800.0,0.036363636363636376,1.0
1996-08-22,54.0,54.15,52.0,52.05,9700.0,-0.08684210526315794,1.0
1996-08-23,52.0,52.0,50.0,50.0,2100.0,-0.03938520653218058,1.0
1996-08-26,51.0,51.0,50.0,50.0,700.0,0.0,1.0
1996-08-27,50.0,50.5,49.8,50.0,1700.0,0.0,1.0
1996-08-28,49.0,49.0,49.0,49.0,2000.0,-0.020000000000000018,1.0
