Date,Open,High,Low,Close,Volume,Returns,Anomaly
2017-03-01,12.6,12.6,12.6,12.6,25.0,,1.0
2017-03-16,13.2,13.2,13.2,13.2,25.0,0.04761904761904767,1.0
2017-03-27,13.85,13.85,13.85,13.85,50.0,0.04924242424242431,1.0
2017-03-31,14.5,14.5,14.5,14.5,131700.0,0.04693140794223827,1.0
2017-04-03,15.2,15.2,15.2,15.2,1.0,0.04827586206896539,1.0
2017-04-11,15.95,15.95,15.95,15.95,1.0,0.049342105263157965,1.0
2017-04-13,16.7,16.7,16.7,16.7,2.0,0.047021943573667624,1.0
2017-04-18,17.5,17.5,17.5,17.5,2.0,0.04790419161676662,1.0
2017-04-20,18.35,18.35,18.35,18.35,3.0,0.04857142857142871,1.0
2017-04-21,19.25,19.25,19.25,19.25,2.0,0.049046321525885395,1.0
2017-04-24,20.2,20.2,20.2,20.2,75.0,0.049350649350649256,1.0
2017-04-26,21.2,21.2,21.2,21.2,2001.0,0.04950495049504955,1.0
2017-04-27,22.25,22.25,22.25,22.25,100.0,0.04952830188679247,1.0
2017-04-28,23.35,23.35,23.35,23.35,21000.0,0.04943820224719109,1.0
2017-05-02,24.5,24.5,24.5,24.5,3.0,0.04925053533190571,1.0
2017-05-03,25.7,25.7,25.7,25.7,2.0,0.048979591836734615,1.0
2017-05-05,26.95,26.95,26.95,26.95,2.0,0.048638132295719894,1.0
2017-05-09,28.25,28.25,28.25,28.25,2.0,0.04823747680890533,1.0
2017-05-12,29.65,29.65,29.65,29.65,5.0,0.04955752212389375,1.0
2017-05-18,31.1,31.1,31.1,31.1,1.0,0.04890387858347389,1.0
2017-05-19,32.65,32.65,32.65,32.65,10.0,0.04983922829581977,1.0
2017-05-22,34.25,34.25,34.25,34.25,1.0,0.049004594180704464,1.0
2017-05-23,35.95,35.95,35.95,35.95,1.0,0.04963503649635048,1.0
2017-05-24,37.7,37.7,37.7,37.7,100.0,0.048678720445062496,1.0
2017-05-25,39.55,39.55,39.55,39.55,1.0,0.04907161803713511,1.0
