Date,Open,High,Low,Close,Volume,Returns,Anomaly
2015-12-11,98.85,104.0,97.2,99.6,302293.0,,1.0
2015-12-14,98.65,103.65,98.65,101.0,500488.0,0.014056224899598346,1.0
2015-12-15,100.0,107.7,100.0,104.7,524039.0,0.036633663366336666,1.0
2015-12-16,104.7,109.0,104.7,107.8,234688.0,0.029608404966571022,1.0
2015-12-17,109.6,112.2,108.0,110.35,311679.0,0.02365491651205942,1.0
2015-12-18,111.1,119.9,111.0,115.75,966308.0,0.04893520616221125,1.0
2015-12-21,116.45,118.75,114.2,116.95,668813.0,0.010367170626349953,1.0
2015-12-22,117.5,120.0,112.5,115.6,601614.0,-0.011543394613082625,1.0
2015-12-23,117.05,121.5,115.75,119.2,688047.0,0.03114186851211076,1.0
2015-12-24,121.0,123.3,120.05,121.55,202805.0,0.01971476510067105,1.0
2015-12-28,122.0,125.5,119.25,120.95,485419.0,-0.00493624023035788,1.0
2015-12-29,121.4,125.0,120.8,123.5,519057.0,0.021083092186854113,1.0
2015-12-30,124.55,124.9,121.1,122.1,327363.0,-0.011336032388663986,1.0
2015-12-31,123.25,124.9,121.2,122.85,374721.0,0.006142506142506221,1.0
2016-01-01,123.95,124.4,122.15,123.55,98424.0,0.005698005698005826,1.0
2016-01-04,124.0,124.75,118.15,120.85,258442.0,-0.02185350060704172,1.0
2016-01-05,121.8,125.0,120.6,123.2,168915.0,0.01944559371121235,1.0
2016-01-06,122.0,124.95,120.0,121.55,238343.0,-0.013392857142857206,1.0
2016-01-07,119.0,119.7,114.65,116.45,209760.0,-0.04195804195804187,1.0
2016-01-08,117.95,118.95,115.8,116.35,88405.0,-0.0008587376556462578,1.0
2016-01-11,115.8,117.3,113.75,115.1,80544.0,-0.010743446497636477,1.0
2016-01-12,115.8,116.0,111.85,112.95,130036.0,-0.018679409209383047,1.0
2016-01-13,114.5,114.6,100.05,108.1,243384.0,-0.042939353696325844,1.0
2016-01-14,105.0,112.9,102.0,111.6,84007.0,0.03237742830712298,1.0
2016-01-15,114.5,116.4,102.0,103.2,132923.0,-0.07526881720430101,1.0
2016-01-18,103.7,106.2,101.0,102.05,124358.0,-0.011143410852713198,1.0
2016-01-19,105.3,114.0,102.5,108.6,314507.0,0.06418422341989216,1.0
2016-01-20,109.0,109.0,100.8,102.4,411552.0,-0.057090239410681254,1.0
2016-01-21,107.0,107.0,101.25,102.9,66778.0,0.0048828125,1.0
2016-01-22,105.0,108.7,103.6,105.1,37178.0,0.021379980563653866,1.0
2016-01-25,107.5,108.7,104.5,104.9,14534.0,-0.0019029495718362321,1.0
2016-01-27,103.7,106.35,102.55,103.5,38494.0,-0.013346043851287015,1.0
2016-01-28,104.5,108.0,103.5,106.35,78903.0,0.02753623188405796,1.0
