Date,Open,High,Low,Close,Volume,Returns,Anomaly
2000-05-10,59.5,61.0,59.5,61.0,250.0,,1.0
2000-05-11,60.0,60.0,56.15,58.6,500.0,-0.03934426229508192,1.0
2000-05-12,58.1,58.1,56.5,56.6,300.0,-0.03412969283276446,1.0
2000-05-15,57.5,58.0,57.5,57.75,200.0,0.02031802120141335,1.0
2000-05-16,57.9,57.9,54.0,54.8,300.0,-0.05108225108225117,1.0
2000-05-17,57.7,57.7,57.7,57.7,50.0,0.05291970802919721,1.0
2000-05-18,58.0,62.0,57.5,61.0,600.0,0.05719237435008662,1.0
2000-05-19,59.0,59.0,56.2,58.0,550.0,-0.049180327868852514,1.0
2000-05-22,58.0,58.0,54.1,56.55,450.0,-0.025000000000000022,1.0
2000-05-23,56.0,56.0,53.5,53.5,1100.0,-0.05393457117595046,1.0
2000-05-24,53.25,54.5,53.0,53.05,1600.0,-0.008411214953271129,1.0
2000-05-25,53.95,54.95,53.05,54.05,750.0,0.018850141376060225,1.0
2000-05-26,54.95,56.5,54.95,55.5,800.0,0.026827012025901986,1.0
2000-05-29,52.0,55.0,52.0,54.35,750.0,-0.02072072072072073,1.0
2000-05-30,54.1,55.0,53.0,53.3,1850.0,-0.01931922723091084,1.0
2000-05-31,56.0,56.0,54.2,55.85,1100.0,0.047842401500938214,1.0
2000-06-01,54.1,56.0,54.0,55.95,1250.0,0.001790510295434311,1.0
2000-06-02,56.0,56.2,55.5,56.0,1450.0,0.0008936550491509543,1.0
2000-06-05,58.9,59.0,56.0,57.0,2000.0,0.017857142857142794,1.0
2000-06-06,57.75,59.0,55.55,58.2,1400.0,0.021052631578947434,1.0
2000-06-07,55.15,58.5,55.0,56.5,1350.0,-0.029209621993127155,1.0
2000-06-08,57.0,58.25,56.55,57.25,800.0,0.01327433628318575,1.0
2000-06-09,55.6,57.5,55.5,57.5,1700.0,0.004366812227074135,1.0
2000-06-12,58.0,58.0,54.25,55.0,2350.0,-0.04347826086956519,1.0
