Date,Open,High,Low,Close,Volume,Returns,Anomaly
2007-03-16,42.5,46.7,40.0,41.55,286027.0,,1.0
2007-03-19,42.6,43.0,37.0,38.7,18883.0,-0.06859205776173272,1.0
2007-03-20,40.0,46.3,35.2,37.8,20125.0,-0.023255813953488524,1.0
2007-03-21,38.5,39.4,34.25,36.15,17002.0,-0.04365079365079361,1.0
2007-03-22,34.0,38.0,34.0,36.05,19540.0,-0.0027662517289073207,1.0
2007-03-23,34.4,36.9,34.4,36.25,7276.0,0.00554785020804438,1.0
2007-03-26,36.0,36.1,32.7,33.6,5225.0,-0.07310344827586202,1.0
2007-03-28,32.75,33.0,32.4,32.45,19100.0,-0.034226190476190466,1.0
2007-03-29,34.0,34.0,32.55,33.05,1870.0,0.018489984591679276,1.0
2007-03-30,32.5,34.0,32.0,33.5,3047.0,0.013615733736762614,1.0
2007-04-02,32.05,33.0,27.0,32.45,8122.0,-0.03134328358208949,1.0
2007-04-03,32.5,33.3,31.85,32.75,2203.0,0.009244992295839749,1.0
2007-04-04,34.0,34.0,32.55,32.75,703.0,0.0,1.0
2007-04-05,32.95,32.95,30.5,31.45,3182.0,-0.03969465648854964,1.0
2007-04-09,32.5,33.8,31.9,33.3,1110.0,0.05882352941176472,1.0
2007-04-10,34.55,34.65,29.0,32.55,6598.0,-0.022522522522522515,1.0
2007-04-11,33.0,33.85,33.0,33.1,3814.0,0.016897081413210557,1.0
2007-04-12,33.0,33.9,33.0,33.9,1179.0,0.024169184290030232,1.0
2007-04-13,34.7,35.0,33.7,34.8,120.0,0.026548672566371723,1.0
2007-04-16,35.6,35.6,34.05,34.3,1192.0,-0.014367816091954033,1.0
2007-04-17,33.2,34.5,33.2,33.75,818.0,-0.0160349854227404,1.0
2007-04-18,33.75,34.0,33.75,34.0,123.0,0.007407407407407307,1.0
2007-04-19,33.75,33.75,33.75,33.75,1137.0,-0.007352941176470562,1.0
2007-04-20,33.75,35.45,33.75,33.75,796.0,0.0,1.0
2007-04-23,33.55,33.55,33.55,33.55,40.0,-0.005925925925926001,1.0
2007-04-24,33.55,35.0,32.1,33.55,813.0,0.0,1.0
2007-04-25,33.5,36.5,33.5,35.85,3692.0,0.06855439642324912,1.0
2007-04-26,36.0,36.0,34.0,34.5,741.0,-0.03765690376569042,1.0
2007-04-27,34.75,34.75,33.6,33.6,650.0,-0.02608695652173909,1.0
2007-04-30,33.0,33.0,33.0,33.0,100.0,-0.017857142857142905,1.0
2007-05-03,35.25,35.7,33.5,33.5,1540.0,0.015151515151515138,1.0
2007-05-04,33.2,34.0,33.2,33.9,1400.0,0.011940298507462588,1.0
2007-05-07,33.5,34.0,32.55,33.1,2003.0,-0.02359882005899694,1.0
2007-05-08,33.7,33.7,33.7,33.7,100.0,0.01812688821752273,1.0
2007-05-09,32.5,36.5,31.5,33.1,1200.0,-0.017804154302670683,1.0
2007-05-10,32.75,34.6,32.75,32.9,334.0,-0.006042296072507614,1.0
2007-05-11,34.9,34.95,33.2,34.0,560.0,0.033434650455927084,1.0
2007-05-14,34.0,34.0,32.8,32.95,1636.0,-0.03088235294117636,1.0
2007-05-15,33.4,33.9,32.65,33.9,395.0,0.028831562974203306,1.0
2007-05-16,35.75,35.75,33.9,34.3,3984.0,0.01179941002949847,1.0
2007-05-17,34.5,35.5,33.6,35.25,2850.0,0.0276967930029155,1.0
2007-05-18,33.8,35.35,33.8,34.8,1497.0,-0.01276595744680864,1.0
2007-05-21,35.5,35.5,34.5,35.5,1130.0,0.02011494252873569,1.0
2007-05-22,34.05,34.05,33.8,33.95,928.0,-0.04366197183098586,1.0
2007-05-23,30.3,34.25,30.3,33.8,572.0,-0.0044182621502211195,1.0
2007-05-24,32.55,34.3,32.45,33.3,510.0,-0.014792899408283988,1.0
2007-05-25,33.5,34.25,33.05,33.75,900.0,0.013513513513513598,1.0
2007-05-28,33.05,33.15,33.05,33.15,344.0,-0.01777777777777778,1.0
2007-05-29,33.0,33.4,32.6,33.4,2958.0,0.007541478129713397,1.0
2007-05-30,33.5,33.5,32.75,33.5,539.0,0.0029940119760478723,1.0
2007-05-31,33.25,33.45,32.1,32.9,6849.0,-0.017910447761194104,1.0
2007-06-04,33.65,33.65,32.1,32.25,4405.0,-0.019756838905775065,1.0
2007-06-05,32.0,32.75,31.7,32.25,7076.0,0.0,1.0
2007-06-06,33.3,33.3,31.5,31.7,4252.0,-0.01705426356589146,1.0
2007-06-07,31.8,33.3,31.8,33.3,115.0,0.050473186119873725,1.0
2007-06-08,32.95,33.0,32.95,33.0,120.0,-0.009009009009008917,1.0
2007-06-11,33.4,33.9,32.0,32.0,8333.0,-0.030303030303030276,1.0
2007-06-12,33.0,34.85,32.5,33.35,7099.0,0.042187500000000044,1.0
2007-06-13,33.95,33.95,31.75,32.2,37413.0,-0.03448275862068961,1.0
2007-06-14,32.85,33.5,32.5,32.55,8452.0,0.01086956521739113,1.0
2007-06-15,32.75,33.25,32.5,32.8,5578.0,0.007680491551459223,1.0
2007-06-18,33.0,36.0,33.0,33.95,11513.0,0.035060975609756184,1.0
2007-06-19,33.9,34.8,33.75,34.1,3640.0,0.004418262150220897,1.0
2007-06-20,35.0,35.0,33.35,33.35,1010.0,-0.021994134897360684,1.0
2007-06-21,33.85,33.85,33.3,33.3,285.0,-0.0014992503748126884,1.0
2007-06-22,33.0,33.85,33.0,33.65,260.0,0.010510510510510551,1.0
2007-06-25,32.5,33.7,32.5,32.55,2136.0,-0.03268945022288261,1.0
2007-06-26,33.95,35.0,32.75,34.35,11550.0,0.05529953917050712,1.0
2007-06-27,34.0,38.7,33.9,37.15,35184.0,0.08151382823871889,1.0
2007-06-28,37.25,37.25,34.1,34.9,24241.0,-0.060565275908479155,1.0
2007-06-29,35.35,36.0,33.85,34.0,23283.0,-0.025787965616045794,1.0
2007-07-02,33.25,35.25,33.2,34.25,3820.0,0.007352941176470562,1.0
2007-07-03,34.85,35.5,34.3,35.1,4754.0,0.02481751824817513,1.0
2007-07-04,34.55,34.7,34.55,34.65,798.0,-0.012820512820512886,1.0
2007-07-05,34.6,35.0,33.75,34.15,2340.0,-0.01443001443001446,1.0
2007-07-06,34.9,35.05,34.5,35.05,3395.0,0.026354319180087904,1.0
2007-07-09,34.0,35.05,34.0,35.0,4894.0,-0.0014265335235377208,1.0
2007-07-10,34.1,35.1,34.1,34.95,1404.0,-0.0014285714285713347,1.0
2007-07-11,35.95,38.8,33.25,36.85,10739.0,0.05436337625178833,1.0
2007-07-12,39.5,42.0,37.05,39.15,36670.0,0.06241519674355489,1.0
2007-07-13,41.0,41.0,38.25,39.15,14656.0,0.0,1.0
2007-07-16,38.25,39.8,38.1,39.2,11012.0,0.0012771392081738497,1.0
2007-07-17,38.95,39.85,38.1,38.4,8165.0,-0.020408163265306256,1.0
2007-07-18,37.7,38.25,36.5,36.6,4013.0,-0.04687499999999989,1.0
2007-07-19,37.5,39.3,37.0,37.7,4020.0,0.030054644808743314,1.0
2007-07-20,37.65,40.0,37.05,39.3,6540.0,0.04244031830238715,1.0
2007-07-23,37.2,37.85,37.0,37.05,4949.0,-0.057251908396946605,1.0
2007-07-24,37.9,38.45,37.2,37.2,6190.0,0.004048582995951566,1.0
2007-07-25,38.45,38.45,37.1,37.15,2250.0,-0.0013440860215054862,1.0
2007-07-26,38.35,38.45,37.05,37.7,4763.0,0.014804845222072816,1.0
2007-07-27,37.9,37.9,36.0,36.1,2097.0,-0.04244031830238726,1.0
2007-07-30,37.4,37.4,35.1,35.55,890.0,-0.015235457063711988,1.0
2007-07-31,35.6,36.85,34.65,35.95,2704.0,0.011251758087201358,1.0
2007-08-01,35.0,35.45,34.45,34.5,2950.0,-0.04033379694019479,1.0
2007-08-02,30.0,36.0,30.0,33.7,4863.0,-0.023188405797101352,1.0
2007-08-03,35.8,35.8,33.6,33.8,1150.0,0.0029673590504448732,1.0
2007-08-06,34.15,34.75,33.0,33.15,500.0,-0.019230769230769162,1.0
2007-08-07,35.8,35.8,34.0,34.6,850.0,0.043740573152337925,1.0
2007-08-08,34.5,34.8,34.5,34.8,1405.0,0.005780346820809079,1.0
2007-08-09,36.0,36.9,34.05,34.15,3231.0,-0.01867816091954022,1.0
2007-08-10,34.8,36.9,33.2,36.15,1218.0,0.05856515373352855,1.0
2007-08-13,36.0,36.0,34.1,36.0,10785.0,-0.004149377593360981,1.0
2007-08-14,35.9,38.45,35.9,37.15,9275.0,0.03194444444444433,1.0
2007-08-16,37.35,37.35,36.0,36.15,2000.0,-0.026917900403768513,1.0
2007-08-17,35.0,36.0,34.4,35.35,2430.0,-0.022130013831258566,1.0
2007-08-20,35.7,38.85,35.1,35.5,3112.0,0.004243281471004279,1.0
2007-08-21,35.95,35.95,33.65,35.0,550.0,-0.014084507042253502,1.0
2007-08-22,34.95,35.0,33.75,34.7,892.0,-0.008571428571428452,1.0
