Date,Open,High,Low,Close,Volume,Returns,Anomaly
2008-08-12,,,,,,,
2008-08-13,,,,,,,
2008-08-14,,,,,,,
2008-08-18,,,,,,,
2008-08-19,,,,,,,
2008-08-20,,,,,,,
2008-08-21,,,,,,,
2008-08-22,,,,,,,
2008-08-25,,,,,,,
2008-08-26,,,,,,,
2008-08-27,,,,,,,
2008-08-28,,,,,,,
2008-08-29,,,,,,,
2008-09-01,,,,,,,
2008-09-02,,,,,,,
2008-09-04,,,,,,,
2008-09-05,,,,,,,
2008-09-08,,,,,,,
2008-09-09,,,,,,,
2008-09-10,,,,,,,
2008-09-11,,,,,,,
2008-09-12,,,,,,,
2008-09-15,13.95,13.95,11.5,11.85,316258.0,-0.15053763440860213,1.0
2008-09-16,9.5,11.45,9.5,11.05,594226.0,-0.0675105485232067,1.0
2008-09-17,11.05,12.0,10.45,11.2,216172.0,0.013574660633484115,1.0
2008-09-18,9.9,10.9,9.0,10.5,276632.0,-0.06249999999999989,1.0
2008-09-19,11.2,12.0,10.95,11.15,164331.0,0.06190476190476191,1.0
2008-09-22,11.75,11.75,10.55,10.75,158545.0,-0.0358744394618834,1.0
2008-09-23,10.4,10.5,9.9,10.25,162108.0,-0.046511627906976716,1.0
2008-09-24,10.7,10.8,10.05,10.2,130366.0,-0.00487804878048792,1.0
2008-09-25,10.6,10.65,9.6,9.7,118716.0,-0.0490196078431373,1.0
2008-09-26,9.7,10.0,9.15,9.3,130180.0,-0.04123711340206171,1.0
2008-09-29,9.15,9.3,8.15,8.55,122381.0,-0.08064516129032262,1.0
2008-09-30,7.6,8.5,7.25,8.15,190018.0,-0.04678362573099415,1.0
2008-10-01,8.5,9.25,8.1,8.75,161895.0,0.07361963190184051,1.0
2008-10-03,8.5,8.9,8.0,8.15,115962.0,-0.0685714285714285,1.0
2008-10-06,8.15,8.15,7.25,7.45,98340.0,-0.0858895705521473,1.0
2008-10-07,7.35,7.8,6.35,6.65,173979.0,-0.10738255033557043,1.0
2008-10-08,6.5,6.5,5.35,6.05,259965.0,-0.09022556390977454,1.0
2008-10-10,5.0,5.9,5.0,5.65,144704.0,-0.06611570247933873,1.0
2008-10-13,5.6,6.2,5.4,5.95,118588.0,0.05309734513274322,1.0
2008-10-14,6.2,6.6,6.0,6.5,114794.0,0.09243697478991586,1.0
2008-10-15,6.4,6.4,5.7,5.9,68657.0,-0.0923076923076922,1.0
2008-10-16,5.85,5.85,5.0,5.45,150977.0,-0.07627118644067798,1.0
2008-10-17,5.75,5.75,4.9,5.05,93618.0,-0.07339449541284415,1.0
2008-10-20,5.6,5.6,4.25,4.85,98620.0,-0.03960396039603964,1.0
2008-10-21,5.1,5.35,4.55,5.1,81314.0,0.05154639175257736,1.0
2008-10-22,4.85,4.95,4.65,4.85,68856.0,-0.0490196078431373,1.0
2008-10-23,4.7,4.85,4.5,4.7,104501.0,-0.030927835051546282,1.0
2008-10-24,4.5,4.5,4.05,4.1,87221.0,-0.12765957446808518,1.0
2008-10-27,3.95,4.2,3.5,3.65,95337.0,-0.1097560975609756,1.0
2008-10-28,3.95,4.4,3.8,4.1,21795.0,0.12328767123287654,1.0
2008-10-29,4.15,4.5,4.15,4.35,136231.0,0.060975609756097615,1.0
2008-10-31,4.5,4.5,4.2,4.35,50709.0,0.0,1.0
2008-11-03,4.5,4.95,4.1,4.9,118195.0,0.12643678160919558,1.0
2008-11-04,4.3,4.95,4.3,4.9,86095.0,0.0,1.0
2008-11-05,5.1,5.4,4.8,5.05,133219.0,0.030612244897959107,1.0
2008-11-06,4.55,5.1,4.55,4.85,50844.0,-0.03960396039603964,1.0
2008-11-07,4.55,5.2,4.5,4.95,81336.0,0.020618556701031077,1.0
2008-11-10,5.0,5.35,4.95,5.3,63833.0,0.07070707070707072,1.0
2008-11-11,5.05,5.15,4.8,4.85,36349.0,-0.08490566037735847,1.0
2008-11-12,4.8,5.0,4.5,4.6,110595.0,-0.05154639175257736,1.0
2008-11-14,5.0,5.0,4.55,4.6,49648.0,0.0,1.0
2008-11-17,4.5,4.55,4.2,4.4,37759.0,-0.04347826086956508,1.0
2008-11-18,4.2,4.3,4.05,4.25,42177.0,-0.03409090909090917,1.0
2008-11-19,4.0,4.4,4.0,4.2,82901.0,-0.0117647058823529,1.0
2008-11-20,4.0,4.0,3.8,3.8,82249.0,-0.09523809523809534,1.0
2008-11-21,3.8,4.15,3.7,4.1,61495.0,0.07894736842105265,1.0
2008-11-24,3.8,4.2,3.75,4.1,34905.0,0.0,1.0
2008-11-25,4.0,4.25,3.9,4.0,53228.0,-0.024390243902438935,1.0
2008-11-26,3.8,4.0,3.65,3.75,70457.0,-0.0625,1.0
2008-11-28,3.75,3.85,3.5,3.85,33175.0,0.026666666666666616,1.0
2008-12-01,4.0,4.1,3.8,4.05,44839.0,0.051948051948051965,1.0
2008-12-02,4.0,4.0,3.9,4.0,26125.0,-0.012345679012345623,1.0
2008-12-03,4.0,4.0,3.65,3.7,589954.0,-0.07499999999999996,1.0
2008-12-04,3.7,4.05,3.7,3.95,428809.0,0.06756756756756754,1.0
2008-12-05,4.0,4.35,4.0,4.05,92096.0,0.025316455696202445,1.0
2008-12-08,4.2,4.3,4.0,4.15,42380.0,0.024691358024691468,1.0
2008-12-10,4.0,4.45,4.0,4.2,44163.0,0.012048192771084265,1.0
2008-12-11,4.1,4.5,4.1,4.45,75958.0,0.059523809523809534,1.0
2008-12-12,4.5,4.75,4.2,4.65,41387.0,0.04494382022471921,1.0
2008-12-15,4.7,5.05,4.65,5.0,113346.0,0.07526881720430101,1.0
2008-12-16,5.15,5.5,5.15,5.5,58633.0,0.10000000000000009,1.0
2008-12-17,5.8,5.8,5.25,5.25,121662.0,-0.045454545454545414,1.0
2008-12-18,5.0,5.25,5.0,5.05,53558.0,-0.03809523809523818,1.0
2008-12-19,5.0,5.25,5.0,5.1,41901.0,0.00990099009900991,1.0
2008-12-22,5.25,5.3,5.0,5.05,62283.0,-0.009803921568627416,1.0
2008-12-23,5.0,5.25,5.0,5.15,38943.0,0.01980198019801982,1.0
2008-12-24,5.0,5.05,4.95,5.0,37895.0,-0.029126213592233108,1.0
2008-12-26,4.95,5.15,4.75,4.85,35301.0,-0.030000000000000027,1.0
2008-12-29,4.9,4.9,4.65,4.8,43142.0,-0.010309278350515427,1.0
2008-12-30,4.8,4.85,4.65,4.65,22458.0,-0.03124999999999989,1.0
2008-12-31,4.6,4.8,4.6,4.7,23356.0,0.010752688172043001,1.0
2009-01-01,4.8,4.95,4.75,4.9,42538.0,0.042553191489361764,1.0
2009-01-02,5.0,5.0,4.75,4.9,79171.0,0.0,1.0
2009-01-05,5.0,5.1,4.8,4.9,58356.0,0.0,1.0
2009-01-06,5.0,5.15,4.85,5.05,54483.0,0.030612244897959107,1.0
2009-01-07,5.05,5.3,4.55,4.65,102981.0,-0.07920792079207906,1.0
2009-01-09,4.25,4.5,4.2,4.4,34328.0,-0.053763440860215006,1.0
2009-01-12,4.1,4.2,4.0,4.05,48864.0,-0.0795454545454547,1.0
2009-01-13,4.0,4.2,3.8,3.9,34331.0,-0.03703703703703698,1.0
2009-01-14,3.9,4.2,3.8,4.0,58222.0,0.025641025641025772,1.0
2009-01-15,3.9,4.3,3.7,4.1,40123.0,0.02499999999999991,1.0
2009-01-16,4.0,4.3,3.9,4.0,25363.0,-0.024390243902438935,1.0
2009-01-19,4.0,4.1,3.85,3.95,19584.0,-0.012499999999999956,1.0
2009-01-20,3.9,4.1,3.85,3.95,88752.0,0.0,1.0
2009-01-21,4.05,4.15,3.9,3.95,25482.0,0.0,1.0
2009-01-22,4.0,4.0,3.75,3.85,21431.0,-0.025316455696202556,1.0
2009-01-23,3.75,4.0,3.75,4.0,35462.0,0.03896103896103886,1.0
2009-01-27,3.8,4.1,3.65,3.8,57875.0,-0.050000000000000044,1.0
2009-01-28,3.8,4.2,3.7,3.85,59186.0,0.013157894736842257,1.0
2009-01-29,4.0,4.05,3.65,3.8,45376.0,-0.012987012987013102,1.0
2009-01-30,3.9,3.9,3.75,3.85,41302.0,0.013157894736842257,1.0
2009-02-02,3.85,4.0,3.65,3.7,37219.0,-0.038961038961038974,1.0
2009-02-03,3.6,3.75,3.6,3.65,21539.0,-0.013513513513513598,1.0
2009-02-04,3.9,3.9,3.55,3.6,35907.0,-0.013698630136986245,1.0
2009-02-05,3.4,4.0,3.4,3.65,40892.0,0.01388888888888884,1.0
2009-02-06,3.6,3.9,3.6,3.7,105053.0,0.013698630136986356,1.0
2009-02-09,3.85,3.85,3.5,3.6,50363.0,-0.027027027027027084,1.0
2009-02-10,3.7,3.85,3.55,3.75,35848.0,0.04166666666666674,1.0
2009-02-11,3.85,4.0,3.6,3.9,25678.0,0.040000000000000036,1.0
2009-02-12,3.65,4.05,3.65,3.8,35038.0,-0.02564102564102566,1.0
2009-02-13,4.0,4.0,3.7,3.75,42283.0,-0.013157894736842035,1.0
2009-02-16,4.0,4.0,3.6,3.65,33733.0,-0.026666666666666727,1.0
2009-02-17,3.5,3.85,3.5,3.75,31458.0,0.027397260273972712,1.0
2009-02-18,3.55,3.75,3.5,3.55,50425.0,-0.053333333333333344,1.0
2009-02-19,3.65,3.7,3.55,3.6,11750.0,0.014084507042253502,1.0
2009-02-20,3.65,3.65,3.5,3.55,23185.0,-0.01388888888888895,1.0
2009-02-24,3.6,3.6,3.45,3.45,20193.0,-0.028169014084506894,1.0
2009-02-25,3.5,3.65,3.4,3.6,55354.0,0.04347826086956519,1.0
2009-02-26,3.6,3.65,3.4,3.5,24619.0,-0.02777777777777779,1.0
2009-02-27,3.5,3.65,3.45,3.65,31245.0,0.04285714285714293,1.0
2009-03-02,3.65,3.8,3.45,3.6,51833.0,-0.013698630136986245,1.0
2009-03-03,3.65,3.9,3.4,3.6,40919.0,0.0,1.0
2009-03-04,3.65,3.75,3.25,3.7,35025.0,0.0277777777777779,1.0
2009-03-05,3.7,3.8,3.6,3.7,28608.0,0.0,1.0
2009-03-06,3.4,3.8,3.4,3.75,21590.0,0.013513513513513375,1.0
2009-03-09,3.6,3.95,3.45,3.45,19847.0,-0.07999999999999996,1.0
2009-03-12,3.6,3.7,3.45,3.5,20082.0,0.014492753623188248,1.0
2009-03-13,3.5,3.65,3.4,3.5,25481.0,0.0,1.0
2009-03-16,3.55,3.7,3.5,3.5,38380.0,0.0,1.0
2009-03-17,3.65,3.65,3.4,3.6,45218.0,0.028571428571428692,1.0
2009-03-18,3.55,3.7,3.55,3.6,38767.0,0.0,1.0
2009-03-19,3.6,3.8,3.45,3.45,35290.0,-0.04166666666666663,1.0
2009-03-20,3.5,3.55,3.45,3.5,16597.0,0.014492753623188248,1.0
2009-03-23,3.65,3.7,3.45,3.65,118131.0,0.04285714285714293,1.0
2009-03-24,3.75,3.8,3.45,3.5,25990.0,-0.041095890410958846,1.0
2009-03-25,3.45,3.55,3.4,3.45,54409.0,-0.014285714285714235,1.0
2009-03-26,4.15,4.15,3.45,3.6,56161.0,0.04347826086956519,1.0
2009-03-27,3.5,3.7,3.5,3.65,63631.0,0.01388888888888884,1.0
2009-03-30,3.5,3.7,3.5,3.6,20761.0,-0.013698630136986245,1.0
2009-03-31,3.5,3.65,3.45,3.5,42167.0,-0.02777777777777779,1.0
2009-04-01,3.55,3.7,3.55,3.7,29020.0,0.05714285714285716,1.0
2009-04-02,3.6,4.0,3.6,3.95,72642.0,0.06756756756756754,1.0
2009-04-06,4.7,4.7,3.95,4.15,61019.0,0.05063291139240511,1.0
2009-04-08,4.15,4.9,3.65,4.45,122028.0,0.07228915662650603,1.0
2009-04-09,4.95,5.3,4.55,4.95,139346.0,0.1123595505617978,1.0
2009-04-13,4.95,5.45,4.95,5.25,175667.0,0.06060606060606055,1.0
2009-04-15,5.4,5.8,5.25,5.8,108243.0,0.10476190476190483,1.0
2009-04-16,5.9,6.4,5.9,6.05,216834.0,0.0431034482758621,1.0
2009-04-17,6.0,6.5,5.6,5.75,111060.0,-0.04958677685950408,1.0
2009-08-21,6.2,6.55,6.1,6.5,22375.0,0.13043478260869557,1.0
2009-08-24,6.8,6.85,6.45,6.65,78452.0,0.023076923076923217,1.0
2009-08-25,6.95,6.95,6.5,6.75,28390.0,0.015037593984962294,1.0
2009-08-26,6.95,7.1,6.6,7.0,57703.0,0.03703703703703698,1.0
2009-08-27,6.8,7.05,6.65,6.85,38411.0,-0.021428571428571463,1.0
2009-08-28,6.9,7.0,6.75,6.9,32956.0,0.007299270072992803,1.0
2009-08-31,6.7,7.15,6.7,7.1,55247.0,0.02898550724637672,1.0
2009-09-01,7.0,7.15,6.75,6.8,47269.0,-0.04225352112676051,1.0
2009-09-02,6.9,7.15,6.65,6.75,20071.0,-0.007352941176470562,1.0
2009-09-03,7.05,7.05,6.5,6.75,23353.0,0.0,1.0
2009-09-04,6.6,7.0,6.5,6.6,57830.0,-0.022222222222222254,1.0
2009-09-07,6.75,7.0,6.65,6.9,21118.0,0.045454545454545636,1.0
2009-09-08,7.05,7.2,6.4,6.85,105988.0,-0.007246376811594346,1.0
2009-09-09,6.7,6.8,6.5,6.7,37286.0,-0.021897810218978075,1.0
2009-09-10,6.65,6.9,6.5,6.55,39060.0,-0.022388059701492602,1.0
2009-09-11,6.6,7.0,6.5,6.85,36408.0,0.04580152671755733,1.0
2009-09-14,6.95,6.95,6.45,6.5,66663.0,-0.05109489051094884,1.0
2009-09-15,6.55,6.75,6.25,6.35,57269.0,-0.023076923076923106,1.0
2009-09-16,6.3,6.6,6.25,6.25,37493.0,-0.015748031496062964,1.0
2009-09-17,6.8,6.8,6.2,6.25,37799.0,0.0,1.0
2009-09-18,6.35,6.8,6.3,6.7,66047.0,0.07200000000000006,1.0
2009-09-22,6.55,6.75,6.5,6.6,23465.0,-0.014925373134328401,1.0
2009-09-23,6.5,6.75,6.35,6.4,45540.0,-0.030303030303030165,1.0
2009-09-24,6.65,6.65,6.05,6.25,22481.0,-0.0234375,1.0
2009-09-25,6.25,6.45,6.0,6.1,93010.0,-0.02400000000000002,1.0
2009-09-29,6.25,6.4,6.1,6.2,62404.0,0.016393442622950838,1.0
2009-09-30,6.25,6.6,6.25,6.45,56328.0,0.040322580645161255,1.0
2009-10-01,6.15,6.6,6.05,6.25,22119.0,-0.03100775193798455,1.0
2009-10-05,6.1,6.3,6.0,6.15,32521.0,-0.015999999999999903,1.0
2009-10-06,6.15,6.15,5.65,5.95,67699.0,-0.0325203252032521,1.0
2009-10-07,6.15,6.3,6.05,6.15,27630.0,0.03361344537815136,1.0
2009-10-08,6.7,6.7,5.9,6.0,35623.0,-0.024390243902439046,1.0
2009-10-09,6.05,6.1,5.9,6.05,17663.0,0.008333333333333304,1.0
2009-10-12,6.0,6.2,5.8,5.9,31340.0,-0.024793388429751984,1.0
2009-10-14,6.2,6.25,5.75,5.9,39328.0,0.0,1.0
2009-10-15,5.8,6.15,5.8,5.85,23595.0,-0.008474576271186529,1.0
2009-10-16,5.9,6.0,5.6,5.7,32749.0,-0.02564102564102555,1.0
2009-10-17,5.7,6.15,5.6,5.95,8361.0,0.04385964912280693,1.0
2009-10-20,5.95,6.2,5.8,6.0,33294.0,0.008403361344537785,1.0
2009-10-21,5.85,6.2,5.85,6.0,33344.0,0.0,1.0
2009-10-22,5.8,6.2,5.8,6.0,30871.0,0.0,1.0
2009-10-23,6.0,6.2,5.9,6.0,44803.0,0.0,1.0
2009-10-26,5.8,5.95,5.8,5.85,38506.0,-0.025000000000000022,1.0
2009-10-27,5.65,5.95,5.5,5.55,27403.0,-0.05128205128205121,1.0
2009-10-28,5.45,5.45,5.0,5.15,54966.0,-0.072072072072072,1.0
2009-10-29,5.1,5.25,4.8,5.05,29760.0,-0.019417475728155442,1.0
2009-10-30,5.25,5.3,4.95,5.05,37162.0,0.0,1.0
2009-11-03,5.0,5.05,4.85,4.9,18458.0,-0.02970297029702962,1.0
2009-11-04,4.75,5.1,4.7,4.75,18885.0,-0.030612244897959218,1.0
2009-11-05,4.85,5.1,4.8,5.0,23911.0,0.05263157894736836,1.0
2009-11-06,5.0,5.2,5.0,5.05,9384.0,0.010000000000000009,1.0
2009-11-09,5.0,5.75,4.9,5.45,39414.0,0.07920792079207928,1.0
2009-11-10,5.2,5.4,5.1,5.2,27029.0,-0.04587155963302747,1.0
2009-11-11,5.1,5.25,4.95,5.15,36347.0,-0.009615384615384581,1.0
2009-11-12,5.3,5.3,4.95,5.1,18340.0,-0.009708737864077777,1.0
2009-11-13,5.05,5.2,5.0,5.05,13057.0,-0.009803921568627416,1.0
2009-11-16,5.05,5.2,4.95,5.0,23276.0,-0.00990099009900991,1.0
2009-11-17,5.0,5.05,4.85,4.95,28431.0,-0.010000000000000009,1.0
2009-11-18,4.85,4.95,4.8,4.95,14970.0,0.0,1.0
2009-11-19,4.95,5.5,4.85,5.05,40835.0,0.02020202020202011,1.0
2009-11-20,5.0,5.1,4.9,4.95,9826.0,-0.01980198019801971,1.0
2009-11-23,4.9,5.15,4.1,5.0,25744.0,0.010101010101010166,1.0
2009-11-24,4.9,5.1,4.85,4.9,13889.0,-0.019999999999999907,1.0
2009-11-25,5.0,5.0,4.65,4.7,42842.0,-0.04081632653061229,1.0
2009-11-26,5.0,5.0,4.25,4.85,37373.0,0.03191489361702127,1.0
2009-11-27,4.85,4.85,4.55,4.7,24892.0,-0.030927835051546282,1.0
2009-11-30,4.9,5.1,4.75,4.95,38516.0,0.05319148936170204,1.0
2009-12-01,4.95,5.3,4.95,5.2,49234.0,0.05050505050505061,1.0
2009-12-02,5.0,5.3,5.0,5.2,33228.0,0.0,1.0
2009-12-03,5.15,6.25,5.05,6.25,188584.0,0.20192307692307687,1.0
2009-12-04,6.9,7.5,6.85,7.5,482334.0,0.19999999999999996,1.0
2009-12-07,7.85,8.1,6.75,6.85,234179.0,-0.08666666666666667,1.0
2009-12-08,7.0,7.15,6.55,6.95,78649.0,0.014598540145985384,1.0
2009-12-09,6.95,7.1,6.55,6.7,63815.0,-0.03597122302158273,1.0
2009-12-10,6.6,6.75,6.6,6.65,23871.0,-0.007462686567164201,1.0
2010-02-19,5.05,5.1,4.85,4.9,20852.0,-0.26315789473684215,1.0
2010-02-22,4.85,5.15,4.85,4.85,12930.0,-0.010204081632653184,1.0
2010-02-23,5.0,5.0,4.75,4.75,13333.0,-0.020618556701030855,1.0
2010-02-24,4.9,4.9,4.7,4.85,8422.0,0.021052631578947212,1.0
2010-02-25,4.95,4.95,4.65,4.8,15532.0,-0.010309278350515427,1.0
2010-02-26,4.7,4.8,4.65,4.75,8685.0,-0.01041666666666663,1.0
2010-03-02,4.7,5.0,4.7,4.95,5031.0,0.04210526315789487,1.0
2010-03-03,5.0,5.2,4.8,5.0,9809.0,0.010101010101010166,1.0
2010-03-04,5.0,5.25,5.0,5.0,17220.0,0.0,1.0
2010-03-05,5.05,5.2,5.0,5.0,14140.0,0.0,1.0
2010-03-08,5.0,5.25,4.95,5.05,16153.0,0.010000000000000009,1.0
2010-03-09,4.9,5.2,4.9,4.95,9988.0,-0.01980198019801971,1.0
2010-03-10,4.85,5.1,4.85,4.9,19183.0,-0.010101010101010055,1.0
2010-03-11,4.9,4.95,4.65,4.95,18633.0,0.010204081632652962,1.0
