Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,223.5,223.5,220.0,220.0,100.0,,1.0
1996-01-02,220.0,220.0,217.15,218.45,800.0,-0.007045454545454577,1.0
1996-01-04,220.0,222.0,215.05,221.9,800.0,0.015793087663080962,1.0
1996-01-05,221.9,223.0,217.0,223.0,400.0,0.004957187922487671,1.0
1996-01-08,223.0,220.0,218.0,218.0,200.0,-0.022421524663677084,1.0
1996-01-09,218.0,213.0,210.25,210.25,150.0,-0.03555045871559637,1.0
1996-01-10,210.0,215.0,210.0,212.0,150.0,0.00832342449464929,1.0
1996-01-11,212.0,215.25,210.25,215.25,250.0,0.015330188679245182,1.0
1996-01-12,219.0,219.0,219.0,219.0,50.0,0.017421602787456525,1.0
1996-01-15,215.0,215.0,215.0,215.0,100.0,-0.0182648401826484,1.0
1996-01-16,212.0,212.0,206.0,206.0,550.0,-0.041860465116279055,1.0
1996-01-17,207.0,207.0,207.0,207.0,50.0,0.004854368932038833,1.0
1996-01-18,205.0,205.0,205.0,205.0,200.0,-0.009661835748792313,1.0
1996-01-19,202.0,202.0,200.0,200.0,300.0,-0.024390243902439046,1.0
1996-01-22,190.05,190.05,190.0,190.0,150.0,-0.050000000000000044,1.0
1996-01-23,195.0,195.0,195.0,195.0,100.0,0.026315789473684292,1.0
1996-01-24,195.0,194.95,194.95,194.95,50.0,-0.0002564102564103221,1.0
1996-01-25,191.05,192.0,190.0,190.0,200.0,-0.025391125929725478,1.0
1996-01-29,190.0,190.0,190.0,190.0,100.0,0.0,1.0
1996-01-30,190.0,195.0,190.0,195.0,200.0,0.026315789473684292,1.0
1996-01-31,190.0,190.0,190.0,190.0,150.0,-0.02564102564102566,1.0
1996-02-01,196.0,198.95,195.55,196.0,250.0,0.03157894736842115,1.0
1996-02-02,200.0,209.0,200.0,209.0,300.0,0.06632653061224492,1.0
1996-02-05,220.0,228.0,212.5,228.0,600.0,0.09090909090909083,1.0
1996-02-06,228.0,214.0,212.0,212.0,500.0,-0.07017543859649122,1.0
1996-02-07,206.0,207.0,204.25,204.25,200.0,-0.03655660377358494,1.0
1996-02-08,204.25,207.0,207.0,207.0,150.0,0.01346389228886169,1.0
1996-02-09,207.05,215.5,207.05,215.5,300.0,0.04106280193236711,1.0
1996-02-12,215.5,222.0,212.0,212.0,1250.0,-0.016241299303944357,1.0
1996-02-13,210.0,212.0,209.0,212.0,400.0,0.0,1.0
1996-02-14,216.0,220.0,216.0,217.15,1600.0,0.02429245283018866,1.0
1996-02-15,221.0,228.0,221.0,227.0,950.0,0.04536034998848715,1.0
1996-02-16,224.0,224.0,220.0,224.0,550.0,-0.013215859030836996,1.0
