Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,26.5,26.5,25.6,26.0,2500.0,,1.0
1996-01-02,26.0,26.55,25.8,26.25,7700.0,0.009615384615384581,1.0
1996-01-03,26.25,26.05,25.8,26.0,2600.0,-0.00952380952380949,1.0
1996-01-04,26.0,26.25,25.8,25.8,1500.0,-0.007692307692307665,1.0
1996-01-05,25.5,25.75,25.25,25.75,2900.0,-0.0019379844961240345,1.0
1996-01-08,25.5,25.5,25.35,25.5,2000.0,-0.009708737864077666,1.0
1996-01-09,25.5,25.0,24.7,24.85,2600.0,-0.025490196078431282,1.0
1996-01-10,24.85,25.25,25.0,25.1,8200.0,0.010060362173038184,1.0
1996-01-11,25.15,25.15,24.85,24.85,1000.0,-0.009960159362549792,1.0
1996-01-12,25.0,25.25,25.0,25.1,2300.0,0.010060362173038184,1.0
1996-01-15,25.0,25.5,25.0,25.3,1200.0,0.007968127490039834,1.0
1996-01-16,25.3,25.3,25.0,25.3,1700.0,0.0,1.0
1996-01-17,25.3,25.0,24.75,25.0,4600.0,-0.011857707509881465,1.0
1996-01-18,25.0,25.0,24.8,24.85,5400.0,-0.005999999999999894,1.0
1996-01-19,24.5,25.0,24.5,24.95,3800.0,0.004024144869215096,1.0
1996-01-22,24.6,25.2,24.6,24.85,1400.0,-0.004008016032064021,1.0
1996-01-23,24.85,25.0,24.75,25.0,5100.0,0.006036217303822866,1.0
1996-01-24,24.75,24.85,24.05,24.8,3600.0,-0.008000000000000007,1.0
1996-01-25,24.8,24.8,24.1,24.1,5300.0,-0.028225806451612878,1.0
1996-01-29,23.6,24.3,23.6,24.0,3200.0,-0.004149377593361092,1.0
1996-01-30,24.45,24.5,24.0,24.5,7100.0,0.02083333333333326,1.0
1996-01-31,24.0,25.0,24.0,24.65,1000.0,0.006122448979591688,1.0
1996-02-01,24.65,25.0,24.25,24.5,7900.0,-0.006085192697768749,1.0
1996-02-02,24.0,24.5,23.95,24.45,8100.0,-0.0020408163265306367,1.0
1996-02-05,24.45,24.5,23.25,24.5,5600.0,0.002044989775051187,1.0
1996-02-06,24.5,25.0,24.0,24.5,2800.0,0.0,1.0
1996-02-07,24.5,25.0,24.0,24.55,1400.0,0.0020408163265306367,1.0
1996-02-08,24.55,24.6,24.25,24.25,4100.0,-0.012219959266802527,1.0
1996-02-09,25.0,25.25,24.65,25.25,3600.0,0.04123711340206193,1.0
1996-02-12,25.75,26.0,25.65,25.75,5500.0,0.01980198019801982,1.0
1996-02-13,25.75,26.0,25.0,25.7,5400.0,-0.001941747572815511,1.0
1996-02-14,25.7,26.5,25.75,26.0,11200.0,0.011673151750972721,1.0
1996-02-15,26.0,26.3,26.0,26.25,5200.0,0.009615384615384581,1.0
1996-02-16,26.25,26.1,25.5,25.7,5100.0,-0.020952380952380945,1.0
1996-02-19,25.7,26.25,25.5,25.55,2500.0,-0.005836575875486361,1.0
1996-02-20,25.55,26.0,25.0,25.8,5100.0,0.009784735812133016,1.0
1996-02-22,25.8,26.35,25.5,25.85,3400.0,0.0019379844961240345,1.0
1996-02-23,25.85,25.95,25.25,25.75,5200.0,-0.003868471953578423,1.0
1996-02-26,25.75,26.0,25.0,25.0,7600.0,-0.029126213592232997,1.0
1996-02-27,25.0,26.0,25.25,25.65,7400.0,0.026000000000000023,1.0
1996-02-28,26.0,26.2,25.55,25.9,4900.0,0.00974658869395717,1.0
1996-02-29,25.95,27.0,25.25,25.3,6800.0,-0.02316602316602312,1.0
1996-03-01,25.3,27.0,24.2,25.0,3600.0,-0.011857707509881465,1.0
1996-03-04,25.0,27.0,25.25,25.25,5700.0,0.010000000000000009,1.0
1996-03-06,27.75,27.9,26.2,26.5,7800.0,0.04950495049504955,1.0
1996-03-07,26.5,26.5,26.05,26.25,3900.0,-0.009433962264150941,1.0
1996-03-08,26.25,27.7,26.25,26.75,3900.0,0.01904761904761898,1.0
1996-03-11,26.75,27.6,26.25,26.3,2900.0,-0.016822429906542036,1.0
1996-03-12,27.5,27.5,25.5,25.6,5300.0,-0.026615969581749055,1.0
1996-03-13,25.6,27.45,25.5,25.6,500.0,0.0,1.0
1996-03-14,25.6,25.95,25.6,25.6,1000.0,0.0,1.0
1996-03-15,25.6,25.55,25.25,25.3,2000.0,-0.01171875,1.0
1996-03-18,25.3,25.5,24.7,25.2,4800.0,-0.0039525691699605625,1.0
1996-03-19,25.2,25.0,24.1,24.6,3600.0,-0.023809523809523725,1.0
1996-03-21,24.6,25.0,24.5,24.8,2300.0,0.008130081300812941,1.0
1996-03-22,24.8,25.2,24.55,25.2,2700.0,0.016129032258064502,1.0
1996-03-25,25.2,25.25,24.65,25.0,1400.0,-0.007936507936507908,1.0
1996-03-26,25.0,25.4,25.0,25.1,5800.0,0.0040000000000000036,1.0
1996-03-27,25.1,26.0,24.85,25.8,3600.0,0.027888446215139417,1.0
1996-03-28,25.8,27.7,25.75,27.55,7100.0,0.06782945736434098,1.0
1996-03-29,27.55,28.5,26.8,27.9,9000.0,0.012704174228675091,1.0
1996-04-01,27.9,30.7,28.45,29.25,3100.0,0.048387096774193505,1.0
1996-04-02,29.25,29.8,28.3,28.3,9400.0,-0.032478632478632474,1.0
1996-04-03,28.3,30.0,28.5,29.25,2800.0,0.03356890459363959,1.0
1996-04-04,29.25,28.25,27.0,27.1,3300.0,-0.07350427350427347,1.0
1996-04-08,27.1,27.5,26.5,26.9,3400.0,-0.0073800738007381295,1.0
1996-04-09,26.9,27.5,26.6,26.75,3900.0,-0.005576208178438624,1.0
1996-04-10,27.0,27.25,26.95,26.95,4100.0,0.007476635514018559,1.0
1996-04-11,26.9,26.9,26.0,26.25,1600.0,-0.025974025974025983,1.0
1996-04-12,26.25,26.25,25.75,26.0,5000.0,-0.00952380952380949,1.0
1996-04-15,26.0,26.7,26.0,26.7,4300.0,0.026923076923076827,1.0
1996-04-16,26.7,27.45,26.05,26.95,6300.0,0.009363295880149725,1.0
1996-04-17,26.95,27.9,27.1,27.5,3600.0,0.020408163265306145,1.0
1996-04-18,27.5,29.45,28.5,28.8,5300.0,0.047272727272727355,1.0
1996-04-19,28.8,30.0,28.5,28.85,8000.0,0.0017361111111111605,1.0
1996-04-22,28.85,29.0,28.0,28.45,10200.0,-0.013864818024263537,1.0
1996-04-23,28.45,28.25,26.05,26.2,9200.0,-0.07908611599297011,1.0
1996-04-24,26.2,28.5,27.0,27.5,6800.0,0.04961832061068705,1.0
1996-04-25,27.5,28.0,27.5,27.5,6300.0,0.0,1.0
1996-04-26,27.5,27.5,26.0,26.7,2400.0,-0.029090909090909167,1.0
1996-04-29,26.7,26.95,26.25,26.75,5500.0,0.0018726591760300781,1.0
1996-04-30,26.75,29.5,26.0,26.1,9700.0,-0.024299065420560706,1.0
1996-05-01,26.1,28.5,27.45,28.0,3700.0,0.07279693486590033,1.0
1996-05-02,29.0,29.0,27.3,28.0,6000.0,0.0,1.0
1996-05-03,29.0,29.0,27.55,27.6,1500.0,-0.014285714285714235,1.0
1996-05-06,29.0,29.0,27.0,27.45,12500.0,-0.005434782608695676,1.0
1996-05-07,27.45,27.9,25.65,26.6,6300.0,-0.030965391621129212,1.0
1996-05-08,26.6,27.4,27.0,27.1,2300.0,0.018796992481203034,1.0
1996-05-09,29.5,29.5,27.0,27.0,6600.0,-0.0036900369003690647,1.0
1996-05-10,29.0,29.0,27.0,27.2,4700.0,0.007407407407407307,1.0
1996-05-13,29.0,29.0,27.0,27.25,3800.0,0.0018382352941177516,1.0
1996-05-14,27.25,27.25,27.0,27.1,3700.0,-0.0055045871559632475,1.0
1996-05-15,29.0,29.0,26.55,27.0,3900.0,-0.0036900369003690647,1.0
1996-05-16,29.75,29.75,27.05,27.8,2300.0,0.029629629629629672,1.0
1996-05-17,27.1,28.05,27.0,27.0,5300.0,-0.02877697841726623,1.0
1996-05-20,28.85,28.85,27.0,27.0,2200.0,0.0,1.0
1996-05-21,29.0,29.0,26.1,26.1,2900.0,-0.033333333333333326,1.0
1996-05-22,28.75,28.75,26.3,26.35,2500.0,0.009578544061302763,1.0
1996-05-23,26.35,26.45,25.8,25.8,2000.0,-0.020872865275142316,1.0
1996-05-24,28.5,28.5,24.6,24.8,3700.0,-0.03875968992248058,1.0
1996-05-27,24.8,23.55,23.05,23.5,2600.0,-0.05241935483870974,1.0
1996-05-28,23.5,23.75,23.0,23.75,2700.0,0.010638297872340496,1.0
1996-05-29,23.75,24.0,23.5,24.0,700.0,0.010526315789473717,1.0
1996-05-30,24.0,24.5,23.65,24.4,2300.0,0.016666666666666607,1.0
1996-05-31,24.4,24.0,23.05,23.25,2800.0,-0.047131147540983576,1.0
1996-06-03,23.25,24.2,23.05,23.6,3800.0,0.01505376344086029,1.0
1996-06-04,23.6,23.6,22.85,22.95,4900.0,-0.02754237288135597,1.0
1996-06-05,23.5,23.95,23.35,23.5,3600.0,0.023965141612200425,1.0
1996-06-06,25.85,25.85,23.3,23.7,1500.0,0.008510638297872353,1.0
1996-06-07,24.0,25.0,23.3,23.6,4600.0,-0.00421940928270037,1.0
1996-06-10,26.0,26.0,23.25,23.3,1800.0,-0.012711864406779738,1.0
1996-06-11,24.25,24.25,23.25,23.35,7400.0,0.0021459227467810482,1.0
1996-06-12,25.25,25.25,23.05,23.15,6100.0,-0.008565310492505529,1.0
1996-06-13,23.95,23.95,23.0,23.0,5900.0,-0.00647948164146861,1.0
1996-06-14,25.0,25.0,23.1,23.5,3600.0,0.021739130434782705,1.0
1996-06-17,25.85,25.85,23.5,24.0,3800.0,0.02127659574468077,1.0
1996-06-18,25.0,25.0,23.55,24.15,8600.0,0.006249999999999867,1.0
1996-06-19,26.0,26.0,24.0,24.0,3600.0,-0.006211180124223503,1.0
1996-06-20,25.95,25.95,23.55,23.95,2000.0,-0.002083333333333326,1.0
1996-06-21,24.0,24.6,24.0,24.3,5000.0,0.014613778705636848,1.0
1996-06-24,25.95,25.95,23.5,23.8,3900.0,-0.020576131687242816,1.0
1996-06-25,25.7,25.7,23.5,23.55,5500.0,-0.010504201680672232,1.0
1996-06-26,25.4,25.4,23.75,23.95,1500.0,0.01698513800424628,1.0
1996-06-27,25.4,25.4,23.5,24.0,5300.0,0.0020876826722338038,1.0
1996-06-28,25.2,25.2,23.5,24.0,12200.0,0.0,1.0
1996-07-01,24.9,24.9,24.0,24.0,5900.0,0.0,1.0
1996-07-02,24.6,24.6,24.0,24.1,5200.0,0.004166666666666652,1.0
1996-07-03,24.75,24.75,23.2,24.0,11200.0,-0.004149377593361092,1.0
1996-07-04,24.85,24.85,24.0,24.0,4900.0,0.0,1.0
1996-07-05,24.85,25.0,24.0,24.75,5400.0,0.03125,1.0
1996-07-08,25.0,25.0,24.0,24.1,3100.0,-0.02626262626262621,1.0
1996-07-09,24.95,24.95,24.0,24.0,7900.0,-0.004149377593361092,1.0
1996-07-10,25.0,25.0,23.5,23.55,6300.0,-0.018749999999999933,1.0
1996-07-11,24.5,24.5,23.5,23.6,4400.0,0.002123142250530785,1.0
1996-07-12,24.25,24.4,23.5,23.55,1500.0,-0.0021186440677966045,1.0
1996-07-15,24.2,24.2,22.6,23.0,2600.0,-0.023354564755838636,1.0
1996-07-16,25.0,25.0,22.5,22.5,5900.0,-0.021739130434782594,1.0
1996-07-17,24.75,24.75,22.5,23.2,1500.0,0.03111111111111109,1.0
1996-07-18,23.95,23.95,23.0,23.0,1700.0,-0.008620689655172376,1.0
1996-07-19,23.9,23.9,22.65,22.65,4000.0,-0.01521739130434785,1.0
1996-07-22,22.05,23.2,22.05,23.2,200.0,0.02428256070640189,1.0
1996-07-23,24.0,24.0,22.05,22.45,3400.0,-0.032327586206896575,1.0
1996-07-24,23.95,24.0,22.5,22.75,4300.0,0.013363028953229383,1.0
1996-07-25,24.0,24.0,22.5,22.55,2200.0,-0.00879120879120876,1.0
1996-07-26,24.0,24.0,22.5,22.5,3900.0,-0.0022172949002217113,1.0
1996-07-29,21.7,21.7,21.5,21.5,1700.0,-0.0444444444444444,1.0
1996-07-30,23.0,23.0,21.75,22.45,10800.0,0.04418604651162794,1.0
1996-07-31,23.95,23.95,22.0,22.45,2000.0,0.0,1.0
1996-08-01,23.75,23.95,22.0,22.6,3000.0,0.006681514476614803,1.0
1996-08-02,24.0,24.0,22.05,22.4,2500.0,-0.008849557522124019,1.0
1996-08-05,23.95,24.0,22.0,22.0,2200.0,-0.017857142857142794,1.0
1996-08-06,22.95,22.95,22.0,22.0,5100.0,0.0,1.0
1996-08-07,24.0,24.0,22.0,22.25,4700.0,0.011363636363636465,1.0
1996-08-08,23.5,23.5,22.0,22.15,11300.0,-0.004494382022471988,1.0
1996-08-09,22.95,22.95,22.0,22.0,4100.0,-0.006772009029345272,1.0
1996-08-12,22.65,22.65,22.0,22.1,1900.0,0.00454545454545463,1.0
1996-08-13,22.5,22.5,22.0,22.0,5700.0,-0.004524886877828149,1.0
1996-08-14,22.45,22.5,22.0,22.05,5400.0,0.002272727272727204,1.0
1996-08-16,22.45,22.45,22.0,22.1,7200.0,0.0022675736961450532,1.0
1996-08-19,22.4,22.4,22.0,22.0,12600.0,-0.004524886877828149,1.0
1996-08-20,22.45,22.45,22.0,22.1,16700.0,0.00454545454545463,1.0
1996-08-21,22.4,22.4,22.0,22.0,15100.0,-0.004524886877828149,1.0
