Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,30.5,30.5,30.5,30.5,300.0,,1.0
1996-01-02,30.75,30.75,30.75,30.75,100.0,0.008196721311475308,1.0
1996-01-05,29.0,29.0,29.0,29.0,100.0,-0.05691056910569103,1.0
1996-01-08,28.75,29.0,28.75,28.8,700.0,-0.006896551724137945,1.0
1996-01-09,28.25,30.5,28.25,29.65,600.0,0.02951388888888884,1.0
1996-01-10,27.75,28.95,27.75,28.95,800.0,-0.02360876897133224,1.0
1996-01-11,28.5,28.5,26.5,26.5,200.0,-0.08462867012089803,1.0
1996-01-12,25.6,26.5,25.6,26.5,400.0,0.0,1.0
1996-01-15,28.75,28.75,25.85,25.85,600.0,-0.024528301886792447,1.0
1996-01-16,25.85,26.5,26.3,26.3,1100.0,0.01740812379110257,1.0
1996-01-18,26.3,25.0,24.1,25.0,1400.0,-0.049429657794676785,1.0
1996-01-19,24.55,24.75,24.55,24.75,400.0,-0.010000000000000009,1.0
1996-01-22,24.75,24.5,24.0,24.1,1400.0,-0.02626262626262621,1.0
1996-01-23,24.1,24.7,24.0,24.5,1000.0,0.016597510373443924,1.0
1996-01-25,25.0,25.0,24.5,24.5,1400.0,0.0,1.0
1996-01-29,23.95,24.0,23.5,24.0,600.0,-0.020408163265306145,1.0
1996-01-30,23.55,24.5,23.55,24.5,200.0,0.02083333333333326,1.0
1996-02-01,23.5,23.8,23.5,23.75,300.0,-0.030612244897959218,1.0
1996-02-02,24.5,24.5,24.5,24.5,100.0,0.03157894736842115,1.0
1996-02-05,24.5,25.5,24.5,25.5,300.0,0.04081632653061229,1.0
1996-02-06,25.5,26.0,24.5,26.0,1700.0,0.019607843137254832,1.0
1996-02-07,26.0,27.5,26.0,27.5,900.0,0.05769230769230771,1.0
1996-02-08,27.45,28.0,27.0,28.0,500.0,0.018181818181818077,1.0
1996-02-09,28.05,30.0,28.05,29.0,1200.0,0.03571428571428581,1.0
1996-02-12,29.25,30.25,28.5,28.5,2500.0,-0.017241379310344862,1.0
1996-02-13,28.0,29.0,27.0,27.7,1700.0,-0.028070175438596467,1.0
1996-02-14,29.0,30.5,29.0,30.5,900.0,0.10108303249097483,1.0
1996-02-15,30.0,31.0,30.0,30.95,900.0,0.014754098360655776,1.0
1996-02-16,29.25,31.45,29.25,31.0,1000.0,0.001615508885298933,1.0
1996-02-19,31.0,31.0,30.0,30.0,900.0,-0.032258064516129004,1.0
1996-02-20,30.0,30.0,29.4,29.75,1800.0,-0.008333333333333304,1.0
1996-02-22,30.0,30.0,29.5,29.5,500.0,-0.008403361344537785,1.0
1996-02-23,29.5,29.75,29.05,29.3,1700.0,-0.006779661016949157,1.0
1996-02-26,30.0,30.0,28.95,29.0,1200.0,-0.010238907849829393,1.0
1996-02-27,29.0,30.25,29.0,30.25,700.0,0.0431034482758621,1.0
1996-02-28,29.15,29.5,29.15,29.5,600.0,-0.024793388429752095,1.0
1996-02-29,29.0,29.25,29.0,29.25,200.0,-0.008474576271186418,1.0
1996-03-01,28.5,28.5,28.1,28.25,600.0,-0.03418803418803418,1.0
1996-03-04,27.9,28.25,27.9,28.25,1300.0,0.0,1.0
1996-03-06,27.5,27.5,27.5,27.5,200.0,-0.026548672566371723,1.0
1996-03-07,27.5,28.0,27.5,28.0,1000.0,0.018181818181818077,1.0
1996-03-08,28.75,28.75,28.5,28.5,200.0,0.017857142857142794,1.0
1996-03-11,27.75,27.9,27.75,27.9,300.0,-0.021052631578947434,1.0
1996-03-12,25.55,25.55,25.55,25.55,100.0,-0.08422939068100355,1.0
1996-03-13,25.55,28.0,28.0,28.0,500.0,0.09589041095890405,1.0
1996-03-15,27.5,27.5,26.0,26.0,700.0,-0.0714285714285714,1.0
1996-03-18,25.1,25.1,23.75,24.1,700.0,-0.07307692307692304,1.0
1996-03-19,24.0,24.1,24.0,24.0,500.0,-0.004149377593361092,1.0
1996-03-21,22.25,25.9,22.25,24.1,1100.0,0.004166666666666652,1.0
1996-03-22,24.1,25.0,25.0,25.0,100.0,0.03734439834024883,1.0
1996-03-25,24.0,26.2,24.0,25.0,700.0,0.0,1.0
1996-03-26,25.1,25.75,25.1,25.75,600.0,0.030000000000000027,1.0
1996-03-27,24.0,24.0,24.0,24.0,500.0,-0.06796116504854366,1.0
1996-03-28,25.25,25.25,25.25,25.25,100.0,0.05208333333333326,1.0
1996-03-29,25.35,25.35,25.35,25.35,100.0,0.003960396039603964,1.0
1996-04-01,25.7,26.0,25.7,26.0,200.0,0.02564102564102555,1.0
1996-04-02,27.0,27.0,25.55,25.55,700.0,-0.017307692307692246,1.0
1996-04-04,25.5,25.5,25.5,25.5,100.0,-0.00195694716242667,1.0
1996-04-08,25.5,26.0,25.5,25.65,1100.0,0.00588235294117645,1.0
1996-04-09,25.5,26.5,25.5,26.0,500.0,0.013645224171540127,1.0
1996-04-10,25.55,25.8,23.75,25.15,1200.0,-0.0326923076923078,1.0
1996-04-11,25.0,25.0,24.5,24.5,400.0,-0.025844930417495027,1.0
1996-04-12,24.5,25.0,24.0,24.7,1100.0,0.008163265306122325,1.0
1996-04-15,25.95,25.95,25.0,25.75,800.0,0.04251012145748989,1.0
1996-04-16,26.0,28.25,26.0,27.0,2600.0,0.04854368932038833,1.0
1996-04-17,27.5,27.5,24.5,24.75,16200.0,-0.08333333333333337,1.0
1996-04-18,24.75,26.5,23.0,23.4,19200.0,-0.054545454545454564,1.0
1996-04-19,23.4,24.75,24.0,24.0,9500.0,0.025641025641025772,1.0
1996-04-22,24.0,25.5,24.8,24.9,9100.0,0.03749999999999987,1.0
1996-04-23,24.9,25.2,24.55,25.05,5000.0,0.006024096385542244,1.0
1996-04-24,25.05,27.2,26.05,27.2,1600.0,0.0858283433133733,1.0
1996-04-25,27.2,27.5,26.05,27.0,3300.0,-0.007352941176470562,1.0
1996-04-26,27.0,27.75,27.0,27.75,2800.0,0.02777777777777768,1.0
1996-04-29,27.75,27.25,26.4,27.25,1900.0,-0.018018018018018056,1.0
1996-04-30,27.95,27.95,27.25,27.45,1900.0,0.007339449541284404,1.0
1996-05-01,28.0,28.0,24.75,24.75,31600.0,-0.09836065573770492,1.0
1996-05-02,24.75,25.8,22.75,24.25,33700.0,-0.02020202020202022,1.0
1996-05-03,24.25,25.3,24.0,25.3,3700.0,0.04329896907216502,1.0
1996-05-06,25.3,25.5,24.5,25.05,5200.0,-0.00988142292490124,1.0
1996-05-07,25.05,25.5,24.15,24.25,6400.0,-0.031936127744511045,1.0
1996-05-08,24.25,24.5,22.0,23.1,33700.0,-0.04742268041237108,1.0
1996-05-09,23.1,23.95,22.0,22.0,22300.0,-0.04761904761904767,1.0
1996-05-10,22.0,23.0,21.5,23.0,4400.0,0.045454545454545414,1.0
1996-05-13,23.0,24.0,22.75,23.1,4400.0,0.004347826086956497,1.0
1996-05-14,23.1,23.2,22.5,22.55,8300.0,-0.023809523809523836,1.0
1996-05-15,20.6,23.4,20.25,20.35,33100.0,-0.09756097560975607,1.0
1996-05-16,20.35,22.0,20.0,20.0,96100.0,-0.017199017199017286,1.0
