Date,Open,High,Low,Close,Volume,Returns,Anomaly
2012-06-13,45.0,45.0,45.0,45.0,1.0,,1.0
2013-03-01,169.15,169.15,169.15,169.15,1.0,,1.0
2013-03-04,293.3,293.3,293.3,293.3,1.0,-0.049886621315192725,1.0
2013-03-05,300.0,300.0,300.0,300.0,11.0,0.022843504943743653,1.0
2013-03-25,289.0,289.0,289.0,289.0,1.0,-0.036666666666666625,1.0
2013-04-01,286.1666666666667,286.1666666666667,286.1666666666667,286.1666666666667,2.666666666666667,-0.04082862523540487,1.0
2013-04-05,283.3333333333333,283.3333333333333,283.3333333333333,283.3333333333333,4.333333333333334,-0.044990583804143114,1.0
2013-04-08,280.5,280.5,280.5,280.5,6.0,-0.04915254237288136,1.0
2013-05-10,290.0,290.0,290.0,290.0,10.0,0.033868092691622165,1.0
2013-05-13,304.0,304.0,304.0,304.0,1.0,0.048275862068965614,1.0
2013-05-14,304.0,304.0,304.0,304.0,1.0,0.0,1.0
2013-05-20,299.5,299.5,299.5,299.5,1.0,-0.022653721682847905,1.0
2013-05-21,295.0,295.0,295.0,295.0,1.0,-0.04530744336569581,1.0
2013-06-24,290.0,290.0,290.0,290.0,9.0,-0.016949152542372836,1.0
2013-08-29,290.0,290.0,290.0,290.0,5.0,0.0,1.0
2013-09-17,275.5,275.5,275.5,275.5,2.0,-0.050000000000000044,1.0
2013-10-07,262.0,262.0,262.0,262.0,1.0,-0.0490018148820327,1.0
2013-10-08,274.45,274.45,274.45,274.45,1.0,0.04751908396946569,1.0
2013-10-18,261.6,261.6,261.6,261.6,5.0,-0.046820914556385373,1.0
2013-10-22,255.0,255.0,255.0,255.0,2.0,-0.025229357798165264,1.0
2013-10-24,242.6,242.6,242.6,242.6,10.0,-0.04862745098039223,1.0
2013-10-31,240.0,240.0,240.0,240.0,5.0,-0.010717230008243983,1.0
2013-11-08,228.0,228.0,228.0,228.0,6.0,-0.050000000000000044,1.0
2013-11-11,228.0,228.0,220.0,220.0,3.0,-0.03508771929824561,1.0
