Date,Open,High,Low,Close,Volume,Returns,Anomaly
2014-12-19,,,,,,,
2014-12-22,,,,,,,
2014-12-23,,,,,,,
2014-12-24,573.55,579.8,561.75,564.1,233855.0,-0.015789932827357522,1.0
2014-12-26,567.7,569.35,538.5,543.25,277026.0,-0.03696153164332572,1.0
2014-12-29,544.0,545.75,520.55,526.55,483157.0,-0.03074091118269684,1.0
2014-12-30,541.0333333333333,547.5833333333334,524.5666666666666,531.4166666666666,472985.3333333333,-0.01928845117422129,1.0
2014-12-31,538.0666666666667,549.4166666666666,528.5833333333334,536.2833333333333,462813.6666666667,-0.007835991165745737,1.0
2015-01-01,535.1,551.25,532.6,541.15,452642.0,0.003616468842729814,1.0
2015-01-02,541.0,553.7,537.0,539.25,245109.0,-0.00351104130093316,1.0
2015-01-05,539.9,545.5,523.2,526.35,175944.0,-0.023922114047287835,1.0
2015-01-06,521.0,529.4,510.0,512.1,252448.0,-0.0270732402393844,1.0
2015-01-07,512.15,517.45,502.6,503.95,143146.0,-0.015914860378832274,1.0
2015-01-08,510.1,528.1,509.0,511.35,249766.0,0.01468399642821705,1.0
2015-01-09,516.7,522.3,506.25,508.5,121326.0,-0.005573481959519011,1.0
2015-01-12,508.9,513.6,505.4,507.2,115327.0,-0.0025565388397247313,1.0
2015-01-13,509.8,519.0,502.5,504.8,172043.0,-0.004731861198738141,1.0
2015-01-14,505.1,512.0,501.5,502.85,87407.0,-0.0038629160063391454,1.0
2015-01-15,510.0,511.0,498.55,501.95,97371.0,-0.0017897981505420324,1.0
2015-01-16,501.5,502.95,482.0,483.5,156207.0,-0.0367566490686323,1.0
2015-01-19,487.5,492.85,461.1,476.0,391967.0,-0.015511892450879028,1.0
2015-01-20,477.95,492.0,475.05,479.25,150193.0,0.0068277310924369505,1.0
2015-01-21,480.0,485.0,472.6,481.25,111609.0,0.004173187271778733,1.0
2015-01-22,481.85,495.9,476.0,487.0,160264.0,0.01194805194805193,1.0
2015-01-23,490.0,494.8,482.45,486.2,86394.0,-0.001642710472279263,1.0
2015-01-27,487.1,506.0,486.0,498.05,191144.0,0.024372686137392074,1.0
2015-01-28,498.05,502.65,486.25,488.25,79228.0,-0.01967673928320457,1.0
2015-01-29,489.95,497.7,482.1,488.45,72333.0,0.00040962621607776306,1.0
2015-01-30,492.4,492.4,478.5,480.45,41614.0,-0.016378339645818363,1.0
2015-02-02,480.0,489.25,478.65,479.45,50691.0,-0.002081382037673052,1.0
2015-02-03,480.4,493.5,479.05,481.2,66776.0,0.0036500156429242203,1.0
2015-02-04,500.67499999999995,515.3625,495.8,498.925,118776.75,-0.0031000966173557187,1.0
2015-02-05,520.95,537.225,512.55,516.65,170777.5,-0.009850208877635658,1.0
2015-02-06,541.225,559.0875000000001,529.3,534.375,222778.25,-0.016600321137915597,1.0
2015-02-09,561.5,580.95,546.05,552.1,274779.0,-0.023350433398195536,1.0
2015-02-10,550.0,562.7,538.1,542.65,77671.0,-0.01711646440862169,1.0
2015-02-11,547.2,561.0,542.0,545.25,47072.0,0.004791301944162996,1.0
2015-02-12,549.0,556.6,529.0,532.2,76565.0,-0.023933975240715166,1.0
2015-02-13,535.9,541.0,520.05,522.55,58296.0,-0.018132281097332004,1.0
2015-02-16,521.5,540.0,521.5,528.45,71283.0,0.01129078557075891,1.0
2015-02-18,529.0,588.0,523.85,567.55,467009.0,0.07398997066893731,1.0
2015-02-19,572.7,581.95,557.4,559.9,108446.0,-0.013478988635362454,1.0
2015-02-20,558.25,564.3,540.0,541.7,72800.0,-0.032505804607965594,1.0
2015-02-23,542.0,546.55,532.0,534.95,41793.0,-0.012460771644821844,1.0
2015-02-24,534.7,542.35,522.6,524.5,37974.0,-0.01953453593793819,1.0
2015-02-25,529.2,534.5,518.05,520.75,39850.0,-0.007149666348903683,1.0
2015-02-26,523.95,529.0,510.5,511.45,36241.0,-0.017858857417186735,1.0
2015-02-27,516.15,528.9,512.25,516.75,64058.0,0.010362694300518172,1.0
2015-02-28,520.8,533.65,517.2,525.55,87371.0,0.017029511369133887,1.0
2015-03-02,525.55,532.0,518.45,521.35,22878.0,-0.007991627818475733,1.0
2015-03-03,524.2,531.0,521.95,523.35,44688.0,0.003836194495060896,1.0
2015-03-04,528.6,529.0,512.0,515.1,41489.0,-0.0157638291774147,1.0
2015-03-05,516.5,532.0,511.05,521.0,50992.0,0.011454086585129142,1.0
2015-03-09,519.9,532.5,514.8,521.55,50082.0,0.0010556621880997152,1.0
2015-03-10,526.7,528.4,514.8,516.85,33094.0,-0.009011600038347112,1.0
2015-03-11,519.7,523.5,514.05,519.7,50044.0,0.0055141723904421625,1.0
2015-03-12,520.55,562.8,520.55,540.55,248622.0,0.04011929959592053,1.0
2015-03-13,540.0,548.65,516.3,517.5,53490.0,-0.04264175376930901,1.0
2015-03-16,519.7,519.7,511.35,513.55,56440.0,-0.00763285024154603,1.0
2015-03-17,515.8,517.75,501.6,504.8,58403.0,-0.017038263070781712,1.0
2015-03-18,507.9,507.9,491.4,493.0,55235.0,-0.023375594294770208,1.0
2015-03-19,497.7,511.5,485.1,488.4,49454.0,-0.009330628803245533,1.0
2015-03-20,490.8,491.1,473.1,480.75,82672.0,-0.01566339066339062,1.0
2015-03-23,478.0,492.5,477.5,485.35,101964.0,0.009568382735309466,1.0
2015-03-24,478.05,485.0,462.0,465.9,39559.0,-0.04007417327701668,1.0
2015-03-25,467.0,490.65,466.35,474.85,82724.0,0.019210130929384173,1.0
2015-03-26,470.0,481.9,470.0,475.25,66694.0,0.0008423712751395307,1.0
2015-03-27,478.8,478.8,451.3,475.6,46994.0,0.0007364544976329324,1.0
2015-03-30,474.0,482.9,474.0,477.5,19332.0,0.0039949537426409165,1.0
2015-03-31,479.75,490.0,477.0,480.3,34066.0,0.005863874345549691,1.0
2015-04-01,480.3,514.0,480.3,507.95,79397.0,0.057568186550072786,1.0
2015-04-06,509.75,535.0,508.85,526.9,74378.0,0.03730682153755294,1.0
2015-04-07,526.0,539.35,525.95,530.85,25524.0,0.007496678686657932,1.0
2015-04-08,535.0,544.2,528.0,530.0,47499.0,-0.0016012056136385233,1.0
2015-04-09,535.65,544.0,532.15,539.8,33021.0,0.01849056603773569,1.0
2015-04-10,542.0,567.6,540.05,557.6,115707.0,0.032975175991107886,1.0
2015-04-13,552.3,567.05,548.1,553.45,37508.0,-0.007442611190817794,1.0
2015-04-15,556.8,567.05,548.15,552.25,30674.0,-0.0021682175444937,1.0
2015-04-16,554.15,554.8,533.1,545.75,40552.0,-0.011770031688546845,1.0
2015-04-17,544.35,563.0,540.0,545.55,55105.0,-0.0003664681630783928,1.0
2015-04-20,546.0,551.0,526.0,536.05,26648.0,-0.017413619283292103,1.0
2015-04-21,537.4,546.0,531.55,541.65,20427.0,0.010446786680347042,1.0
2015-04-22,535.0,557.95,535.0,554.95,53980.0,0.024554601680051746,1.0
2015-04-23,555.95,562.0,553.0,557.25,19518.0,0.004144517524101277,1.0
2015-04-24,560.0,560.85,538.2,546.3,24229.0,-0.01965006729475105,1.0
2015-04-27,546.25,546.25,525.0,534.7,18145.0,-0.021233754347428024,1.0
2015-04-28,536.65,544.8,530.5,534.4,14417.0,-0.0005610622779129715,1.0
2015-04-29,537.8,540.0,527.0,529.8,10770.0,-0.008607784431137744,1.0
2015-04-30,533.6,539.0,519.75,535.3,11686.0,0.010381275953189828,1.0
2015-05-04,539.7,546.9,533.1,538.85,8953.0,0.006631795254997241,1.0
2015-05-05,536.5,602.0,531.0,570.25,251255.0,0.05827224645077478,1.0
2015-05-06,567.2,574.7,540.0,542.45,63447.0,-0.048750548005260796,1.0
2015-05-07,543.0,559.7,538.0,547.15,51082.0,0.008664393031615703,1.0
2015-05-08,544.0,567.85,543.2,553.8,38688.0,0.01215388833043951,1.0
2015-05-11,555.5,586.25,552.1,574.5,52195.0,0.037378114842903765,1.0
2015-05-12,574.0,579.95,553.95,555.8,19681.0,-0.032550043516101024,1.0
2015-05-13,559.7,594.5,558.05,577.65,111523.0,0.039312702410939204,1.0
2015-05-14,572.0,580.0,570.2,574.3,15955.0,-0.0057993594737297816,1.0
2015-05-15,576.0,584.4,567.1,570.05,21217.0,-0.007400313425039218,1.0
2015-05-18,571.4,584.75,567.0,569.35,17939.0,-0.0012279624594332406,1.0
2015-05-19,570.5,593.0,565.95,574.55,57568.0,0.009133222095371707,1.0
2015-05-20,577.45,585.0,569.5,571.0,18958.0,-0.006178748585849769,1.0
2015-05-21,574.45,576.0,563.0,564.4,12964.0,-0.011558669001751398,1.0
2015-05-22,567.55,573.0,565.5,567.85,9923.0,0.006112686038270754,1.0
2015-05-25,573.5,573.5,561.0,563.05,8508.0,-0.008452936514924847,1.0
2015-05-26,566.75,566.8,552.05,556.65,9539.0,-0.011366663706598001,1.0
2015-05-27,553.0,559.0,550.1,552.3,7262.0,-0.007814605227701499,1.0
2015-05-28,558.8,566.85,553.1,561.1,44148.0,0.015933369545537035,1.0
2015-05-29,562.65,584.9,561.75,575.3,33891.0,0.025307431830333238,1.0
2015-06-01,561.5,585.0,556.0,559.05,29694.0,-0.02824613245263341,1.0
2015-06-02,562.7,562.75,548.0,551.05,11962.0,-0.014309990161881725,1.0
2015-06-03,549.6,565.8,525.9,552.1,26462.0,0.0019054532256601586,1.0
2015-06-04,555.55,555.55,525.2,537.25,12535.0,-0.026897301213548275,1.0
2015-06-05,536.8,544.9,531.1,533.9,9135.0,-0.006235458352722212,1.0
2015-06-08,530.0,536.0,514.0,514.7,20432.0,-0.03596179059749005,1.0
2015-06-09,517.15,530.0,510.35,526.1,22148.0,0.02214882455799483,1.0
2015-06-10,524.55,529.0,518.6,525.1,21018.0,-0.0019007793195210398,1.0
2015-06-11,528.0,529.8,516.9,518.65,6916.0,-0.012283374595315255,1.0
2015-06-12,517.75,519.95,503.0,513.35,6351.0,-0.010218837366239186,1.0
2015-06-15,512.6,520.95,510.9,513.3,5491.0,-9.739943508335625e-05,1.0
2015-06-16,514.45,519.9,507.1,510.35,8167.0,-0.005747126436781436,1.0
2015-06-17,514.45,522.5,511.5,514.8,11835.0,0.008719506221220641,1.0
2015-06-18,516.5,527.35,512.05,515.85,11521.0,0.0020396270396272342,1.0
2015-06-19,515.35,524.95,511.0,513.8,7878.0,-0.003974023456431275,1.0
2015-06-22,516.95,523.95,515.05,517.1,26037.0,0.006422732580770862,1.0
2015-06-23,519.7,555.0,516.05,538.15,36428.0,0.04070779346354669,1.0
2015-06-24,543.1,565.0,503.0,557.3,83560.0,0.03558487410573252,1.0
2015-06-25,551.0,553.6,536.75,540.1,9304.0,-0.03086308989772102,1.0
2015-06-26,540.0,555.0,534.95,539.35,16317.0,-0.001388631734863921,1.0
2015-06-29,515.1,535.0,515.1,528.0,7383.0,-0.02104384907759349,1.0
2015-06-30,529.75,545.0,526.25,533.8,9257.0,0.010984848484848486,1.0
2015-07-01,532.15,541.5,529.25,532.45,9430.0,-0.0025290370925438177,1.0
2015-07-02,535.3,542.9,530.0,532.1,6018.0,-0.0006573387172504885,1.0
2015-07-03,528.0,538.5,528.0,531.05,6127.0,-0.0019733132869762526,1.0
2015-07-06,522.0,541.9,520.0,536.0,9030.0,0.009321156199981306,1.0
2015-07-07,539.75,542.8,535.4,537.2,6176.0,0.002238805970149249,1.0
2015-07-08,532.0,538.95,525.2,526.7,9237.0,-0.01954579300074455,1.0
2015-07-09,528.75,556.0,528.7,538.15,22339.0,0.021739130434782483,1.0
2015-07-10,540.0,544.0,528.0,532.1,8035.0,-0.011242218712254837,1.0
2015-07-13,534.7,562.75,532.0,558.25,30538.0,0.049144897575643665,1.0
2015-07-14,558.0,575.0,554.15,569.95,25225.0,0.02095835199283491,1.0
2015-07-15,560.0,572.05,548.0,551.55,13710.0,-0.032283533643302165,1.0
2015-07-16,555.4,559.0,543.1,545.65,9090.0,-0.01069712628048225,1.0
2015-07-17,548.35,558.0,536.05,545.05,12900.0,-0.0010996059745258524,1.0
2015-07-20,545.05,559.0,543.75,548.9,21920.0,0.007063572149344166,1.0
2015-07-21,547.85,554.7,541.0,545.0,4922.0,-0.007105119329568144,1.0
2015-07-22,542.0,546.7,537.4,541.5,5914.0,-0.006422018348623881,1.0
2015-07-23,542.7,554.0,538.1,540.3,8550.0,-0.002216066481994572,1.0
2015-07-24,541.0,551.0,538.5,541.95,6511.0,0.0030538589672406413,1.0
2015-07-27,541.95,549.4,536.1,542.2,72476.0,0.0004612971676354327,1.0
2015-07-28,543.9,545.0,537.25,537.95,5674.0,-0.00783843600147549,1.0
2015-07-29,540.4,545.5,536.1,538.3,5234.0,0.0006506180871825862,1.0
2015-07-30,555.0,560.0,545.0,552.2,29950.0,0.025822032323983057,1.0
2015-07-31,555.45,559.9,551.0,555.7,15918.0,0.006338283230713504,1.0
2015-08-03,562.0,572.1,562.0,565.9,29954.0,0.01835522764081321,1.0
2015-08-04,565.9,567.9,556.2,559.8,10942.0,-0.010779289627142696,1.0
2015-08-05,558.25,565.6,555.0,559.2,13736.0,-0.00107181136120027,1.0
2015-08-06,565.95,574.75,555.0,559.7,31986.0,0.0008941344778254923,1.0
2015-08-07,529.9,529.9,497.4,502.3,191061.0,-0.10255494014650712,1.0
2015-08-10,499.0,509.0,484.95,502.95,75165.0,0.0012940473820426401,1.0
2015-08-11,505.75,508.95,495.0,495.8,11159.0,-0.014216124863306479,1.0
2015-08-12,493.15,498.0,484.05,486.55,10670.0,-0.018656716417910446,1.0
2015-08-13,491.7,494.4,480.0,481.55,10531.0,-0.010276436131949396,1.0
2015-08-14,484.75,485.4,475.05,477.45,12091.0,-0.008514172983075552,1.0
2015-08-17,485.0,487.2,480.05,481.25,5226.0,0.007958948581003211,1.0
2015-08-18,484.75,504.0,480.1,481.5,38710.0,0.0005194805194805863,1.0
2015-08-19,481.35,486.5,477.0,479.45,8520.0,-0.0042575285565940035,1.0
2015-08-20,482.0,483.0,475.0,476.5,6036.0,-0.006152883512357876,1.0
2015-08-21,472.0,474.95,465.0,467.7,9547.0,-0.018467995802728288,1.0
2015-08-24,455.55,475.1,438.0,442.7,25763.0,-0.05345306820611506,1.0
2015-08-25,443.65,452.0,422.4,434.1,19425.0,-0.019426248023492132,1.0
2015-08-26,434.9,447.0,431.0,445.05,7570.0,0.025224602626122916,1.0
2015-08-27,450.0,452.95,438.95,440.5,9216.0,-0.010223570385349934,1.0
2015-08-28,444.5,457.6,444.4,455.35,12319.0,0.03371169125993201,1.0
2015-08-31,465.0,465.0,447.55,449.7,4055.0,-0.01240803777314159,1.0
2015-09-01,446.9,451.5,441.1,444.6,8940.0,-0.011340893929286167,1.0
2015-09-02,446.55,448.0,438.25,439.5,13109.0,-0.011470985155195734,1.0
2015-09-03,441.15,444.95,435.1,440.1,3999.0,0.0013651877133107337,1.0
2015-09-04,440.1,444.4,428.0,429.6,5200.0,-0.02385821404226307,1.0
2015-09-07,430.1,436.0,429.1,433.45,6880.0,0.008961824953444886,1.0
2015-09-08,430.0,439.0,422.9,433.6,8824.0,0.000346060675971982,1.0
2015-09-09,438.95,445.95,433.95,443.3,5921.0,0.022370848708487046,1.0
2015-09-10,439.15,443.15,435.0,435.55,2272.0,-0.0174825174825175,1.0
2015-09-11,435.6,444.0,435.0,438.7,48169.0,0.007232235105039564,1.0
2015-09-14,438.45,443.7,434.4,436.5,7570.0,-0.005014816503305153,1.0
2015-09-15,436.05,443.5,436.0,439.05,8800.0,0.005841924398625409,1.0
2015-09-16,440.1,440.1,436.0,438.9,18916.0,-0.0003416467372737708,1.0
2015-09-18,436.5,457.05,436.5,444.25,16839.0,0.012189564821143861,1.0
2015-09-21,439.9,444.0,439.0,439.15,15341.0,-0.011480022509848142,1.0
2015-09-22,438.6,444.0,435.0,435.7,9715.0,-0.00785608561994755,1.0
2015-09-23,443.7,443.7,431.05,438.3,1935.0,0.0059674087675005705,1.0
2015-09-24,438.95,440.0,435.8,438.2,2119.0,-0.00022815423226107967,1.0
2015-09-28,440.1,440.1,433.25,436.85,12644.0,-0.0030807850296666883,1.0
2015-09-29,430.0,440.0,428.05,437.2,8128.0,0.000801190339933644,1.0
2015-09-30,436.0,440.0,436.0,438.0,7831.0,0.0018298261665141702,1.0
2015-10-01,435.25,440.0,431.0,431.65,6695.0,-0.014497716894977253,1.0
2015-10-05,433.1,440.1,433.0,437.25,6753.0,0.012973473879300368,1.0
2015-10-06,439.9,440.0,438.0,439.2,5353.0,0.00445969125214396,1.0
2015-10-07,438.95,440.0,438.05,439.35,2786.0,0.00034153005464498953,1.0
2015-10-08,439.95,440.0,434.0,434.9,8872.0,-0.010128599066803301,1.0
