Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-03-22,51.45,51.45,51.45,51.45,100.0,,1.0
1996-03-25,46.5,46.5,46.5,46.5,100.0,-0.09620991253644318,1.0
1996-03-26,42.0,42.0,42.0,42.0,100.0,-0.09677419354838712,1.0
1996-03-27,38.0,41.0,38.0,41.0,1900.0,-0.023809523809523836,1.0
1996-03-28,41.0,41.0,41.0,41.0,100.0,0.0,1.0
1996-03-29,39.9,40.5,38.0,38.0,900.0,-0.07317073170731703,1.0
1996-04-01,41.3,41.3,41.3,41.3,200.0,0.08684210526315783,1.0
1996-04-02,38.0,38.0,38.0,38.0,100.0,-0.07990314769975781,1.0
1996-04-04,34.95,34.95,34.95,34.95,100.0,-0.08026315789473681,1.0
1996-04-16,32.6,35.0,32.6,35.0,600.0,0.0014306151645206988,1.0
1996-04-17,35.0,38.0,38.0,38.0,200.0,0.08571428571428563,1.0
1996-04-18,39.0,39.0,38.5,38.5,200.0,0.013157894736842035,1.0
1996-04-19,38.25,38.25,37.25,37.25,200.0,-0.03246753246753242,1.0
1996-04-22,37.25,37.0,37.0,37.0,100.0,-0.006711409395973145,1.0
1996-04-23,40.0,40.0,38.0,38.0,400.0,0.027027027027026973,1.0
1996-04-25,39.5,39.5,38.5,38.5,200.0,0.013157894736842035,1.0
1996-04-26,35.0,35.0,35.0,35.0,100.0,-0.09090909090909094,1.0
1996-04-30,38.5,38.5,38.5,38.5,100.0,0.10000000000000009,1.0
1996-05-07,38.5,37.45,37.45,37.45,100.0,-0.027272727272727226,1.0
1996-05-08,34.5,34.5,34.5,34.5,100.0,-0.07877169559412556,1.0
1996-05-09,34.0,34.0,34.0,34.0,200.0,-0.01449275362318836,1.0
1996-05-16,33.0,33.0,33.0,33.0,100.0,-0.02941176470588236,1.0
1996-05-20,31.0,31.0,31.0,31.0,200.0,-0.06060606060606055,1.0
1996-05-29,31.0,31.0,31.0,31.0,100.0,0.0,1.0
1996-05-30,30.75,30.75,30.75,30.75,300.0,-0.008064516129032251,1.0
1996-05-31,30.8,30.8,30.8,30.8,100.0,0.001626016260162677,1.0
1996-06-04,31.0,31.0,31.0,31.0,800.0,0.006493506493506551,1.0
1996-06-05,31.0,31.0,31.0,31.0,200.0,0.0,1.0
1996-06-06,31.0,31.5,31.0,31.5,600.0,0.016129032258064502,1.0
1996-06-10,31.0,31.0,31.0,31.0,200.0,-0.015873015873015928,1.0
1996-06-12,31.0,31.3,31.0,31.3,600.0,0.00967741935483879,1.0
1996-06-13,31.5,31.5,31.5,31.5,200.0,0.006389776357827559,1.0
1996-06-14,31.5,31.5,31.5,31.5,500.0,0.0,1.0
1996-06-17,31.6,31.75,31.6,31.75,1600.0,0.007936507936507908,1.0
1996-06-18,31.95,32.0,31.95,32.0,300.0,0.007874015748031482,1.0
1996-06-19,33.0,34.0,32.1,32.1,1300.0,0.0031250000000000444,1.0
1996-06-20,31.55,32.0,31.55,32.0,200.0,-0.0031152647975077885,1.0
1996-06-24,32.0,32.5,32.0,32.5,600.0,0.015625,1.0
1996-06-25,33.0,33.5,32.0,33.5,1000.0,0.03076923076923066,1.0
1996-06-26,33.0,33.0,33.0,33.0,600.0,-0.014925373134328401,1.0
1996-06-27,32.0,32.0,32.0,32.0,100.0,-0.030303030303030276,1.0
1996-06-28,34.0,34.0,34.0,34.0,700.0,0.0625,1.0
1996-07-01,33.0,34.0,33.0,33.6,1000.0,-0.0117647058823529,1.0
1996-07-02,32.0,32.0,32.0,32.0,500.0,-0.04761904761904767,1.0
1996-07-03,33.0,33.0,33.0,33.0,100.0,0.03125,1.0
1996-07-04,34.0,34.75,32.0,34.7,1500.0,0.051515151515151514,1.0
1996-07-05,34.5,34.5,34.5,34.5,500.0,-0.0057636887608070175,1.0
1996-07-08,31.5,31.5,31.5,31.5,100.0,-0.08695652173913049,1.0
1996-07-09,33.0,34.0,32.25,32.3,1900.0,0.025396825396825307,1.0
1996-07-10,33.9,34.5,33.9,34.0,1000.0,0.052631578947368585,1.0
1996-07-11,34.5,34.5,34.5,34.5,500.0,0.014705882352941124,1.0
1996-07-17,33.1,34.5,33.1,34.5,700.0,0.0,1.0
1996-07-18,33.0,33.5,33.0,33.5,300.0,-0.02898550724637683,1.0
1996-07-19,34.0,34.0,34.0,34.0,300.0,0.014925373134328401,1.0
1996-07-22,34.0,34.0,34.0,34.0,100.0,0.0,1.0
1996-07-26,34.0,34.0,34.0,34.0,100.0,0.0,1.0
1996-07-29,34.0,34.0,34.0,34.0,200.0,0.0,1.0
1996-07-30,33.5,33.5,33.5,33.5,200.0,-0.014705882352941124,1.0
1996-07-31,34.0,34.45,34.0,34.45,400.0,0.028358208955223896,1.0
1996-08-12,33.5,33.5,33.5,33.5,1000.0,-0.027576197387518264,1.0
1996-08-13,33.0,33.0,33.0,33.0,500.0,-0.014925373134328401,1.0
1996-08-14,32.75,33.0,32.75,33.0,300.0,0.0,1.0
1996-08-16,33.1,33.1,33.1,33.1,100.0,0.003030303030303161,1.0
1996-08-19,33.0,33.0,33.0,33.0,300.0,-0.0030211480362538623,1.0
1996-08-21,34.0,34.0,34.0,34.0,100.0,0.030303030303030276,1.0
1996-08-22,35.0,35.0,35.0,35.0,200.0,0.02941176470588225,1.0
1996-08-23,34.95,34.95,34.95,34.95,100.0,-0.0014285714285713347,1.0
1996-08-26,33.5,34.95,33.5,34.95,400.0,0.0,1.0
1996-08-27,33.0,33.0,33.0,33.0,100.0,-0.05579399141630914,1.0
1996-08-28,33.0,33.0,32.75,32.75,1200.0,-0.007575757575757569,1.0
1996-08-29,32.75,32.75,32.75,32.75,200.0,0.0,1.0
1996-09-09,33.05,33.05,33.05,33.05,200.0,0.009160305343511421,1.0
1996-09-16,33.0,33.0,33.0,33.0,100.0,-0.0015128593040846239,1.0
1996-09-17,33.05,33.5,33.05,33.5,200.0,0.015151515151515138,1.0
1996-09-18,33.0,33.25,33.0,33.15,200.0,-0.010447761194029903,1.0
1996-09-23,33.05,33.5,33.05,33.3,300.0,0.004524886877828038,1.0
1996-09-24,33.4,33.4,33.4,33.4,700.0,0.0030030030030030463,1.0
1996-09-25,33.0,33.5,33.0,33.5,200.0,0.0029940119760478723,1.0
1996-10-01,33.0,33.0,33.0,33.0,100.0,-0.014925373134328401,1.0
1996-10-03,34.5,34.5,33.05,33.05,600.0,0.0015151515151514694,1.0
1996-10-04,33.05,33.05,33.05,33.05,100.0,0.0,1.0
1996-10-07,33.3,33.3,33.3,33.3,100.0,0.0075642965204236745,1.0
1996-10-08,33.25,33.25,33.25,33.25,200.0,-0.0015015015015014122,1.0
1996-10-09,33.0,33.0,33.0,33.0,200.0,-0.007518796992481258,1.0
1996-10-10,33.0,33.0,33.0,33.0,300.0,0.0,1.0
1996-10-11,33.1,33.15,33.1,33.15,200.0,0.004545454545454408,1.0
1996-10-14,33.25,33.25,33.25,33.25,2000.0,0.003016591251885359,1.0
1996-10-15,32.5,33.25,32.5,33.25,2300.0,0.0,1.0
1996-10-16,33.25,33.5,33.25,33.5,200.0,0.007518796992481258,1.0
1996-10-17,33.0,33.0,33.0,33.0,100.0,-0.014925373134328401,1.0
1996-10-18,33.5,33.5,33.1,33.1,200.0,0.003030303030303161,1.0
1996-10-22,33.5,33.95,33.5,33.95,300.0,0.025679758308157163,1.0
1996-10-23,34.0,34.0,32.25,32.25,200.0,-0.050073637702503726,1.0
1996-10-24,34.0,34.0,34.0,34.0,100.0,0.054263565891472965,1.0
1996-10-28,34.0,34.0,33.25,33.25,500.0,-0.022058823529411797,1.0
1996-10-29,34.0,34.0,34.0,34.0,200.0,0.022556390977443552,1.0
1996-11-01,34.0,34.0,34.0,34.0,300.0,0.0,1.0
1996-11-04,34.0,34.0,34.0,34.0,100.0,0.0,1.0
1996-11-14,34.0,34.0,34.0,34.0,100.0,0.0,1.0
1996-11-15,33.0,33.0,33.0,33.0,400.0,-0.02941176470588236,1.0
1996-11-18,33.25,33.25,33.0,33.0,600.0,0.0,1.0
1996-11-19,32.05,32.05,32.0,32.0,1200.0,-0.030303030303030276,1.0
1996-11-20,32.0,32.0,32.0,32.0,2200.0,0.0,1.0
1996-11-21,32.0,34.0,32.0,34.0,3000.0,0.0625,1.0
1996-11-22,34.0,34.0,33.5,33.5,1800.0,-0.014705882352941124,1.0
1996-11-26,33.9,34.0,33.0,33.0,900.0,-0.014925373134328401,1.0
1996-11-28,34.0,34.0,34.0,34.0,2000.0,0.030303030303030276,1.0
1996-12-02,33.85,33.85,33.85,33.85,500.0,-0.004411764705882337,1.0
1996-12-04,32.0,32.0,32.0,32.0,100.0,-0.05465288035450522,1.0
1996-12-09,31.05,31.05,31.05,31.05,200.0,-0.029687499999999978,1.0
1996-12-10,32.0,32.0,30.5,32.0,1700.0,0.03059581320450877,1.0
1996-12-17,32.0,32.5,31.0,31.0,700.0,-0.03125,1.0
1996-12-18,32.25,32.45,32.25,32.3,600.0,0.04193548387096757,1.0
1996-12-19,31.85,31.85,31.0,31.0,800.0,-0.04024767801857576,1.0
1996-12-24,31.0,31.0,31.0,31.0,600.0,0.0,1.0
1996-12-31,32.0,32.0,32.0,32.0,600.0,0.032258064516129004,1.0
1997-01-06,32.95,32.95,32.95,32.95,400.0,0.02968750000000009,1.0
1997-01-07,33.0,33.0,33.0,33.0,100.0,0.0015174506828528056,1.0
1997-01-10,35.0,35.0,35.0,35.0,200.0,0.06060606060606055,1.0
1997-01-13,33.1,33.95,33.05,33.95,700.0,-0.029999999999999916,1.0
1997-01-22,34.0,34.0,34.0,34.0,200.0,0.0014727540500736325,1.0
1997-01-24,32.6,32.6,32.6,32.6,100.0,-0.04117647058823526,1.0
1997-01-27,33.95,34.0,33.95,34.0,300.0,0.042944785276073594,1.0
1997-01-29,34.0,34.0,34.0,34.0,100.0,0.0,1.0
1997-01-31,33.0,33.0,33.0,33.0,100.0,-0.02941176470588236,1.0
1997-02-03,35.0,35.0,35.0,35.0,100.0,0.06060606060606055,1.0
1997-02-04,36.0,36.0,35.05,35.05,200.0,0.0014285714285713347,1.0
1997-02-05,33.05,33.05,33.05,33.05,100.0,-0.05706134094151216,1.0
1997-02-06,33.0,33.0,33.0,33.0,100.0,-0.0015128593040846239,1.0
1997-02-18,33.5,33.5,32.5,32.5,200.0,-0.015151515151515138,1.0
1997-02-21,32.5,32.5,32.5,32.5,100.0,0.0,1.0
1997-02-24,32.9,32.9,32.9,32.9,200.0,0.012307692307692353,1.0
1997-02-27,31.0,31.0,31.0,31.0,100.0,-0.05775075987841938,1.0
1997-03-01,29.0,29.0,29.0,29.0,100.0,-0.06451612903225812,1.0
1997-03-14,29.25,29.25,29.25,29.25,100.0,0.008620689655172376,1.0
1997-03-21,30.0,30.0,30.0,30.0,200.0,0.02564102564102555,1.0
1997-03-26,30.0,30.0,30.0,30.0,200.0,0.0,1.0
1997-04-03,30.5,30.5,30.5,30.5,1800.0,0.016666666666666607,1.0
1997-04-04,31.0,31.0,30.5,30.5,200.0,0.0,1.0
1997-04-07,31.0,31.0,31.0,31.0,100.0,0.016393442622950838,1.0
1997-04-28,34.0,34.0,34.0,34.0,100.0,0.09677419354838701,1.0
1997-05-05,31.0,31.0,31.0,31.0,100.0,-0.08823529411764708,1.0
1997-05-28,31.0,31.0,31.0,31.0,100.0,0.0,1.0
1997-05-29,29.0,29.0,29.0,29.0,100.0,-0.06451612903225812,1.0
1997-05-30,30.0,30.0,30.0,30.0,100.0,0.034482758620689724,1.0
1997-06-02,30.1,30.1,30.1,30.1,100.0,0.0033333333333334103,1.0
1997-06-03,31.0,31.0,31.0,31.0,100.0,0.029900332225913484,1.0
1997-06-04,30.5,30.5,30.5,30.5,300.0,-0.016129032258064502,1.0
1997-06-05,29.0,29.0,29.0,29.0,500.0,-0.049180327868852514,1.0
1997-06-06,29.3,29.3,29.3,29.3,100.0,0.010344827586207028,1.0
1997-06-10,29.25,29.25,29.25,29.25,200.0,-0.0017064846416382506,1.0
1997-06-24,30.05,30.05,30.05,30.05,200.0,0.027350427350427475,1.0
1997-07-03,31.0,31.0,31.0,31.0,200.0,0.03161397670549082,1.0
1997-07-04,31.5,31.5,31.5,31.5,100.0,0.016129032258064502,1.0
1997-07-07,31.5,31.5,31.5,31.5,500.0,0.0,1.0
1997-07-08,31.0,31.0,30.0,30.0,600.0,-0.04761904761904767,1.0
