Date,Open,High,Low,Close,Volume,Returns,Anomaly
2004-02-23,19.35,19.95,16.8,17.05,17226.0,,1.0
2004-02-24,17.9,17.9,16.4,17.05,12037.0,0.0,1.0
2004-02-25,16.75,18.15,15.65,15.75,23052.0,-0.07624633431085048,1.0
2004-02-26,16.1,16.1,14.65,15.0,43150.0,-0.04761904761904767,1.0
2004-02-27,14.3,16.5,14.3,16.5,111872.0,0.10000000000000009,1.0
2004-03-01,17.0,17.0,15.2,16.0,32514.0,-0.030303030303030276,1.0
2004-03-03,17.0,17.0,15.2,15.55,32313.0,-0.028124999999999956,1.0
2004-03-04,15.4,15.9,14.75,14.95,35993.0,-0.03858520900321549,1.0
2004-03-05,13.6,16.0,13.6,15.95,39245.0,0.06688963210702337,1.0
2004-03-08,15.55,16.0,15.15,15.6,17159.0,-0.021943573667711602,1.0
2004-03-09,14.85,15.85,14.65,14.65,14505.0,-0.0608974358974359,1.0
2004-03-10,15.95,15.95,14.0,14.0,17347.0,-0.04436860068259385,1.0
2004-03-11,14.05,14.45,13.75,13.9,29241.0,-0.0071428571428571175,1.0
2004-03-12,14.55,15.25,14.2,14.8,13860.0,0.06474820143884896,1.0
2004-03-15,14.9,14.9,13.9,14.05,32498.0,-0.05067567567567566,1.0
2004-03-16,14.0,14.5,13.7,13.85,18375.0,-0.014234875444839923,1.0
2004-03-17,14.45,14.45,13.95,14.3,4700.0,0.032490974729241895,1.0
2004-03-18,13.15,14.1,13.15,13.7,25218.0,-0.04195804195804209,1.0
2004-03-19,12.4,14.15,12.4,13.7,9097.0,0.0,1.0
2004-03-22,12.65,13.9,12.65,13.5,21674.0,-0.014598540145985384,1.0
2004-03-23,12.25,13.7,12.25,13.4,24300.0,-0.007407407407407418,1.0
2004-03-24,13.3,13.4,12.35,12.55,26528.0,-0.06343283582089554,1.0
2004-03-25,12.15,13.85,12.1,13.55,75085.0,0.07968127490039834,1.0
2004-03-26,13.4,13.6,13.2,13.45,34021.0,-0.0073800738007381295,1.0
2004-03-29,13.3,13.7,12.7,13.5,20130.0,0.003717472118959231,1.0
2004-03-30,13.5,14.0,13.25,13.5,34274.0,0.0,1.0
2004-03-31,13.5,14.0,13.3,13.4,18179.0,-0.007407407407407418,1.0
2004-04-01,14.0,14.75,14.0,14.75,33319.0,0.10074626865671643,1.0
2004-04-02,15.2,16.25,14.7,16.05,29414.0,0.08813559322033893,1.0
2004-04-05,17.0,17.25,16.25,17.05,54860.0,0.06230529595015577,1.0
2004-04-06,16.5,16.75,15.55,16.15,23596.0,-0.052785923753665864,1.0
2004-04-07,15.6,15.6,14.55,14.55,18740.0,-0.09907120743034048,1.0
2004-04-08,13.25,14.7,13.15,14.4,83899.0,-0.010309278350515538,1.0
2004-04-12,15.5,15.85,14.9,15.85,99591.0,0.10069444444444442,1.0
2004-04-13,17.0,17.0,14.85,15.7,68993.0,-0.009463722397476393,1.0
2004-04-15,16.0,16.9,15.8,16.45,81904.0,0.047770700636942776,1.0
2004-04-16,16.5,17.0,15.9,16.05,61429.0,-0.024316109422492294,1.0
2004-04-17,16.35,17.35,16.0,17.0,33403.0,0.05919003115264787,1.0
