Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-02,233.0,233.0,230.0,230.0,500.0,,1.0
1996-01-05,230.0,232.0,230.0,232.0,300.0,0.008695652173912993,1.0
1996-01-09,240.0,240.0,232.0,232.0,300.0,0.0,1.0
1996-01-10,232.5,232.5,232.5,232.5,100.0,0.0021551724137931494,1.0
1996-01-12,248.0,248.0,248.0,248.0,100.0,0.06666666666666665,1.0
1996-01-16,232.5,235.0,232.5,232.5,300.0,-0.0625,1.0
1996-01-17,232.0,232.0,232.0,232.0,100.0,-0.0021505376344086446,1.0
1996-01-19,235.0,245.0,235.0,242.5,300.0,0.04525862068965525,1.0
1996-01-22,238.0,238.0,238.0,238.0,5600.0,-0.01855670103092788,1.0
1996-01-23,244.0,244.0,244.0,244.0,100.0,0.025210084033613356,1.0
1996-01-24,242.0,242.0,242.0,242.0,100.0,-0.008196721311475419,1.0
1996-02-02,242.0,245.0,245.0,245.0,200.0,0.012396694214876103,1.0
1996-02-07,245.0,255.0,255.0,255.0,5000.0,0.04081632653061229,1.0
1996-02-08,250.0,250.0,250.0,250.0,100.0,-0.019607843137254943,1.0
1996-02-09,255.0,255.05,255.0,255.05,200.0,0.020199999999999996,1.0
1996-02-12,265.05,265.05,260.0,265.0,600.0,0.039011958439521655,1.0
1996-02-13,265.0,274.0,265.0,272.0,600.0,0.026415094339622636,1.0
1996-02-14,282.0,282.0,280.0,280.0,500.0,0.02941176470588225,1.0
1996-02-15,290.0,300.0,290.0,300.0,400.0,0.0714285714285714,1.0
1996-02-16,301.5,304.0,301.5,304.0,400.0,0.01333333333333342,1.0
1996-02-19,290.0,300.0,290.0,300.0,200.0,-0.013157894736842146,1.0
1996-02-20,300.0,300.0,290.0,290.0,200.0,-0.033333333333333326,1.0
1996-02-22,290.0,290.0,280.05,280.05,300.0,-0.034310344827586214,1.0
1996-02-23,290.0,290.0,290.0,290.0,100.0,0.035529369755400886,1.0
1996-02-26,290.0,298.0,290.0,298.0,200.0,0.02758620689655178,1.0
1996-02-27,300.0,300.0,300.0,300.0,100.0,0.006711409395973256,1.0
1996-03-01,290.0,290.0,290.0,290.0,100.0,-0.033333333333333326,1.0
1996-03-07,292.5,292.5,292.5,292.5,100.0,0.008620689655172376,1.0
1996-03-08,285.0,285.0,285.0,285.0,100.0,-0.02564102564102566,1.0
1996-03-15,279.0,284.0,279.0,284.0,700.0,-0.0035087719298245723,1.0
1996-03-18,295.0,300.0,295.0,300.0,200.0,0.05633802816901401,1.0
1996-03-22,300.0,302.0,302.0,302.0,100.0,0.006666666666666599,1.0
1996-03-25,302.0,298.0,298.0,298.0,100.0,-0.013245033112582738,1.0
1996-03-26,298.0,285.0,285.0,285.0,200.0,-0.043624161073825496,1.0
1996-03-27,304.0,305.0,304.0,305.0,200.0,0.07017543859649122,1.0
1996-03-29,307.0,307.0,300.0,300.0,200.0,-0.016393442622950838,1.0
1996-04-02,300.0,312.0,308.5,308.5,300.0,0.02833333333333332,1.0
1996-04-03,300.0,300.0,300.0,300.0,200.0,-0.027552674230145846,1.0
1996-04-04,300.0,305.0,300.0,303.35,300.0,0.011166666666666769,1.0
1996-04-08,305.0,307.0,305.0,307.0,5200.0,0.012032305917257125,1.0
1996-04-09,307.0,307.0,305.0,305.9,900.0,-0.003583061889250838,1.0
1996-04-10,305.9,310.0,310.0,310.0,100.0,0.013403072899640378,1.0
1996-04-11,310.0,309.0,309.0,309.0,100.0,-0.003225806451612856,1.0
1996-04-15,307.0,310.0,307.0,310.0,200.0,0.003236245954692629,1.0
1996-04-16,310.0,310.0,307.5,310.0,200.0,0.0,1.0
1996-04-17,310.0,310.0,310.0,310.0,100.0,0.0,1.0
1996-04-18,325.0,325.0,315.0,315.0,10200.0,0.016129032258064502,1.0
1996-04-19,315.0,319.0,318.0,318.0,200.0,0.00952380952380949,1.0
1996-04-22,310.0,310.0,310.0,310.0,100.0,-0.02515723270440251,1.0
1996-04-23,310.0,310.0,306.5,306.5,200.0,-0.011290322580645107,1.0
1996-04-24,315.05,335.0,315.05,335.0,900.0,0.09298531810766719,1.0
1996-04-25,335.0,335.0,331.5,332.25,300.0,-0.008208955223880543,1.0
1996-04-29,332.25,320.0,320.0,320.0,100.0,-0.036869826937547034,1.0
1996-04-30,320.0,321.0,315.0,315.0,700.0,-0.015625,1.0
1996-05-01,320.05,323.0,320.05,323.0,300.0,0.025396825396825307,1.0
1996-05-02,323.0,317.0,317.0,317.0,100.0,-0.018575851393188847,1.0
1996-05-03,315.0,330.0,315.0,325.0,500.0,0.025236593059936974,1.0
1996-05-06,315.0,315.0,315.0,315.0,100.0,-0.03076923076923077,1.0
1996-05-07,315.0,315.0,315.0,315.0,100.0,0.0,1.0
1996-05-08,315.0,320.0,315.0,320.0,200.0,0.015873015873015817,1.0
1996-05-09,324.0,324.0,324.0,324.0,100.0,0.012499999999999956,1.0
1996-05-13,324.0,319.95,315.0,319.95,200.0,-0.012500000000000067,1.0
1996-05-16,320.0,320.0,320.0,320.0,100.0,0.00015627441787779972,1.0
1996-05-17,315.0,320.0,315.0,320.0,200.0,0.0,1.0
1996-05-23,319.0,330.0,319.0,330.0,1500.0,0.03125,1.0
1996-05-24,330.0,340.0,330.0,340.0,1300.0,0.030303030303030276,1.0
1996-05-27,335.0,335.0,335.0,335.0,100.0,-0.014705882352941124,1.0
1996-05-28,335.0,345.0,335.0,345.0,400.0,0.029850746268656803,1.0
1996-05-29,345.0,355.0,345.0,355.0,500.0,0.02898550724637672,1.0
1996-05-30,355.0,355.0,345.0,355.0,1400.0,0.0,1.0
1996-05-31,354.9,358.0,354.9,358.0,500.0,0.008450704225352101,1.0
1996-06-03,350.0,350.0,350.0,350.0,100.0,-0.022346368715083775,1.0
1996-06-04,360.0,372.0,355.0,371.5,400.0,0.06142857142857139,1.0
1996-06-05,359.0,365.0,359.0,365.0,500.0,-0.01749663526244949,1.0
1996-06-06,365.0,370.0,365.0,370.0,700.0,0.013698630136986356,1.0
1996-06-07,374.0,385.0,374.0,385.0,1400.0,0.04054054054054057,1.0
1996-06-10,389.0,390.0,385.0,385.0,600.0,0.0,1.0
1996-06-11,370.0,379.0,370.0,379.0,200.0,-0.01558441558441559,1.0
1996-06-13,340.0,367.95,340.0,359.0,400.0,-0.05277044854881263,1.0
1996-06-14,360.0,360.0,360.0,360.0,200.0,0.0027855153203342198,1.0
1996-06-17,359.0,380.0,359.0,380.0,1300.0,0.05555555555555558,1.0
1996-06-18,360.0,379.0,360.0,379.0,200.0,-0.0026315789473684292,1.0
1996-06-19,365.0,365.0,365.0,365.0,100.0,-0.03693931398416883,1.0
1996-06-20,360.0,365.0,360.0,365.0,400.0,0.0,1.0
1996-06-21,368.0,370.0,368.0,370.0,300.0,0.013698630136986356,1.0
1996-06-25,360.0,360.0,360.0,360.0,500.0,-0.027027027027026973,1.0
1996-06-26,370.0,370.0,370.0,370.0,100.0,0.02777777777777768,1.0
1996-06-27,370.0,380.0,370.0,380.0,600.0,0.027027027027026973,1.0
1996-06-28,378.0,380.0,378.0,380.0,700.0,0.0,1.0
1996-07-01,370.0,370.0,370.0,370.0,100.0,-0.02631578947368418,1.0
1996-07-02,370.0,370.0,370.0,370.0,100.0,0.0,1.0
1996-07-09,370.0,370.0,370.0,370.0,100.0,0.0,1.0
