Date,Open,High,Low,Close,Volume,Returns,Anomaly
2008-03-11,151.2,151.2,151.2,151.2,4071.0,,1.0
2008-03-12,121.0,121.0,121.0,121.0,4860.0,-0.19973544973544965,1.0
2008-03-13,96.8,96.8,96.8,96.8,3402.0,-0.20000000000000007,1.0
2008-03-14,85.65,87.4,83.44999999999999,84.44999999999999,26856.0,-0.13692999357739244,1.0
2008-03-17,74.5,78.0,70.1,72.1,50310.0,-0.07385998715478481,1.0
2008-03-18,65.1,75.0,65.1,71.05,36558.0,-0.014563106796116498,1.0
2008-03-19,74.1,74.1,65.05,68.85,16911.0,-0.03096410978184383,1.0
2008-03-24,66.0,66.5,62.0,62.8,14834.0,-0.08787218591140156,1.0
2008-03-25,62.0,62.0,58.5,60.05,22532.0,-0.043789808917197415,1.0
2008-03-26,60.0,66.0,58.1,59.9,52145.0,-0.0024979184013321776,1.0
2008-03-27,61.85,64.0,57.5,59.95,26169.0,0.0008347245409014992,1.0
2008-03-28,60.3,61.85,59.1,60.0,69628.0,0.0008340283569641116,1.0
2008-03-31,57.25,61.9,57.25,60.05,23757.0,0.0008333333333332416,1.0
2008-04-01,59.25,61.0,58.25,60.05,22723.0,0.0,1.0
2008-04-02,60.4,62.0,59.6,59.7,11120.0,-0.005828476269775118,1.0
2008-04-03,59.3,60.35,56.6,57.95,23945.0,-0.029313232830820768,1.0
2008-04-04,59.4,60.0,56.55,57.6,11489.0,-0.006039689387402958,1.0
2008-04-07,57.75,59.0,57.75,57.8,5838.0,0.003472222222222099,1.0
2008-04-08,58.0,58.0,56.65,57.55,5918.0,-0.004325259515570945,1.0
2008-04-09,57.25,58.95,56.2,56.65,21716.0,-0.0156385751520417,1.0
2008-04-10,57.0,61.4,57.0,59.05,8488.0,0.0423654015887025,1.0
2008-04-11,58.4,60.3,58.4,59.1,2456.0,0.0008467400508045397,1.0
2008-04-15,60.0,60.0,57.5,59.05,3009.0,-0.0008460236886633776,1.0
2008-04-16,59.0,60.8,58.45,59.35,7943.0,0.005080440304826572,1.0
2008-04-17,59.0,61.0,58.5,59.75,13470.0,0.006739679865206405,1.0
2008-04-21,61.0,61.05,59.55,60.5,21871.0,0.012552301255230214,1.0
2008-04-22,61.0,61.5,60.0,60.05,6275.0,-0.007438016528925617,1.0
2008-04-23,61.85,62.1,59.25,59.45,29679.0,-0.009991673605328821,1.0
2008-04-24,59.25,60.75,53.55,60.1,11741.0,0.010933557611438216,1.0
2008-04-25,60.0,60.95,59.5,59.65,7296.0,-0.0074875207986688785,1.0
2008-04-28,60.0,60.0,58.5,59.2,14937.0,-0.007544006705783701,1.0
2008-04-29,59.0,60.4,59.0,59.3,3343.0,0.0016891891891890332,1.0
2008-04-30,59.1,59.1,57.65,58.55,20407.0,-0.012647554806070826,1.0
2008-05-02,57.5,58.9,57.5,58.3,3270.0,-0.004269854824935915,1.0
2008-05-05,60.45,60.45,58.7,59.9,5571.0,0.027444253859348233,1.0
2008-05-06,60.35,60.35,58.75,58.8,9014.0,-0.018363939899833093,1.0
2008-05-07,59.5,59.5,57.55,58.35,3072.0,-0.007653061224489721,1.0
2008-05-08,57.1,59.0,57.1,58.0,4233.0,-0.005998286203941716,1.0
2008-05-09,57.1,61.0,55.3,57.15,11334.0,-0.014655172413793105,1.0
2008-05-12,51.0,59.4,51.0,58.5,2465.0,0.023622047244094446,1.0
2008-05-13,55.2,58.6,55.2,56.75,3581.0,-0.02991452991452992,1.0
2008-05-14,57.4,58.7,56.3,57.8,2966.0,0.018502202643171817,1.0
2008-05-15,59.0,59.0,56.05,57.0,35301.0,-0.01384083044982698,1.0
2008-05-16,56.4,58.75,56.35,57.3,1870.0,0.0052631578947368585,1.0
2008-05-20,57.8,58.0,56.55,57.25,779.0,-0.0008726003490401313,1.0
2008-05-21,56.0,57.5,56.0,57.05,3739.0,-0.003493449781659441,1.0
2008-05-22,55.25,59.95,55.2,57.8,4979.0,0.013146362839614456,1.0
2008-05-23,57.3,58.5,57.1,57.25,1628.0,-0.009515570934256035,1.0
2008-05-26,56.45,58.4,55.8,55.95,3115.0,-0.022707423580785924,1.0
2008-05-27,56.25,57.4,55.0,55.75,1705.0,-0.00357462019660415,1.0
2008-05-28,55.0,55.0,54.05,54.95,1334.0,-0.014349775784753271,1.0
2008-05-29,58.4,58.4,50.0,56.5,32338.0,0.0282074613284804,1.0
2008-05-30,58.6,58.6,52.05,53.0,32351.0,-0.06194690265486724,1.0
2008-06-02,52.1,56.0,51.7,53.65,1583.0,0.01226415094339628,1.0
2008-06-03,47.0,55.0,47.0,54.1,2179.0,0.00838769804287054,1.0
2008-06-04,52.05,55.95,52.0,53.8,1846.0,-0.005545286506469571,1.0
2008-06-05,52.3,54.5,50.05,51.75,2824.0,-0.03810408921933084,1.0
2008-06-06,59.0,59.0,50.0,51.15,1329.0,-0.011594202898550732,1.0
2008-06-09,45.5,50.5,45.5,49.65,1162.0,-0.029325513196480912,1.0
2008-06-10,47.1,53.25,46.1,46.1,2526.0,-0.07150050352467263,1.0
2008-06-11,49.9,55.0,46.0,50.85,6247.0,0.10303687635574832,1.0
2008-06-12,48.75,50.9,47.3,50.15,1044.0,-0.013765978367748288,1.0
2008-06-13,55.0,55.0,48.0,50.35,1419.0,0.003988035892322994,1.0
2008-06-16,54.35,54.5,48.4,50.4,2020.0,0.0009930486593843213,1.0
2008-06-17,47.0,52.0,47.0,49.8,1368.0,-0.011904761904761973,1.0
2008-06-18,52.9,52.9,49.0,50.35,220.0,0.011044176706827447,1.0
2008-06-19,50.0,53.0,45.25,48.3,3929.0,-0.04071499503475684,1.0
2008-06-20,51.95,51.95,42.3,43.7,2624.0,-0.09523809523809512,1.0
2008-06-23,43.9,48.5,43.1,47.15,7450.0,0.07894736842105243,1.0
2008-06-24,49.95,49.95,43.0,44.7,2801.0,-0.051961823966065634,1.0
2008-06-25,41.0,45.0,41.0,43.9,5775.0,-0.017897091722595126,1.0
2008-06-26,46.95,46.95,40.65,40.95,5754.0,-0.06719817767653746,1.0
2008-06-27,40.6,42.4,38.9,40.15,4030.0,-0.01953601953601969,1.0
2008-06-30,40.0,42.0,39.0,39.8,1478.0,-0.008717310087173136,1.0
2008-07-01,39.5,39.5,36.0,37.1,5294.0,-0.0678391959798994,1.0
2008-07-02,41.65,42.1,35.0,41.5,4471.0,0.11859838274932599,1.0
2008-07-03,41.0,41.0,35.05,39.6,2017.0,-0.04578313253012045,1.0
2008-07-04,36.0,43.25,36.0,42.2,2250.0,0.06565656565656575,1.0
2008-07-07,45.95,48.0,40.55,44.5,3432.0,0.05450236966824629,1.0
2008-07-08,46.3,46.3,41.75,42.0,1054.0,-0.0561797752808989,1.0
2008-07-09,45.7,45.7,40.4,42.85,1230.0,0.020238095238095166,1.0
2008-07-10,45.7,45.7,40.0,41.15,3251.0,-0.03967327887981331,1.0
2008-07-11,40.05,44.25,37.5,38.65,1605.0,-0.06075334143377886,1.0
2008-07-14,42.25,42.25,37.05,38.95,188.0,0.0077619663648125226,1.0
2008-07-15,36.15,41.0,36.15,37.05,1564.0,-0.0487804878048782,1.0
2008-07-16,40.95,41.0,37.0,37.1,821.0,0.0013495276653172628,1.0
2008-07-17,41.95,41.95,36.0,37.6,1563.0,0.013477088948786964,1.0
2008-07-18,39.0,39.0,37.1,38.15,672.0,0.0146276595744681,1.0
2008-07-21,35.15,41.0,30.6,37.5,3152.0,-0.017038007863695914,1.0
