Date,Open,High,Low,Close,Volume,Returns,Anomaly
2015-02-23,142.7,142.7,142.6,142.7,5772.0,,1.0
2015-02-24,148.9,149.8,139.0,149.8,22795.0,0.04975473020322374,1.0
2015-02-25,156.7,156.7,142.35,142.6,22910.0,-0.04806408544726315,1.0
2015-02-26,137.1,140.0,135.5,135.5,12925.0,-0.049789621318373056,1.0
2015-02-27,134.65,142.2,129.0,130.0,3029.0,-0.040590405904059046,1.0
2015-02-28,130.0,136.0,130.0,131.85,3441.0,0.014230769230769269,1.0
2015-03-02,130.35,138.4,127.6,128.35,2940.0,-0.026545316647705763,1.0
2015-03-03,125.0,134.75,125.0,129.75,2741.0,0.010907674328009431,1.0
2015-03-04,129.85,133.0,129.0,129.2,3774.0,-0.00423892100192691,1.0
2015-03-05,130.95,135.65,128.5,135.65,8656.0,0.04992260061919529,1.0
2015-03-09,143.0,149.2,136.2,144.0,35717.0,0.06155547364541092,1.0
2015-03-10,147.0,147.0,134.1,137.25,11058.0,-0.046875,1.0
2015-03-11,140.5,140.5,130.2,134.85,4213.0,-0.01748633879781425,1.0
2015-03-12,135.0,139.85,131.7,133.25,560.0,-0.01186503522432325,1.0
2015-03-13,132.0,132.95,122.6,129.6,7829.0,-0.02739212007504699,1.0
2015-03-16,125.15,130.0,123.3,123.8,6601.0,-0.04475308641975306,1.0
2015-03-17,120.55,132.05,120.55,124.3,2124.0,0.0040387722132471104,1.0
2015-03-18,127.6,128.1,122.2,125.1,5000.0,0.006436041834271933,1.0
2015-03-19,126.75,130.75,125.0,125.5,2714.0,0.003197442046362964,1.0
2015-03-20,128.0,128.0,121.05,122.6,3220.0,-0.023107569721115606,1.0
2015-03-23,122.6,124.5,115.0,117.75,14124.0,-0.039559543230016314,1.0
2015-03-24,119.6,119.6,112.1,113.4,5130.0,-0.03694267515923566,1.0
2015-03-25,112.15,119.8,112.15,115.45,11775.0,0.01807760141093473,1.0
2015-03-26,115.0,115.05,112.5,113.05,10172.0,-0.020788220008661762,1.0
2015-03-27,108.15,117.0,108.0,110.9,20013.0,-0.01901813356921711,1.0
2015-03-30,114.3,119.65,112.15,115.35,2414.0,0.04012623985572583,1.0
2015-03-31,115.4,119.05,114.8,116.35,5944.0,0.008669267446900664,1.0
2015-04-01,118.0,122.05,114.8,121.55,5798.0,0.04469273743016755,1.0
2015-04-06,124.9,133.7,121.5,133.7,8962.0,0.0999588646647469,1.0
2015-04-07,145.45,145.9,138.1,139.7,11775.0,0.04487658937920713,1.0
2015-04-08,135.05,150.0,135.05,146.25,8891.0,0.04688618468146033,1.0
2015-04-09,150.0,150.0,136.55,140.7,7692.0,-0.037948717948718014,1.0
2015-04-10,166.0,166.0,141.0,143.4,4086.0,0.019189765458422325,1.0
2015-04-13,137.25,163.0,137.2,157.15,23328.0,0.09588563458856347,1.0
2015-04-15,164.0,164.8,154.1,157.8,13791.0,0.004136175628380645,1.0
2015-04-16,156.05,156.05,146.35,147.5,4802.0,-0.06527249683143221,1.0
