Date,Open,High,Low,Close,Volume,Returns,Anomaly
2007-06-27,,,,,,,
2007-06-28,,,,,,,
2007-06-29,,,,,,,
2007-07-02,,,,,,,
2007-07-03,,,,,,,
2007-07-04,,,,,,,
2007-07-05,,,,,,,
2007-07-06,,,,,,,
2007-07-09,,,,,,,
2007-07-10,182.0,183.55,177.15,178.15,211425.0,-0.019537699504677986,1.0
2007-07-11,178.0,180.5,176.0,177.35,197428.0,-0.0044905978108336075,1.0
2007-07-12,178.15,182.4,178.15,180.2,196092.0,0.016069918240766867,1.0
2007-07-13,182.0,183.7,173.5,174.7,219506.0,-0.030521642619311895,1.0
2007-07-16,175.6,180.5,174.0,176.3,197759.0,0.009158557527189526,1.0
2007-07-17,176.5,180.6,172.0,173.6,133196.0,-0.015314804310833874,1.0
2007-07-18,174.6,175.3,172.0,172.45,96530.0,-0.006624423963133674,1.0
2007-07-19,178.0,178.0,169.0,170.0,58492.0,-0.014207016526529337,1.0
2007-07-20,172.4,172.4,165.25,166.2,92073.0,-0.022352941176470686,1.0
2007-07-23,169.0,170.0,162.0,164.55,102876.0,-0.009927797833934937,1.0
2007-07-24,164.55,168.0,157.05,157.9,88719.0,-0.040413248252810674,1.0
2007-07-25,156.0,157.0,146.1,146.95,117697.0,-0.06934768841038641,1.0
2007-07-26,159.6,162.95,151.3,153.175,216739.5,-0.06708804191713214,1.0
2007-07-27,163.2,168.9,156.5,159.4,315782.0,-0.06482839542387786,1.0
2007-07-30,160.85,173.0,155.0,158.35,612499.0,-0.00658720200752827,1.0
2007-07-31,160.1,163.65,157.25,158.8,152640.0,0.002841806125671198,1.0
2007-08-01,159.0,165.9,155.05,155.75,194283.0,-0.019206549118387928,1.0
2007-08-02,157.0,162.0,153.1,154.75,108085.0,-0.006420545746388395,1.0
2007-08-03,156.5,161.45,153.25,154.2,91707.0,-0.003554119547657608,1.0
2007-08-06,150.0,153.9,148.5,151.35,52467.0,-0.018482490272373475,1.0
2007-08-07,155.0,157.8,152.25,153.15,56464.0,0.01189296333002976,1.0
2007-08-08,156.7,167.0,153.25,159.75,518136.0,0.04309500489715967,1.0
2007-08-09,163.1,164.75,155.0,155.6,111542.0,-0.025978090766823225,1.0
2007-08-10,152.1,153.2,145.6,152.4,97471.0,-0.020565552699228773,1.0
2007-08-13,156.0,160.9,154.5,157.5,77589.0,0.0334645669291338,1.0
2007-08-14,158.0,159.8,156.0,156.5,41315.0,-0.006349206349206327,1.0
2007-08-16,152.0,153.35,148.6,150.5,33203.0,-0.03833865814696491,1.0
