Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-02,13.05,13.05,13.05,13.05,50.0,,1.0
1996-01-03,14.4,14.4,14.4,14.4,100.0,0.10344827586206895,1.0
1996-01-17,15.5,15.5,15.5,15.5,50.0,0.07638888888888884,1.0
1996-01-18,16.5,16.5,16.0,16.5,1900.0,0.06451612903225801,1.0
1996-01-19,16.2,16.2,16.2,16.2,300.0,-0.018181818181818188,1.0
1996-01-23,15.0,15.0,15.0,15.0,200.0,-0.07407407407407407,1.0
1996-01-25,15.0,14.0,14.0,14.0,500.0,-0.06666666666666665,1.0
1996-01-31,13.0,13.0,13.0,13.0,100.0,-0.0714285714285714,1.0
1996-02-02,14.25,14.35,14.25,14.35,1000.0,0.10384615384615392,1.0
1996-02-05,15.05,15.05,15.05,15.05,200.0,0.04878048780487809,1.0
1996-02-06,14.1,14.1,14.0,14.0,1500.0,-0.06976744186046513,1.0
1996-02-07,14.1,14.1,14.1,14.1,500.0,0.0071428571428571175,1.0
1996-02-09,15.5,15.5,15.5,15.5,200.0,0.09929078014184389,1.0
1996-03-06,14.25,14.25,14.0,14.0,1000.0,-0.09677419354838712,1.0
1996-03-07,14.0,14.0,14.0,14.0,400.0,0.0,1.0
1996-03-08,15.25,15.25,15.25,15.25,800.0,0.08928571428571419,1.0
1996-03-14,15.95,16.0,15.95,16.0,700.0,0.049180327868852514,1.0
1996-03-15,15.55,15.55,15.5,15.5,1050.0,-0.03125,1.0
1996-03-18,15.0,15.05,15.0,15.05,200.0,-0.029032258064516037,1.0
1996-03-19,15.3,15.3,15.25,15.25,1500.0,0.013289036544850363,1.0
1996-03-29,15.25,15.05,15.05,15.05,200.0,-0.013114754098360604,1.0
1996-04-03,15.0,15.0,15.0,15.0,200.0,-0.0033222591362126463,1.0
1996-04-12,14.5,14.5,14.5,14.5,500.0,-0.033333333333333326,1.0
1996-04-16,14.0,14.0,13.75,13.75,300.0,-0.051724137931034475,1.0
1996-04-19,13.0,13.0,13.0,13.0,200.0,-0.054545454545454564,1.0
1996-04-22,13.0,13.0,13.0,13.0,1000.0,0.0,1.0
1996-05-03,11.8,11.8,11.8,11.8,100.0,-0.0923076923076922,1.0
1996-06-17,11.75,13.0,11.75,13.0,400.0,0.10169491525423724,1.0
1996-06-18,14.25,14.25,14.25,14.25,100.0,0.09615384615384626,1.0
1996-06-19,15.75,15.75,15.75,15.75,300.0,0.10526315789473695,1.0
1996-06-20,15.0,16.0,15.0,16.0,1500.0,0.015873015873015817,1.0
1996-06-21,14.5,15.2,14.5,14.75,1300.0,-0.078125,1.0
1996-06-24,15.0,15.5,15.0,15.5,400.0,0.05084745762711873,1.0
1996-06-25,16.25,16.25,15.5,15.5,900.0,0.0,1.0
1996-06-26,15.5,15.6,15.25,15.25,2700.0,-0.016129032258064502,1.0
