Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,95.0,95.5,94.5,95.5,400.0,,1.0
1996-01-02,94.0,95.5,94.0,95.5,800.0,0.0,1.0
1996-01-03,93.0,93.0,93.0,93.0,200.0,-0.02617801047120416,1.0
1996-01-04,92.0,93.0,91.5,92.6,2500.0,-0.004301075268817289,1.0
1996-01-05,93.0,93.0,92.0,92.0,200.0,-0.00647948164146861,1.0
1996-01-08,91.0,91.0,86.0,89.0,2300.0,-0.03260869565217395,1.0
1996-01-09,85.0,87.0,83.0,83.0,1600.0,-0.0674157303370787,1.0
1996-01-10,82.0,85.0,82.0,84.0,900.0,0.012048192771084265,1.0
1996-01-11,83.75,83.95,83.75,83.95,200.0,-0.0005952380952380931,1.0
1996-01-12,83.0,83.0,81.5,81.5,200.0,-0.029184038117927358,1.0
1996-01-15,82.0,82.0,82.0,82.0,100.0,0.006134969325153339,1.0
1996-01-16,79.0,81.5,79.0,81.5,500.0,-0.0060975609756097615,1.0
1996-01-17,81.0,81.0,76.0,78.5,200.0,-0.036809815950920255,1.0
1996-01-18,76.0,80.0,76.0,76.7,900.0,-0.02292993630573248,1.0
1996-01-19,76.0,84.0,73.0,81.5,1100.0,0.0625814863102998,1.0
1996-01-22,82.2,82.95,81.0,82.5,800.0,0.012269938650306678,1.0
1996-01-23,80.0,80.0,74.5,74.5,800.0,-0.09696969696969693,1.0
1996-01-24,74.5,65.0,63.0,64.9,1300.0,-0.12885906040268447,1.0
1996-01-25,59.0,59.5,59.0,59.0,800.0,-0.09090909090909094,1.0
1996-01-30,59.0,63.0,59.0,63.0,300.0,0.06779661016949157,1.0
1996-01-31,62.0,63.0,61.0,62.0,400.0,-0.015873015873015928,1.0
1996-02-01,65.0,66.0,65.0,66.0,200.0,0.06451612903225801,1.0
1996-02-02,70.0,71.0,70.0,71.0,300.0,0.07575757575757569,1.0
1996-02-05,75.0,75.0,69.0,73.5,800.0,0.035211267605633756,1.0
1996-02-06,72.0,72.0,70.25,70.25,600.0,-0.04421768707482998,1.0
1996-02-07,70.0,70.0,70.0,70.0,100.0,-0.003558718861209953,1.0
1996-02-08,70.0,70.0,70.0,70.0,200.0,0.0,1.0
1996-02-09,70.0,71.0,68.0,71.0,800.0,0.014285714285714235,1.0
1996-02-12,72.5,73.0,70.0,70.0,300.0,-0.014084507042253502,1.0
1996-02-14,70.0,71.0,70.0,71.0,200.0,0.014285714285714235,1.0
1996-02-15,71.5,71.95,71.0,71.95,600.0,0.013380281690140938,1.0
1996-02-16,73.0,78.0,73.0,76.2,1700.0,0.05906879777623342,1.0
1996-02-19,76.2,78.0,74.0,74.0,200.0,-0.02887139107611547,1.0
1996-02-20,74.95,74.95,72.0,72.0,300.0,-0.027027027027026973,1.0
1996-02-22,73.0,74.0,72.0,74.0,900.0,0.02777777777777768,1.0
1996-02-23,72.0,72.0,72.0,72.0,200.0,-0.027027027027026973,1.0
1996-02-26,72.0,74.45,72.0,72.0,800.0,0.0,1.0
1996-02-27,72.0,71.0,67.0,68.0,700.0,-0.05555555555555558,1.0
1996-02-28,68.0,70.1,67.0,67.0,700.0,-0.014705882352941124,1.0
1996-02-29,67.0,67.0,65.0,65.0,700.0,-0.02985074626865669,1.0
1996-03-01,63.0,63.0,63.0,63.0,100.0,-0.03076923076923077,1.0
1996-03-04,63.0,63.0,63.0,63.0,100.0,0.0,1.0
1996-03-06,61.0,63.0,61.0,63.0,500.0,0.0,1.0
1996-03-07,63.0,63.0,62.0,63.0,300.0,0.0,1.0
1996-03-08,61.5,62.5,60.0,62.5,500.0,-0.007936507936507908,1.0
1996-03-11,61.5,62.0,61.0,61.0,600.0,-0.02400000000000002,1.0
1996-03-12,60.9,61.0,60.05,61.0,600.0,0.0,1.0
1996-03-13,60.75,61.45,60.75,61.45,300.0,0.007377049180327999,1.0
1996-03-14,61.0,62.0,61.0,61.5,400.0,0.0008136696501219731,1.0
1996-03-15,62.0,62.5,62.0,62.5,200.0,0.016260162601626105,1.0
1996-03-18,60.95,62.5,60.95,62.0,700.0,-0.008000000000000007,1.0
1996-03-19,60.0,60.0,55.8,55.8,400.0,-0.10000000000000009,1.0
1996-03-21,58.0,59.5,58.0,59.5,300.0,0.06630824372759858,1.0
1996-03-22,59.25,59.25,59.25,59.25,200.0,-0.004201680672268893,1.0
1996-03-25,58.0,59.0,57.5,59.0,700.0,-0.00421940928270037,1.0
1996-03-26,58.5,58.5,56.3,57.0,600.0,-0.03389830508474578,1.0
1996-03-27,57.0,60.0,58.0,58.0,800.0,0.01754385964912286,1.0
1996-03-28,58.0,59.95,58.0,59.25,1300.0,0.02155172413793105,1.0
1996-03-29,59.25,65.0,58.5,60.25,2300.0,0.016877637130801704,1.0
1996-04-01,60.25,61.95,58.0,58.0,600.0,-0.03734439834024894,1.0
1996-04-02,58.0,62.9,58.5,60.0,900.0,0.034482758620689724,1.0
1996-04-03,63.0,63.0,60.5,60.55,700.0,0.009166666666666545,1.0
1996-04-04,59.95,59.95,54.75,56.05,700.0,-0.07431874483897605,1.0
1996-04-08,60.0,60.0,58.5,60.0,400.0,0.07047279214986624,1.0
1996-04-09,61.0,64.5,59.1,61.9,1700.0,0.03166666666666673,1.0
1996-04-10,61.9,64.0,63.0,64.0,200.0,0.03392568659127626,1.0
1996-04-11,64.0,61.0,59.25,59.25,1100.0,-0.07421875,1.0
1996-04-12,59.25,61.5,59.15,60.3,1000.0,0.017721518987341645,1.0
1996-04-15,60.0,60.5,60.0,60.5,300.0,0.0033167495854062867,1.0
1996-04-16,58.5,60.0,58.5,60.0,1300.0,-0.008264462809917328,1.0
1996-04-17,60.0,60.0,60.0,60.0,400.0,0.0,1.0
1996-04-18,62.0,62.0,60.25,61.0,400.0,0.016666666666666607,1.0
1996-04-19,62.0,62.25,61.25,61.5,900.0,0.008196721311475308,1.0
1996-04-22,60.0,61.5,60.0,60.2,1200.0,-0.021138211382113803,1.0
1996-04-23,58.5,61.0,56.05,59.85,1300.0,-0.005813953488372103,1.0
1996-04-24,59.85,61.0,60.0,61.0,500.0,0.019214703425229684,1.0
1996-04-25,61.0,61.5,60.25,61.5,300.0,0.008196721311475308,1.0
1996-04-26,60.0,60.0,60.0,60.0,100.0,-0.024390243902439046,1.0
1996-04-30,62.0,62.0,60.0,60.0,200.0,0.0,1.0
1996-05-01,60.0,61.5,60.0,61.0,600.0,0.016666666666666607,1.0
1996-05-02,60.1,61.5,60.0,61.5,400.0,0.008196721311475308,1.0
