Date,Open,High,Low,Close,Volume,Returns,Anomaly
2010-10-20,,,,,,,
2010-10-21,,,,,,,
2010-10-22,,,,,,,
2010-10-25,,,,,,,
2010-10-26,302.15,302.15,283.15,285.2,815185.0,-0.05609796458712557,1.0
2010-10-27,287.0,293.0,280.0,290.15,692403.0,0.017356241234221637,1.0
2010-10-28,292.8,294.0,285.05,289.15,305955.0,-0.0034464931931759146,1.0
2010-10-29,290.0,290.0,275.0,279.05,437923.0,-0.03492996714508034,1.0
2010-11-01,280.0,283.8,274.1,275.8,340688.0,-0.011646658304963253,1.0
2010-11-02,276.0,282.0,275.0,276.5,228621.0,0.002538071065989911,1.0
2010-11-03,277.0,283.8,276.5,281.5,237572.0,0.018083182640144635,1.0
2010-11-04,283.5,291.8,279.0,284.95,288647.0,0.012255772646536434,1.0
2010-11-05,286.0,289.0,282.5,284.9,32943.0,-0.00017546938059309625,1.0
2010-11-08,285.0,294.4,283.1,289.6,265486.0,0.016497016497016626,1.0
2010-11-09,284.0,291.5,272.4,289.15,206968.0,-0.00155386740331509,1.0
2010-11-10,289.0,292.3,285.1,286.75,140632.0,-0.008300190212692349,1.0
2010-11-11,286.0,290.0,281.0,283.85,200646.0,-0.010113339145597089,1.0
2010-11-12,283.0,285.0,265.05,280.2,350592.0,-0.012858904350889655,1.0
2010-11-15,270.25,280.2,270.25,275.9,63023.0,-0.01534618129907217,1.0
2010-11-16,283.4,283.4,268.05,270.25,88376.0,-0.02047843421529527,1.0
2010-11-18,272.0,274.65,260.55,266.0,104928.0,-0.015726179463459777,1.0
2010-11-19,263.0,268.0,256.8,262.35,100220.0,-0.013721804511278135,1.0
2010-11-22,263.2,279.7,263.2,276.4,135986.0,0.053554412044977795,1.0
2010-11-23,274.9,274.9,265.55,271.2,77655.0,-0.01881331403762654,1.0
2010-11-24,269.95,273.5,257.05,262.4,161468.0,-0.03244837758112096,1.0
2010-11-25,255.4,271.0,216.0,262.85,1320525.0,0.0017149390243904605,1.0
2010-11-26,262.5,288.7,256.1,266.85,1179763.0,0.015217804831653137,1.0
2010-11-29,267.0,275.0,265.5,271.25,116967.0,0.016488664043470047,1.0
2010-11-30,265.6,276.0,265.6,269.6,490785.0,-0.006082949308755636,1.0
2010-12-01,271.9,277.0,267.0,275.25,98396.0,0.020956973293768444,1.0
2010-12-02,277.1,279.0,274.1,276.95,48849.0,0.00617620345140768,1.0
2010-12-03,273.4,280.0,273.2,276.75,175573.0,-0.0007221520129987447,1.0
2010-12-06,278.0,279.5,274.35,277.0,26200.0,0.0009033423667570428,1.0
2010-12-07,272.35,276.35,270.5,273.2,116304.0,-0.013718411552346654,1.0
2010-12-08,272.0,276.0,269.0,272.35,49474.0,-0.0031112737920935274,1.0
2010-12-09,255.6,273.0,255.6,265.1,298546.0,-0.026620157885074325,1.0
2010-12-10,265.0,267.0,260.0,265.1,63568.0,0.0,1.0
2010-12-13,268.0,271.5,219.9,265.55,463195.0,0.0016974726518295125,1.0
2010-12-14,266.5,270.0,264.7,267.95,971836.0,0.009037845980041315,1.0
2010-12-15,261.1,269.65,260.0,261.8,134851.0,-0.022952043291658786,1.0
2010-12-16,264.75,264.9,260.0,260.65,54018.0,-0.004392666157372216,1.0
2010-12-20,260.0,264.85,260.0,261.2,26611.0,0.002110109342029487,1.0
2010-12-21,262.0,272.0,262.0,264.55,28707.0,0.012825421133231263,1.0
2010-12-22,265.0,267.45,261.9,264.5,144817.0,-0.00018900018900025461,1.0
2010-12-23,264.65,266.0,262.0,264.1,4309.0,-0.0015122873345935206,1.0
2010-12-24,262.05,265.0,260.1,261.45,15428.0,-0.010034078000757396,1.0
2010-12-27,261.45,265.9,260.45,261.85,9504.0,0.001529929240772665,1.0
2010-12-28,262.0,265.2,260.1,263.55,76628.0,0.006492266564827043,1.0
2010-12-29,262.1,264.5,258.0,261.6,460498.0,-0.007398975526465512,1.0
2010-12-30,264.0,265.0,258.5,262.05,224660.0,0.0017201834862385912,1.0
2010-12-31,263.7,264.4,254.0,255.65,24629.0,-0.02442282007250529,1.0
2011-01-03,259.0,264.0,256.1,257.9,17565.0,0.008801095247408464,1.0
2011-01-04,261.0,261.45,251.1,252.95,14316.0,-0.019193485847227576,1.0
2011-01-05,252.95,262.0,252.0,260.0,529011.0,0.02787112077485676,1.0
2011-01-06,261.3,261.3,252.15,253.95,4848.0,-0.02326923076923082,1.0
2011-01-07,254.25,254.25,245.05,246.5,20863.0,-0.02933648355975582,1.0
2011-01-10,242.0,248.0,242.0,245.05,11673.0,-0.00588235294117645,1.0
2011-01-11,247.95,247.95,240.05,241.9,10576.0,-0.012854519485819282,1.0
2011-01-12,239.0,247.0,239.0,245.5,61808.0,0.014882182720132198,1.0
2011-01-13,246.8,255.0,245.0,248.5,9693.0,0.012219959266802416,1.0
2011-01-14,234.0,249.5,234.0,245.1,49750.0,-0.013682092555332037,1.0
2011-01-17,245.5,246.85,245.0,245.05,5193.0,-0.00020399836801299198,1.0
2011-01-18,245.0,246.5,245.0,245.0,9717.0,-0.00020403999183848942,1.0
2011-01-19,256.0,256.0,245.0,249.0,11474.0,0.01632653061224487,1.0
2011-01-20,249.1,250.0,244.5,246.5,66509.0,-0.010040160642570295,1.0
2011-01-21,247.0,249.65,246.05,248.25,7027.0,0.007099391480730244,1.0
2011-01-24,253.0,253.0,245.1,248.25,16118.0,0.0,1.0
2011-01-25,248.25,251.95,246.0,247.0,32602.0,-0.0050352467270896595,1.0
