Date,Open,High,Low,Close,Volume,Returns,Anomaly
2019-05-09,,,,,,,
2019-05-10,39.2,39.2,36.15,37.8,24843.0,-0.01945525291828798,1.0
2019-05-13,38.85,38.85,35.25,35.3,16955.0,-0.06613756613756616,1.0
2019-05-14,35.0,37.25,34.0,34.3,15622.0,-0.028328611898017053,1.0
2019-05-15,36.2,40.0,35.15,35.8,40013.0,0.0437317784256559,1.0
2019-05-16,36.5,39.4,35.2,35.6,16986.0,-0.005586592178770777,1.0
2019-05-17,37.85,37.85,34.95,37.45,25209.0,0.05196629213483139,1.0
2019-05-20,37.25,38.5,37.0,37.0,16924.0,-0.012016021361815787,1.0
2019-05-21,38.25,38.25,34.8,34.95,18381.0,-0.055405405405405284,1.0
2019-05-22,36.0,37.0,33.1,35.45,37880.0,0.014306151645207432,1.0
2019-05-23,37.3,37.3,30.25,31.85,46492.0,-0.10155148095909738,1.0
2019-05-24,34.1,34.7,32.0,32.5,17100.0,0.020408163265306145,1.0
2019-05-27,34.8,36.0,34.0,34.85,20291.0,0.0723076923076924,1.0
2019-05-28,36.75,36.8,34.65,34.65,19988.0,-0.0057388809182210565,1.0
2019-05-29,34.65,36.05,34.65,35.15,15272.0,0.01443001443001446,1.0
2019-05-30,36.55,36.55,34.15,35.9,23014.0,0.021337126600284417,1.0
2019-05-31,36.65,36.65,33.95,34.1,16137.0,-0.05013927576601662,1.0
2019-06-03,35.0,35.25,33.1,34.8,15252.0,0.02052785923753664,1.0
2019-06-04,35.35,35.45,33.85,34.5,15378.0,-0.008620689655172376,1.0
2019-06-06,35.75,35.75,32.3,32.6,15304.0,-0.05507246376811592,1.0
2019-06-07,34.7,34.7,32.45,33.15,15477.0,0.016871165644171793,1.0
2019-06-10,32.25,34.75,31.2,33.15,48705.0,0.0,1.0
2019-06-11,34.0,34.0,29.5,33.25,16115.0,0.003016591251885359,1.0
2019-06-12,35.0,35.0,31.8,31.9,17488.0,-0.04060150375939853,1.0
2019-06-13,33.25,33.5,32.0,32.55,15873.0,0.020376175548589393,1.0
2019-06-14,34.25,34.25,32.25,32.6,18323.0,0.001536098310291889,1.0
2019-06-17,33.0,33.05,27.0,27.65,18451.0,-0.15184049079754613,1.0
2019-06-18,29.5,33.15,27.8,32.6,53364.0,0.17902350813743229,1.0
