Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,170.0,170.0,170.0,170.0,200.0,,1.0
1996-01-03,168.0,168.0,165.0,167.0,800.0,-0.01764705882352946,1.0
1996-01-08,155.0,160.0,155.0,160.0,200.0,-0.041916167664670656,1.0
1996-01-19,165.0,165.0,165.0,165.0,100.0,0.03125,1.0
1996-01-25,157.0,157.0,157.0,157.0,300.0,-0.048484848484848464,1.0
1996-01-31,157.0,156.1,154.0,154.0,700.0,-0.019108280254777066,1.0
1996-02-01,155.0,156.0,155.0,155.0,1600.0,0.006493506493506551,1.0
1996-02-02,165.0,165.0,165.0,165.0,100.0,0.06451612903225801,1.0
1996-02-05,165.0,165.0,165.0,165.0,100.0,0.0,1.0
1996-02-06,165.25,166.0,165.0,165.0,1200.0,0.0,1.0
1996-02-08,175.0,175.0,175.0,175.0,400.0,0.06060606060606055,1.0
1996-02-13,192.0,192.0,192.0,192.0,200.0,0.0971428571428572,1.0
1996-02-14,200.0,205.0,200.0,200.0,1500.0,0.04166666666666674,1.0
1996-02-15,200.0,200.0,199.0,200.0,1300.0,0.0,1.0
1996-02-16,200.0,200.0,199.0,200.0,400.0,0.0,1.0
1996-02-22,200.0,205.0,200.0,200.0,300.0,0.0,1.0
1996-02-23,200.0,204.8,204.75,204.8,300.0,0.02400000000000002,1.0
1996-02-26,202.0,202.0,198.5,198.5,400.0,-0.03076171875,1.0
1996-02-27,198.5,186.0,186.0,186.0,100.0,-0.06297229219143574,1.0
1996-02-29,200.0,200.0,200.0,200.0,100.0,0.07526881720430101,1.0
1996-03-04,180.0,180.0,180.0,180.0,100.0,-0.09999999999999998,1.0
1996-03-06,180.0,188.0,187.9,188.0,200.0,0.04444444444444451,1.0
1996-03-07,188.0,188.0,188.0,188.0,25000.0,0.0,1.0
1996-03-08,180.0,180.0,180.0,180.0,1000.0,-0.04255319148936165,1.0
1996-03-12,190.0,190.0,171.0,180.0,1600.0,0.0,1.0
1996-03-13,175.0,175.0,175.0,175.0,100.0,-0.02777777777777779,1.0
1996-03-22,175.0,160.0,159.0,159.0,200.0,-0.09142857142857141,1.0
1996-04-04,159.0,158.5,158.5,158.5,300.0,-0.0031446540880503138,1.0
1996-04-08,158.5,169.0,162.25,169.0,900.0,0.06624605678233442,1.0
1996-04-09,169.0,166.0,164.0,164.0,600.0,-0.029585798816568087,1.0
1996-04-10,162.05,162.05,162.0,162.05,200.0,-0.01189024390243898,1.0
1996-04-12,162.05,169.9,169.9,169.9,100.0,0.04844183893859921,1.0
1996-04-15,171.0,171.0,170.0,170.0,200.0,0.0005885815185402432,1.0
1996-04-16,155.0,178.0,155.0,175.0,2400.0,0.02941176470588225,1.0
1996-04-17,175.0,190.0,188.0,188.7,3300.0,0.07828571428571429,1.0
1996-04-18,188.7,188.0,180.0,180.0,1600.0,-0.04610492845786962,1.0
1996-04-19,180.0,182.0,182.0,182.0,600.0,0.011111111111111072,1.0
1996-04-22,182.0,181.0,165.0,170.0,600.0,-0.06593406593406592,1.0
1996-04-23,170.0,167.0,165.0,165.0,500.0,-0.02941176470588236,1.0
1996-04-24,165.0,179.0,165.0,165.0,1200.0,0.0,1.0
1996-04-25,165.0,166.0,160.0,162.0,3500.0,-0.018181818181818188,1.0
1996-04-26,162.0,162.0,159.9,159.9,500.0,-0.012962962962962954,1.0
1996-04-29,159.9,158.25,158.0,158.0,600.0,-0.011882426516572897,1.0
1996-04-30,158.0,158.0,155.0,155.0,1400.0,-0.01898734177215189,1.0
1996-05-02,158.0,158.0,158.0,158.0,1300.0,0.019354838709677358,1.0
1996-05-03,158.0,158.0,158.0,158.0,500.0,0.0,1.0
1996-05-06,158.0,158.0,158.0,158.0,100.0,0.0,1.0
1996-05-07,161.0,161.0,161.0,161.0,500.0,0.018987341772152,1.0
1996-05-09,161.0,170.0,160.0,161.7,1100.0,0.004347826086956497,1.0
1996-05-10,163.0,163.0,158.1,158.1,600.0,-0.02226345083487935,1.0
1996-05-13,166.0,166.0,166.0,166.0,200.0,0.04996837444655289,1.0
1996-05-14,166.0,165.0,160.1,160.1,900.0,-0.03554216867469884,1.0
1996-05-15,160.1,174.0,160.0,160.0,5000.0,-0.0006246096189881367,1.0
1996-05-16,160.0,176.0,162.0,169.5,24500.0,0.059374999999999956,1.0
1996-05-17,169.5,175.0,170.0,172.9,6600.0,0.020058997050147465,1.0
1996-05-20,172.9,178.0,170.8,171.2,4200.0,-0.009832272990167867,1.0
1996-05-21,171.2,173.8,165.1,168.55,5300.0,-0.015478971962616717,1.0
1996-05-22,168.55,173.5,172.0,172.0,1400.0,0.020468703648768738,1.0
1996-05-23,172.0,171.95,167.25,167.25,400.0,-0.02761627906976749,1.0
1996-05-24,167.25,167.25,163.0,163.25,1000.0,-0.02391629297458897,1.0
1996-05-27,163.25,161.0,155.3,155.3,1200.0,-0.048698315467074926,1.0
1996-05-28,152.25,153.0,151.5,151.5,800.0,-0.02446877012234394,1.0
1996-05-29,151.5,164.95,162.0,164.5,600.0,0.08580858085808574,1.0
1996-05-30,164.5,162.0,160.1,160.55,400.0,-0.02401215805471113,1.0
1996-05-31,160.55,160.0,151.0,157.5,500.0,-0.018997197134849042,1.0
1996-06-03,157.5,166.75,161.0,161.0,200.0,0.022222222222222143,1.0
1996-06-04,161.0,160.0,153.3,153.75,4100.0,-0.045031055900621064,1.0
1996-06-05,154.0,158.0,154.0,155.35,600.0,0.010406504065040512,1.0
1996-06-06,153.0,154.9,152.25,152.75,2800.0,-0.0167364016736401,1.0
1996-06-07,152.0,165.0,150.0,150.8,13000.0,-0.012765957446808418,1.0
1996-06-10,155.0,155.0,150.0,153.8,36000.0,0.019893899204244114,1.0
1996-06-11,153.0,158.0,151.0,157.95,5700.0,0.02698309492847839,1.0
1996-06-12,158.0,160.0,151.0,153.05,7800.0,-0.03102247546691972,1.0
1996-06-13,155.0,155.0,150.95,150.95,3200.0,-0.013721006207122022,1.0
1996-06-14,151.5,153.5,150.0,150.9,7300.0,-0.0003312355084463814,1.0
1996-06-17,150.0,165.0,148.0,161.85,24600.0,0.07256461232604372,1.0
1996-06-18,156.0,156.0,152.0,153.0,2700.0,-0.05468025949953659,1.0
1996-06-19,168.0,168.6,166.1,167.4,8400.0,0.09411764705882364,1.0
1996-06-20,167.0,167.0,153.1,153.95,7400.0,-0.08034647550776597,1.0
1996-06-21,155.0,158.25,153.25,154.95,17800.0,0.006495615459564785,1.0
1996-06-24,153.0,155.5,153.0,155.45,1600.0,0.0032268473701193567,1.0
1996-06-25,155.0,155.15,152.5,152.5,1800.0,-0.01897716307494368,1.0
1996-06-26,151.95,153.75,151.95,152.0,800.0,-0.003278688524590123,1.0
1996-06-27,147.5,148.5,145.2,148.5,3800.0,-0.023026315789473673,1.0
1996-06-28,152.1,152.1,147.0,147.0,2900.0,-0.010101010101010055,1.0
1996-07-01,145.2,146.9,145.05,146.9,600.0,-0.0006802721088434716,1.0
1996-07-02,150.0,151.0,149.95,150.0,600.0,0.021102791014295352,1.0
1996-07-03,148.5,149.25,148.0,149.25,2400.0,-0.0050000000000000044,1.0
1996-07-04,148.0,149.0,146.6,148.75,2800.0,-0.00335008375209378,1.0
1996-07-05,149.95,149.95,149.95,149.95,100.0,0.00806722689075623,1.0
1996-07-08,147.5,148.0,147.0,147.75,1700.0,-0.014671557185728545,1.0
1996-07-09,148.0,149.0,146.75,148.0,2200.0,0.0016920473773265332,1.0
1996-07-10,147.5,149.15,147.5,149.0,2000.0,0.006756756756756799,1.0
1996-07-11,147.95,150.3,147.0,150.3,800.0,0.008724832214765277,1.0
1996-07-12,148.55,149.8,146.0,148.0,14200.0,-0.015302727877578248,1.0
1996-07-15,147.55,147.75,147.0,147.0,2800.0,-0.006756756756756799,1.0
1996-07-16,147.05,147.9,146.0,147.9,2400.0,0.00612244897959191,1.0
1996-07-17,147.75,147.75,147.0,147.35,1700.0,-0.0037187288708587785,1.0
1996-07-18,135.0,148.0,135.0,147.6,6200.0,0.0016966406515099841,1.0
1996-07-19,145.5,151.6,145.5,148.75,7900.0,0.007791327913279078,1.0
1996-07-22,148.0,148.0,148.0,148.0,200.0,-0.005042016806722671,1.0
1996-07-23,148.0,150.0,138.0,146.7,7600.0,-0.00878378378378386,1.0
1996-07-24,148.5,148.5,146.5,147.0,2600.0,0.002044989775051187,1.0
1996-07-25,147.0,148.0,147.0,148.0,400.0,0.006802721088435382,1.0
1996-07-29,146.7,148.0,146.7,146.7,1000.0,-0.00878378378378386,1.0
1996-07-30,143.75,145.0,140.0,143.4,2200.0,-0.02249488752556228,1.0
1996-07-31,143.5,143.5,142.5,142.5,300.0,-0.006276150627615107,1.0
1996-08-01,143.5,143.5,143.5,143.5,200.0,0.007017543859649145,1.0
1996-08-02,144.05,144.05,144.0,144.05,200.0,0.0038327526132404532,1.0
1996-08-05,144.0,144.4,143.0,144.4,1400.0,0.002429711905588272,1.0
1996-08-06,144.95,145.0,141.0,144.3,2400.0,-0.0006925207756232066,1.0
1996-08-07,143.0,143.3,143.0,143.15,6100.0,-0.007969507969508016,1.0
1996-08-08,141.0,142.0,141.0,141.3,8300.0,-0.012923506811037377,1.0
1996-08-09,139.55,139.55,139.55,139.55,100.0,-0.012384996461429543,1.0
1996-08-12,131.5,140.0,131.5,140.0,200.0,0.00322465066284483,1.0
1996-08-13,134.0,134.0,134.0,134.0,100.0,-0.042857142857142816,1.0
1996-08-14,141.65,141.65,135.1,136.5,700.0,0.018656716417910557,1.0
1996-08-19,137.75,137.75,137.75,137.75,100.0,0.009157509157509125,1.0
1996-08-20,128.0,128.0,124.0,126.25,500.0,-0.08348457350272231,1.0
1996-08-21,127.5,127.5,120.25,125.0,3000.0,-0.00990099009900991,1.0
1996-08-22,122.0,124.0,122.0,122.4,900.0,-0.02079999999999993,1.0
1996-08-23,130.7,130.7,121.6,122.75,1300.0,0.0028594771241829964,1.0
1996-08-26,124.9,125.0,124.9,125.0,300.0,0.018329938900203624,1.0
1996-08-27,125.0,134.0,124.0,134.0,1500.0,0.07200000000000006,1.0
1996-08-29,133.9,133.9,133.9,133.9,100.0,-0.0007462686567163423,1.0
1996-08-30,135.0,135.0,132.0,132.0,500.0,-0.014189693801344383,1.0
1996-09-03,131.0,139.95,131.0,133.0,2800.0,0.007575757575757569,1.0
1996-09-04,132.0,132.0,131.75,132.0,600.0,-0.007518796992481258,1.0
1996-09-05,132.25,132.75,131.0,132.75,800.0,0.005681818181818121,1.0
1996-09-06,135.0,135.0,135.0,135.0,100.0,0.016949152542372836,1.0
1996-09-09,131.0,131.0,128.0,128.0,700.0,-0.051851851851851816,1.0
1996-09-10,126.0,126.0,125.0,125.0,300.0,-0.0234375,1.0
1996-09-11,125.0,127.5,125.0,127.5,200.0,0.020000000000000018,1.0
1996-09-12,130.0,130.0,125.0,125.5,300.0,-0.015686274509803977,1.0
1996-09-13,126.0,126.0,122.5,122.5,200.0,-0.0239043824701195,1.0
1996-09-16,120.0,120.0,119.0,119.0,200.0,-0.02857142857142858,1.0
1996-09-17,117.1,117.1,112.0,112.0,300.0,-0.05882352941176472,1.0
1996-09-18,114.5,115.0,114.5,114.65,700.0,0.023660714285714368,1.0
1996-09-19,110.0,114.9,110.0,110.5,900.0,-0.03619712167466205,1.0
1996-09-20,110.0,110.0,107.5,110.0,500.0,-0.004524886877828038,1.0
1996-09-23,109.85,109.9,103.1,103.15,600.0,-0.06227272727272726,1.0
1996-09-24,107.9,107.9,100.0,100.0,300.0,-0.030538051381483355,1.0
1996-09-27,100.0,100.0,100.0,100.0,400.0,0.0,1.0
1996-09-30,100.0,100.0,100.0,100.0,100.0,0.0,1.0
1996-10-01,97.95,98.0,97.95,98.0,200.0,-0.020000000000000018,1.0
1996-10-03,96.0,96.0,96.0,96.0,100.0,-0.020408163265306145,1.0
1996-10-04,96.05,97.0,96.0,97.0,300.0,0.01041666666666674,1.0
1996-10-07,91.0,91.0,91.0,91.0,100.0,-0.061855670103092786,1.0
1996-10-08,91.0,91.0,86.95,86.95,700.0,-0.04450549450549446,1.0
1996-10-09,87.0,87.0,86.0,86.0,600.0,-0.010925819436457762,1.0
1996-10-10,89.0,89.0,87.0,88.0,1700.0,0.023255813953488413,1.0
1996-10-11,88.0,88.0,88.0,88.0,300.0,0.0,1.0
1996-10-14,90.05,93.0,90.0,90.0,900.0,0.022727272727272707,1.0
1996-10-15,89.95,90.05,89.5,89.5,500.0,-0.005555555555555536,1.0
1996-10-16,88.15,88.15,88.15,88.15,100.0,-0.01508379888268152,1.0
1996-10-17,89.05,90.0,89.05,90.0,200.0,0.020986954055586926,1.0
1996-10-18,90.0,90.0,90.0,90.0,200.0,0.0,1.0
1996-10-22,85.95,87.0,85.95,86.7,500.0,-0.036666666666666625,1.0
1996-10-23,90.2,90.2,90.2,90.2,100.0,0.04036908881199541,1.0
1996-10-24,96.5,96.5,94.0,94.0,200.0,0.042128603104212736,1.0
1996-10-28,93.25,93.25,90.0,90.0,1000.0,-0.04255319148936165,1.0
1996-10-29,91.0,91.75,90.25,91.75,500.0,0.019444444444444375,1.0
1996-10-31,86.05,88.5,85.5,88.5,1200.0,-0.03542234332425065,1.0
1996-11-01,83.0,84.95,82.5,82.5,1400.0,-0.06779661016949157,1.0
1996-11-04,81.9,81.9,77.1,80.0,800.0,-0.030303030303030276,1.0
1996-11-06,77.75,77.75,77.75,77.75,200.0,-0.028124999999999956,1.0
1996-11-07,79.0,79.0,79.0,79.0,100.0,0.016077170418006492,1.0
1996-11-08,81.0,81.0,81.0,81.0,200.0,0.025316455696202445,1.0
1996-11-10,86.5,86.5,81.0,83.0,2000.0,0.024691358024691468,1.0
1996-11-11,81.0,81.0,81.0,81.0,100.0,-0.02409638554216864,1.0
1996-11-13,83.0,83.0,82.0,82.0,300.0,0.012345679012345734,1.0
1996-11-14,77.0,80.1,77.0,80.1,400.0,-0.023170731707317094,1.0
1996-11-15,81.0,81.0,81.0,81.0,200.0,0.011235955056179803,1.0
1996-11-18,80.0,81.0,79.0,79.0,1100.0,-0.024691358024691357,1.0
1996-11-19,80.0,80.0,80.0,80.0,700.0,0.012658227848101333,1.0
1996-11-20,77.9,77.9,75.75,76.5,1200.0,-0.043749999999999956,1.0
1996-11-21,76.0,76.0,72.15,73.0,900.0,-0.04575163398692805,1.0
1996-11-22,71.0,78.0,71.0,78.0,600.0,0.06849315068493156,1.0
1996-11-25,73.5,73.5,73.5,73.5,100.0,-0.05769230769230771,1.0
1996-11-26,71.55,77.0,71.55,77.0,800.0,0.04761904761904767,1.0
1996-11-27,74.05,74.05,74.05,74.05,100.0,-0.0383116883116883,1.0
1996-11-28,70.05,73.0,69.0,70.0,1000.0,-0.05469277515192439,1.0
1996-12-02,69.5,69.5,67.0,67.0,400.0,-0.042857142857142816,1.0
1996-12-03,67.0,67.0,65.25,65.25,300.0,-0.026119402985074647,1.0
1996-12-04,63.25,64.0,63.25,63.25,300.0,-0.03065134099616862,1.0
1996-12-05,63.5,63.5,61.75,62.0,1100.0,-0.01976284584980237,1.0
1996-12-06,65.0,66.25,65.0,66.0,800.0,0.06451612903225801,1.0
1996-12-09,66.5,67.0,65.5,66.05,800.0,0.0007575757575757347,1.0
1996-12-10,68.0,68.0,67.95,67.95,200.0,0.028766086298259053,1.0
1996-12-11,70.25,70.25,70.0,70.0,900.0,0.030169242089771897,1.0
1996-12-12,72.0,72.0,70.0,70.0,300.0,0.0,1.0
1996-12-16,73.0,73.0,73.0,73.0,100.0,0.04285714285714293,1.0
1996-12-17,74.0,74.0,74.0,74.0,100.0,0.013698630136986356,1.0
1996-12-18,75.6,75.6,75.6,75.6,100.0,0.021621621621621623,1.0
1996-12-19,77.0,77.0,77.0,77.0,300.0,0.0185185185185186,1.0
1996-12-20,78.5,78.5,78.5,78.5,100.0,0.01948051948051943,1.0
1996-12-23,80.0,84.0,79.05,79.05,600.0,0.00700636942675148,1.0
1996-12-24,77.75,78.0,75.15,75.15,400.0,-0.04933586337760898,1.0
1996-12-26,80.45,80.45,80.45,80.45,1000.0,0.07052561543579494,1.0
1996-12-31,81.0,83.9,81.0,82.4,1600.0,0.02423865755127408,1.0
1997-01-01,85.45,88.0,85.45,88.0,1600.0,0.06796116504854366,1.0
1997-01-02,90.0,93.0,90.0,93.0,1200.0,0.05681818181818188,1.0
1997-01-03,94.0,94.0,88.0,88.0,400.0,-0.053763440860215006,1.0
1997-01-06,86.0,86.0,82.05,82.05,200.0,-0.06761363636363638,1.0
1997-01-07,86.0,87.0,82.05,82.05,1200.0,0.0,1.0
1997-01-08,83.0,85.0,82.9,85.0,2100.0,0.03595368677635591,1.0
1997-01-09,85.0,86.0,84.15,84.3,1100.0,-0.008235294117647118,1.0
1997-01-10,85.5,87.0,83.0,83.0,4700.0,-0.01542111506524313,1.0
1997-01-13,84.0,86.0,83.4,86.0,2000.0,0.03614457831325302,1.0
1997-01-14,85.15,85.15,84.75,84.75,1100.0,-0.014534883720930258,1.0
1997-01-15,85.0,88.0,85.0,86.35,8000.0,0.01887905604719764,1.0
1997-01-16,87.0,87.0,85.0,85.0,3000.0,-0.015634047481181135,1.0
1997-01-17,83.5,83.5,83.05,83.05,600.0,-0.022941176470588243,1.0
1997-01-20,79.5,79.5,78.05,78.55,300.0,-0.05418422636965681,1.0
1997-01-21,75.5,75.5,74.0,74.0,600.0,-0.05792488860598344,1.0
1997-01-22,76.0,76.0,76.0,76.0,100.0,0.027027027027026973,1.0
1997-01-24,75.0,76.0,75.0,76.0,200.0,0.0,1.0
1997-01-27,72.0,75.75,72.0,75.75,1000.0,-0.003289473684210509,1.0
1997-01-28,74.6,74.6,70.5,71.5,2200.0,-0.05610561056105612,1.0
1997-01-29,74.0,74.5,74.0,74.5,500.0,0.04195804195804187,1.0
1997-01-30,72.55,72.55,71.5,72.5,1200.0,-0.02684563758389258,1.0
1997-01-31,72.0,72.0,72.0,72.0,100.0,-0.006896551724137945,1.0
1997-02-03,67.0,74.0,67.0,71.5,4200.0,-0.00694444444444442,1.0
1997-02-04,68.15,69.0,67.25,67.95,900.0,-0.049650349650349646,1.0
1997-02-05,69.9,70.0,69.9,70.0,200.0,0.030169242089771897,1.0
1997-02-06,69.0,69.0,68.75,69.0,1200.0,-0.014285714285714235,1.0
1997-02-07,69.05,69.75,66.05,66.15,2200.0,-0.04130434782608683,1.0
1997-02-10,66.6,66.6,65.0,65.05,2500.0,-0.016628873771731056,1.0
1997-02-11,64.25,65.95,63.5,65.95,2400.0,0.013835511145273038,1.0
1997-02-12,67.9,68.0,66.0,68.0,600.0,0.031084154662623265,1.0
1997-02-13,68.6,70.5,68.5,70.0,1200.0,0.02941176470588225,1.0
1997-02-14,71.5,71.5,70.25,71.1,5000.0,0.01571428571428557,1.0
1997-02-17,67.25,71.9,67.25,71.9,1200.0,0.011251758087201358,1.0
1997-02-18,70.0,70.0,70.0,70.0,200.0,-0.026425591098748313,1.0
1997-02-19,70.9,72.0,70.9,72.0,500.0,0.02857142857142847,1.0
1997-02-24,70.5,71.0,70.0,71.0,1200.0,-0.01388888888888884,1.0
1997-02-25,71.0,71.0,69.5,70.0,300.0,-0.014084507042253502,1.0
1997-02-26,70.4,70.4,68.1,68.1,500.0,-0.027142857142857246,1.0
1997-02-27,71.0,71.0,68.0,68.8,1600.0,0.010279001468428861,1.0
1997-02-28,70.0,70.0,65.0,65.0,200.0,-0.05523255813953487,1.0
1997-03-01,69.0,69.0,66.0,66.1,3900.0,0.01692307692307682,1.0
1997-03-03,68.0,70.0,67.0,67.55,9500.0,0.021936459909228434,1.0
1997-03-04,69.0,69.0,66.0,67.5,5800.0,-0.0007401924500369805,1.0
1997-03-05,69.5,71.45,69.5,71.45,500.0,0.058518518518518636,1.0
1997-03-06,71.0,71.65,71.0,71.25,800.0,-0.002799160251924504,1.0
1997-03-10,69.0,69.0,67.0,67.0,500.0,-0.05964912280701751,1.0
1997-03-11,64.25,65.75,64.25,64.75,2200.0,-0.03358208955223885,1.0
1997-03-12,66.0,66.5,66.0,66.25,3100.0,0.02316602316602312,1.0
1997-03-14,65.0,65.0,64.0,64.0,600.0,-0.03396226415094339,1.0
1997-03-17,64.0,64.0,63.05,64.0,1100.0,0.0,1.0
1997-03-18,63.1,64.4,63.05,63.3,1000.0,-0.010937500000000044,1.0
1997-03-19,63.5,63.5,63.5,63.5,300.0,0.003159557661927437,1.0
1997-03-20,62.0,63.0,61.5,62.55,3000.0,-0.014960629921259905,1.0
1997-03-21,63.5,63.5,62.55,63.5,500.0,0.0151878497202238,1.0
1997-03-25,64.0,64.0,62.0,62.0,400.0,-0.023622047244094446,1.0
1997-03-26,62.0,62.0,62.0,62.0,100.0,0.0,1.0
1997-03-27,62.95,62.95,62.95,62.95,100.0,0.015322580645161343,1.0
1997-03-31,59.0,59.0,59.0,59.0,100.0,-0.0627482128673551,1.0
1997-04-01,54.5,59.9,53.5,59.9,1400.0,0.015254237288135464,1.0
1997-04-02,56.55,59.45,56.55,59.45,500.0,-0.0075125208681134925,1.0
1997-04-03,59.75,60.0,59.75,59.85,200.0,0.006728343145500304,1.0
1997-04-04,59.8,59.8,57.15,57.15,300.0,-0.045112781954887216,1.0
