Date,Open,High,Low,Close,Volume,Returns,Anomaly
2018-02-07,71.05,72.7,70.0,71.8,5861.0,,1.0
2018-02-08,72.0,73.9,71.25,71.9,1384.0,0.001392757660167332,1.0
2018-02-09,71.0,75.4,70.55,73.0,7821.0,0.015299026425591,1.0
2018-02-12,74.6,76.0,74.6,75.1,3478.0,0.02876712328767117,1.0
2018-02-14,75.2,78.0,74.05,76.65,7601.0,0.020639147802929525,1.0
2018-02-15,75.1,76.95,75.0,75.4,287.0,-0.01630789302022173,1.0
2018-02-16,73.1,75.45,72.5,74.35,3864.0,-0.013925729442970991,1.0
2018-02-19,72.05,75.45,71.1,71.2,2357.0,-0.042367182246133006,1.0
2018-02-20,71.0,72.5,70.0,70.15,1950.0,-0.014747191011235894,1.0
2018-02-21,70.0,70.45,67.8,69.7,10788.0,-0.006414825374198241,1.0
2018-02-22,67.8,68.5,67.8,68.25,350.0,-0.020803443328550997,1.0
2018-02-23,71.3,71.65,67.75,71.65,2922.0,0.04981684981684986,1.0
2018-02-26,74.95,75.0,70.7,72.2,10525.0,0.007676203768318235,1.0
2018-02-27,71.85,75.0,71.7,75.0,6702.0,0.0387811634349029,1.0
2018-02-28,75.0,75.0,72.4,72.55,553.0,-0.03266666666666673,1.0
2018-03-01,72.05,74.25,70.0,70.05,4090.0,-0.034458993797381154,1.0
2018-03-05,71.0,71.0,67.2,68.25,1365.0,-0.025695931477516032,1.0
2018-03-06,67.2,68.9,66.85,67.6,4291.0,-0.009523809523809601,1.0
2018-03-07,66.0,69.55,66.0,67.4,2697.0,-0.002958579881656598,1.0
2018-03-08,64.25,70.4,64.1,67.0,1140.0,-0.005934718100890302,1.0
2018-03-09,67.0,67.0,64.15,64.8,6212.0,-0.032835820895522394,1.0
2018-03-12,67.85,67.85,63.15,63.15,2030.0,-0.02546296296296291,1.0
2018-03-13,66.25,66.25,63.55,63.9,2462.0,0.01187648456057011,1.0
2018-03-14,64.0,66.9,64.0,66.1,6765.0,0.034428794992175105,1.0
2018-03-15,64.325,65.775,62.025,63.574999999999996,6429.5,0.003281276476979289,1.0
2018-03-16,64.65,64.65,60.05,61.05,6094.0,-0.027866242038216527,1.0
2018-03-19,60.0,60.0,58.0,59.45,7366.0,-0.02620802620802609,1.0
2018-03-20,56.5,59.75,56.5,57.8,18163.0,-0.02775441547518931,1.0
2018-03-21,57.3,59.55,54.95,55.3,24205.0,-0.04325259515570934,1.0
2018-03-22,55.05,56.9,53.05,53.1,5151.0,-0.039783001808318175,1.0
2018-03-23,53.0,54.0,50.45,52.05,15587.0,-0.019774011299435124,1.0
2018-03-26,50.2,52.95,49.5,49.6,3028.0,-0.047070124879923125,1.0
2018-03-27,48.3,52.0,48.3,51.6,1602.0,0.040322580645161255,1.0
2018-03-28,49.55,52.3,49.1,50.0,3391.0,-0.03100775193798455,1.0
2018-04-02,52.2,52.5,52.2,52.5,1085.0,0.050000000000000044,1.0
2018-04-03,52.65,54.9,52.65,53.3,214.0,0.015238095238095273,1.0
2018-04-04,55.75,55.8,52.65,53.9,502.0,0.011257035647279645,1.0
2018-04-05,56.5,56.55,56.5,56.55,1381.0,0.04916512059369205,1.0
2018-04-06,58.0,59.35,54.4,59.35,3915.0,0.04951370468611849,1.0
2018-04-09,62.2,62.2,58.05,59.2,4056.0,-0.002527379949452402,1.0
2018-04-10,61.85,62.15,60.5,61.55,7959.0,0.03969594594594583,1.0
2018-04-11,62.15,62.15,59.05,59.95,135.0,-0.025995125913891082,1.0
2018-04-12,60.0,60.0,60.0,60.0,78.0,0.0008340283569641116,1.0
2018-04-13,59.75,59.75,58.0,58.85,279.0,-0.019166666666666665,1.0
2018-04-16,59.85,59.85,58.0,58.15,310.0,-0.011894647408666192,1.0
2018-04-17,58.1,59.65,58.1,58.9,74.0,0.012897678417884695,1.0
2018-04-18,56.5,60.3,56.45,59.95,1465.0,0.017826825127334578,1.0
2018-04-19,58.1,60.9,58.1,60.25,1539.0,0.00500417014178467,1.0
2018-04-20,58.15,59.9,57.5,58.25,1174.0,-0.03319502074688796,1.0
2018-04-23,57.2,59.9,57.2,59.9,3235.0,0.02832618025751077,1.0
2018-04-24,58.0,60.45,58.0,60.4,727.0,0.008347245409014992,1.0
2018-04-25,60.5,60.9,57.8,60.85,1162.0,0.007450331125827825,1.0
2018-04-26,58.2,59.7,58.2,58.6,6190.0,-0.03697617091207883,1.0
2018-04-27,57.25,61.2,57.25,58.4,446.0,-0.0034129692832765013,1.0
2018-04-30,59.0,61.25,57.25,57.35,268.0,-0.017979452054794454,1.0
2018-05-02,54.95,60.2,54.95,57.7,1917.0,0.006102877070619073,1.0
2018-05-03,60.15,60.15,55.0,55.2,3963.0,-0.04332755632582319,1.0
2018-05-04,54.3,57.95,54.3,57.75,1750.0,0.04619565217391308,1.0
2018-05-07,60.0,60.0,56.2,58.95,753.0,0.020779220779220786,1.0
2018-05-08,58.6,60.2,57.4,59.0,1534.0,0.0008481764206953457,1.0
2018-05-09,59.9,60.2,56.45,58.05,2293.0,-0.01610169491525426,1.0
2018-05-10,56.25,56.3,55.15,55.15,1605.0,-0.04995693367786391,1.0
2018-05-11,57.85,57.85,52.4,53.35,4949.0,-0.0326382592928377,1.0
2018-05-14,52.25,52.25,52.0,52.0,4998.0,-0.025304592314901564,1.0
2018-05-15,54.3,54.3,52.1,52.1,2084.0,0.0019230769230769162,1.0
2018-05-16,54.65,54.65,50.3,53.05,2131.0,0.018234165067178454,1.0
2018-05-17,54.95,55.0,50.7,51.0,2082.0,-0.03864278982092362,1.0
2018-05-18,51.25,53.5,51.25,52.6,542.0,0.031372549019607954,1.0
2018-05-21,54.9,54.95,52.6,53.1,2039.0,0.009505703422053147,1.0
2018-05-22,52.15,55.75,52.1,55.7,1502.0,0.048964218455743946,1.0
2018-05-23,57.9,57.9,54.7,54.7,1217.0,-0.01795332136445238,1.0
2018-05-24,56.5,57.4,53.9,54.2,2249.0,-0.009140767824497242,1.0
2018-05-25,54.9,54.9,51.6,51.6,2491.0,-0.047970479704797064,1.0
2018-05-28,51.6,53.7,50.0,51.3,983.0,-0.005813953488372214,1.0
2018-05-29,52.0,52.15,50.6,51.95,8307.0,0.012670565302144388,1.0
2018-05-30,52.0,52.75,51.2,51.85,1697.0,-0.0019249278152069227,1.0
2018-05-31,50.05,52.7,50.05,52.5,356.0,0.012536162005786,1.0
2018-06-01,50.2,54.9,50.1,51.2,517.0,-0.024761904761904763,1.0
2018-06-04,49.1,49.25,48.65,48.8,1089.0,-0.04687500000000011,1.0
2018-06-05,51.1,51.1,47.1,50.2,531.0,0.028688524590164022,1.0
2018-06-06,48.25,52.25,48.25,50.75,200.0,0.010956175298804771,1.0
2018-06-07,49.0,54.0,48.2,48.5,1549.0,-0.044334975369458074,1.0
2018-06-08,47.6,49.95,47.2,47.65,2252.0,-0.017525773195876337,1.0
2018-06-11,51.45,51.85,47.65,48.7,1328.0,0.022035676810073568,1.0
2018-06-12,51.2,51.2,46.0,47.95,2910.0,-0.015400410677618104,1.0
2018-06-13,47.0,48.95,46.6,47.4,1151.0,-0.011470281543274341,1.0
2018-06-14,46.0,48.0,45.1,46.05,750.0,-0.02848101265822789,1.0
2018-06-15,44.1,47.5,44.0,45.45,1372.0,-0.013029315960911947,1.0
2018-06-18,48.2,48.2,45.0,46.5,1487.0,0.02310231023102305,1.0
2018-06-19,46.5,49.0,46.5,49.0,103.0,0.053763440860215006,1.0
2018-06-20,49.0,52.15,47.0,48.0,719.0,-0.020408163265306145,1.0
2018-06-21,44.5,49.9,44.5,47.15,722.0,-0.017708333333333326,1.0
2018-06-22,47.3,49.5,44.6,45.2,720.0,-0.04135737009544005,1.0
2018-06-25,43.1,44.25,43.1,44.2,836.0,-0.02212389380530977,1.0
2018-06-26,43.1,46.4,43.0,44.25,955.0,0.0011312217194570096,1.0
2018-06-27,43.85,47.25,43.5,43.9,3844.0,-0.007909604519774072,1.0
2018-06-28,43.5,45.55,43.5,43.5,140.0,-0.009111617312072884,1.0
2018-06-29,44.75,47.25,41.1,47.25,416.0,0.0862068965517242,1.0
2018-07-02,47.0,51.7,43.55,48.45,1844.0,0.02539682539682553,1.0
2018-07-03,50.75,50.75,49.75,49.8,15.0,0.02786377708978316,1.0
2018-07-04,45.6,49.0,45.55,47.0,614.0,-0.056224899598393496,1.0
2018-07-05,45.05,49.85,42.3,43.3,2974.0,-0.07872340425531921,1.0
2018-07-06,41.55,45.9,41.55,44.15,2662.0,0.019630484988452768,1.0
2018-07-09,44.15,47.3,42.0,43.0,1767.0,-0.02604756511891282,1.0
2018-07-10,42.5,47.3,42.5,44.8,8912.0,0.041860465116279055,1.0
2018-07-11,48.0,49.25,44.7,49.05,7940.0,0.0948660714285714,1.0
2018-07-12,53.8,53.9,46.0,46.8,15761.0,-0.04587155963302758,1.0
2018-07-13,48.4,48.4,43.5,45.25,10282.0,-0.03311965811965811,1.0
2018-07-16,43.25,46.45,43.2,43.7,270.0,-0.034254143646408775,1.0
2018-07-17,47.5,47.85,44.05,46.95,3831.0,0.07437070938215107,1.0
2018-07-18,45.1,47.5,45.05,45.05,469.0,-0.04046858359957417,1.0
2018-07-19,45.05,46.4,44.1,45.0,885.0,-0.0011098779134294245,1.0
2018-07-20,41.3,45.05,41.3,44.2,667.0,-0.01777777777777767,1.0
2018-07-23,47.7,47.7,42.05,43.6,1375.0,-0.013574660633484226,1.0
2018-07-24,41.15,45.55,41.15,45.55,1537.0,0.044724770642201817,1.0
2018-07-25,49.0,49.2,44.05,45.0,1510.0,-0.01207464324917662,1.0
2018-07-26,47.75,48.2,44.0,44.95,5887.0,-0.0011111111111110628,1.0
2018-07-27,47.5,48.0,45.0,46.8,3423.0,0.04115684093437144,1.0
2018-07-30,48.95,48.95,45.3,46.55,177.0,-0.005341880341880323,1.0
2018-07-31,48.0,48.5,44.8,48.2,600.0,0.03544575725026866,1.0
2018-08-01,45.1,51.0,45.1,50.6,4389.0,0.049792531120331995,1.0
2018-08-02,52.45,52.45,46.25,47.5,1756.0,-0.06126482213438733,1.0
2018-08-03,47.1,47.1,46.7,47.05,138.0,-0.009473684210526412,1.0
2018-08-06,47.0,49.8,46.95,48.25,7281.0,0.025504782146652527,1.0
2018-08-07,51.5,51.5,48.1,48.1,11143.0,-0.0031088082901553626,1.0
2018-08-08,53.0,53.0,49.05,49.35,1155.0,0.02598752598752596,1.0
2018-08-09,49.4,52.65,47.05,47.3,2668.0,-0.041540020263424626,1.0
2018-08-10,46.55,46.65,42.3,43.6,10470.0,-0.07822410147991532,1.0
2018-08-13,43.05,43.95,41.2,43.0,7516.0,-0.013761467889908285,1.0
2018-08-14,45.0,49.25,41.0,41.8,6087.0,-0.027906976744186074,1.0
2018-08-16,46.4,46.4,40.0,40.35,2799.0,-0.03468899521531088,1.0
2018-08-17,40.55,45.7,40.5,42.05,4178.0,0.042131350681536395,1.0
2018-08-20,41.5,45.8,41.5,43.05,1995.0,0.02378121284185486,1.0
2018-08-21,41.05,44.8,41.05,42.8,3549.0,-0.005807200929152101,1.0
2018-08-23,42.55,45.5,41.05,41.9,1509.0,-0.02102803738317749,1.0
2018-08-24,42.05,44.15,42.0,42.45,166.0,0.013126491646778149,1.0
2018-08-27,43.0,43.0,40.5,40.55,1138.0,-0.0447585394581862,1.0
2018-08-28,41.0,44.0,41.0,42.65,2592.0,0.051787916152897795,1.0
2018-08-29,40.55,44.4,40.25,41.05,3738.0,-0.03751465416178201,1.0
2018-08-30,43.7,44.4,40.5,42.0,12540.0,0.023142509135201106,1.0
2018-08-31,40.0,44.0,40.0,41.75,1761.0,-0.005952380952380931,1.0
2018-09-03,41.75,44.8,40.65,40.9,3017.0,-0.02035928143712573,1.0
2018-09-04,40.7,43.6,40.7,42.75,399.0,0.04523227383863082,1.0
2018-09-05,41.2,43.5,40.0,40.1,767.0,-0.06198830409356726,1.0
2018-09-06,40.1,42.0,40.1,40.45,166.0,0.008728179551122262,1.0
2018-09-07,40.1,42.95,38.5,38.7,7647.0,-0.04326328800988877,1.0
2018-09-10,42.8,45.0,40.5,41.8,3779.0,0.08010335917312639,1.0
2018-09-11,42.0,42.15,40.0,40.05,1807.0,-0.04186602870813394,1.0
2018-09-12,41.0,41.0,40.6,40.6,1407.0,0.013732833957553092,1.0
2018-09-14,42.5,47.2,42.0,45.95,10610.0,0.13177339901477825,1.0
2018-09-17,46.05,52.8,42.8,50.5,15368.0,0.09902067464635467,1.0
2018-09-18,52.0,52.0,46.0,47.0,2754.0,-0.06930693069306926,1.0
2018-09-19,47.55,49.8,47.0,48.3,3742.0,0.02765957446808498,1.0
2018-09-21,47.2,50.8,44.0,46.75,795.0,-0.03209109730848858,1.0
2018-09-24,43.0,45.0,42.0,45.0,477.0,-0.03743315508021394,1.0
2018-09-25,45.75,45.75,40.5,41.25,1680.0,-0.08333333333333337,1.0
2018-09-26,39.25,48.45,38.55,40.65,5141.0,-0.014545454545454528,1.0
2019-01-08,37.15,39.6,37.15,39.6,200.0,-0.02583025830258301,1.0
2019-01-09,38.15,41.5,38.15,39.55,30.0,-0.0012626262626264095,1.0
2019-01-10,38.0,41.45,38.0,39.25,1876.0,-0.007585335018963302,1.0
2019-01-14,38.9,40.0,38.9,40.0,13.0,0.019108280254777066,1.0
2019-01-15,38.15,41.9,38.15,41.9,69.0,0.047499999999999876,1.0
2019-01-16,39.9,41.9,39.85,41.5,1640.0,-0.009546539379474916,1.0
2019-01-17,42.35,43.3,40.1,42.6,113.0,0.026506024096385472,1.0
2019-01-18,44.0,44.0,40.5,42.8,694.0,0.004694835680751019,1.0
2019-01-21,40.9,40.9,40.7,40.7,201.0,-0.049065420560747586,1.0
2019-01-22,38.75,40.0,38.75,40.0,320.0,-0.017199017199017286,1.0
2019-01-23,41.8,41.8,38.75,38.75,201.0,-0.03125,1.0
2019-01-25,36.95,39.95,36.95,39.95,610.0,0.030967741935483906,1.0
2019-01-28,38.0,41.75,38.0,41.35,521.0,0.03504380475594493,1.0
2019-01-29,39.3,41.3,39.3,41.3,505.0,-0.0012091898428053804,1.0
2019-01-30,39.25,41.3,39.25,41.3,70.0,0.0,1.0
2019-01-31,39.7,41.0,39.7,41.0,201.0,-0.007263922518159771,1.0
2019-02-01,41.45,41.45,41.45,41.45,2.0,0.01097560975609757,1.0
2019-02-04,41.75,41.75,39.4,39.4,21.0,-0.049457177322074886,1.0
2019-02-06,40.0,40.0,37.5,37.5,261.0,-0.048223350253807085,1.0
2019-02-07,35.7,35.85,35.7,35.8,819.0,-0.04533333333333345,1.0
2019-02-08,34.05,37.55,34.05,37.55,1749.0,0.0488826815642458,1.0
2019-02-11,35.7,35.7,35.7,35.7,1728.0,-0.04926764314247656,1.0
2019-02-12,34.15,35.0,34.15,35.0,204.0,-0.019607843137254943,1.0
2019-02-13,34.2,34.2,34.2,34.2,39.0,-0.022857142857142798,1.0
2019-02-14,32.6,35.8,32.6,35.1,1267.0,0.02631578947368407,1.0
2019-02-15,33.35,33.35,33.35,33.35,1637.0,-0.049857549857549865,1.0
2019-02-18,35.0,35.0,31.7,31.7,1471.0,-0.04947526236881561,1.0
2019-02-19,31.8,33.25,30.65,32.5,915.0,0.025236593059936974,1.0
2019-02-20,33.8,34.0,31.6,33.8,4453.0,0.039999999999999813,1.0
2019-02-21,33.8,34.0,33.0,33.8,8027.0,0.0,1.0
2019-02-22,33.8,35.0,32.3,35.0,64.0,0.03550295857988184,1.0
2019-02-25,36.65,36.75,34.4,36.75,2454.0,0.050000000000000044,1.0
2019-02-26,36.75,38.55,36.75,38.55,6023.0,0.048979591836734615,1.0
2019-02-27,36.65,40.45,36.65,40.45,8953.0,0.04928664072632949,1.0
2019-02-28,39.6,39.6,38.75,39.15,666.0,-0.03213844252163178,1.0
2019-03-01,40.9,41.1,38.3,40.05,1406.0,0.02298850574712641,1.0
2019-03-05,38.45,42.05,38.45,42.05,911.0,0.04993757802746557,1.0
2019-03-06,40.6,40.6,40.1,40.1,256.0,-0.04637336504161704,1.0
2019-03-07,38.5,40.0,38.45,39.8,6599.0,-0.007481296758104827,1.0
2019-03-08,38.55,40.0,38.55,40.0,366.0,0.005025125628140836,1.0
2019-03-11,42.0,42.0,38.35,39.85,274.0,-0.00374999999999992,1.0
2019-03-12,38.25,41.0,38.0,38.05,19906.0,-0.04516938519447944,1.0
2019-03-13,39.0,39.0,37.15,38.8,185.0,0.019710906701708275,1.0
2019-03-14,40.0,40.7,38.05,40.7,20951.0,0.0489690721649485,1.0
2019-03-15,39.3,40.7,39.3,40.7,196.0,0.0,1.0
2019-03-18,42.7,42.7,39.45,39.5,269.0,-0.029484029484029506,1.0
