Date,Open,High,Low,Close,Volume,Returns,Anomaly
2020-01-06,54.6,54.6,52.15,54.55,19134.0,,1.0
2020-01-07,57.25,57.25,56.1,57.25,14223.0,0.04949587534372135,1.0
2020-01-08,60.1,60.1,59.5,60.05,12069.0,0.04890829694323129,1.0
2020-01-09,63.05,63.05,61.0,62.2,28952.0,0.035803497085761915,1.0
2020-01-10,65.3,65.3,62.0,63.15,14967.0,0.015273311897106012,1.0
2020-01-13,63.05,65.8,63.0,63.15,23970.0,0.0,1.0
2020-01-14,63.3,66.25,63.25,63.65,10706.0,0.007917656373713333,1.0
2020-01-15,65.8,65.8,63.55,65.5,5665.0,0.029065200314218442,1.0
2020-01-16,66.7,66.7,63.5,64.45,4720.0,-0.016030534351144987,1.0
2020-01-17,66.4,67.6,64.3,67.45,8835.0,0.04654771140418923,1.0
2020-01-20,70.0,70.0,65.25,69.7,5902.0,0.033358042994811044,1.0
2020-01-21,70.1,70.1,67.0,67.4,19043.0,-0.03299856527977041,1.0
2020-01-22,69.95,69.95,67.6,69.5,3450.0,0.03115727002967361,1.0
2020-01-23,69.5,72.8,67.5,68.85,11026.0,-0.009352517985611541,1.0
2020-01-24,67.55,70.85,67.55,70.4,4400.0,0.022512708787218783,1.0
2020-01-27,71.0,71.0,67.5,68.05,18813.0,-0.03338068181818199,1.0
2020-01-28,70.8,70.8,65.15,65.25,8891.0,-0.04114621601763402,1.0
2020-01-29,65.75,67.0,65.25,65.25,8065.0,0.0,1.0
2020-01-30,66.8,66.85,62.5,62.5,3899.0,-0.04214559386973182,1.0
2020-01-31,65.25,65.35,62.35,63.9,3915.0,0.022399999999999975,1.0
2020-02-01,66.1,66.4,62.35,62.35,10242.0,-0.024256651017214304,1.0
2020-02-03,60.0,64.65,60.0,62.05,3841.0,-0.004811547714514863,1.0
2020-02-04,64.75,65.15,63.65,65.0,6149.0,0.04754230459307007,1.0
2020-02-05,66.8,67.95,64.0,65.55,3754.0,0.00846153846153852,1.0
2020-02-06,70.0,70.0,65.3,68.45,3503.0,0.0442410373760489,1.0
2020-02-07,67.35,67.35,62.0,62.1,12937.0,-0.09276844411979546,1.0
