Date,Open,High,Low,Close,Volume,Returns,Anomaly
2008-01-11,100.0,100.0,85.15,88.75,78735.0,,1.0
2008-01-14,88.95,94.0,86.5,91.75,18747.0,0.033802816901408406,1.0
2008-01-15,92.95,100.95,92.95,97.2,38602.0,0.059400544959128165,1.0
2008-01-16,97.8,104.0,87.55,91.2,62110.0,-0.06172839506172845,1.0
2008-01-17,95.0,98.75,93.5,95.1,35796.0,0.042763157894736725,1.0
2008-01-18,90.1,95.0,85.6,86.0,17730.0,-0.09568874868559407,1.0
2008-01-21,88.0,88.0,77.4,77.4,13200.0,-0.09999999999999998,1.0
2008-01-22,72.9,72.9,69.7,69.7,4900.0,-0.09948320413436695,1.0
2008-01-23,70.0,73.2,66.25,73.2,9601.0,0.050215208034433356,1.0
2008-01-24,75.0,76.8,69.55,72.1,12850.0,-0.015027322404371657,1.0
2008-01-25,75.0,75.75,75.0,75.75,13638.0,0.05062413314840497,1.0
2008-01-28,75.0,79.55,75.0,79.05,22002.0,0.0435643564356436,1.0
2008-01-29,82.85,83.0,82.85,83.0,6829.0,0.04996837444655289,1.0
2008-01-30,85.95,87.15,83.0,84.7,16816.0,0.02048192771084345,1.0
2008-01-31,83.7,88.95,82.0,87.6,34202.0,0.03423848878394331,1.0
2008-02-01,86.25,86.5,83.3,84.15,14904.0,-0.039383561643835496,1.0
2008-02-04,85.1,88.4,85.1,87.2,9152.0,0.036244800950683276,1.0
2008-02-05,87.2,87.9,85.0,85.05,2305.0,-0.024655963302752326,1.0
2008-02-06,84.0,84.9,82.1,83.05,12876.0,-0.023515579071134662,1.0
2008-02-07,83.4,84.45,80.0,80.5,6479.0,-0.030704394942805524,1.0
2008-02-08,78.15,80.9,76.65,79.25,3989.0,-0.01552795031055898,1.0
2008-02-11,78.15,80.45,75.3,75.6,5178.0,-0.04605678233438493,1.0
2008-02-12,76.1,76.1,71.85,71.9,2584.0,-0.04894179894179884,1.0
2008-02-13,72.0,72.1,68.4,68.45,28802.0,-0.04798331015299029,1.0
2008-02-14,66.5,71.9,66.5,71.75,1745.0,0.04821037253469673,1.0
2008-02-15,70.05,75.35,70.05,75.35,2066.0,0.05017421602787442,1.0
2008-02-18,77.9,79.15,77.0,79.15,1179.0,0.050431320504313426,1.0
2008-02-19,83.15,83.15,81.0,83.05,3179.0,0.04927353126974099,1.0
2008-02-20,80.0,83.0,78.9,78.9,4164.0,-0.04996989765201676,1.0
2008-02-21,82.0,82.45,78.0,78.05,3857.0,-0.010773130544993736,1.0
2008-02-22,76.3,77.75,75.15,76.5,435.0,-0.01985906470211396,1.0
