Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,460.0,465.0,460.0,465.0,100.0,,1.0
1996-01-02,461.0,461.0,446.0,446.0,300.0,-0.04086021505376347,1.0
1996-01-03,445.0,445.0,442.0,445.0,200.0,-0.0022421524663677195,1.0
1996-01-05,445.0,445.0,445.0,445.0,50.0,0.0,1.0
1996-01-08,450.0,450.0,450.0,450.0,200.0,0.011235955056179803,1.0
1996-01-09,450.0,450.0,445.0,450.0,700.0,0.0,1.0
1996-01-11,450.0,458.0,445.1,454.55,800.0,0.010111111111111182,1.0
1996-01-16,454.0,455.0,445.0,445.0,200.0,-0.021009789902101006,1.0
1996-01-17,445.0,453.0,449.0,453.0,200.0,0.01797752808988773,1.0
1996-01-19,453.0,445.05,445.0,445.05,500.0,-0.017549668874172197,1.0
1996-01-22,445.05,440.0,440.0,440.0,50.0,-0.011347039658465397,1.0
1996-01-23,444.0,445.0,435.3,435.3,1100.0,-0.010681818181818126,1.0
1996-01-24,440.0,440.0,439.95,439.95,150.0,0.010682288077188185,1.0
1996-01-25,439.95,435.0,435.0,435.0,150.0,-0.011251278554381128,1.0
1996-01-29,435.0,445.0,435.0,445.0,500.0,0.02298850574712641,1.0
1996-01-30,460.0,470.0,460.0,462.0,800.0,0.038202247191011285,1.0
1996-01-31,469.95,470.0,469.95,470.0,100.0,0.017316017316017396,1.0
1996-02-01,490.0,490.0,481.05,481.05,200.0,0.023510638297872255,1.0
1996-02-02,498.0,500.0,495.0,500.0,400.0,0.039392994491217026,1.0
1996-02-05,510.0,510.0,510.0,510.0,100.0,0.020000000000000018,1.0
1996-02-06,505.0,505.0,490.5,490.5,100.0,-0.038235294117647034,1.0
1996-02-07,500.0,500.0,500.0,500.0,100.0,0.019367991845056,1.0
1996-02-09,500.0,513.0,500.0,510.0,550.0,0.020000000000000018,1.0
1996-02-12,510.0,525.0,525.0,525.0,100.0,0.02941176470588225,1.0
1996-02-13,511.0,515.05,511.0,515.05,450.0,-0.018952380952381054,1.0
1996-02-14,520.0,565.0,520.0,564.0,800.0,0.09503931657120668,1.0
1996-02-15,563.0,600.0,563.0,589.5,1100.0,0.04521276595744683,1.0
1996-02-16,570.0,576.0,565.0,574.95,550.0,-0.024681933842239157,1.0
1996-02-19,574.95,590.0,565.0,570.0,1550.0,-0.008609444299504387,1.0
1996-02-20,560.05,572.0,551.25,551.25,400.0,-0.03289473684210531,1.0
1996-02-22,551.25,590.0,570.0,581.0,900.0,0.053968253968254,1.0
1996-02-23,585.0,589.0,582.0,585.0,700.0,0.0068846815834766595,1.0
1996-02-26,585.0,575.0,560.0,575.0,300.0,-0.017094017094017144,1.0
1996-02-27,575.0,590.0,573.0,590.0,350.0,0.026086956521739202,1.0
1996-02-28,580.0,582.0,580.0,582.0,150.0,-0.013559322033898313,1.0
1996-02-29,582.0,578.0,565.0,565.0,250.0,-0.029209621993127155,1.0
1996-03-01,565.0,592.0,560.0,591.15,3050.0,0.04628318584070801,1.0
1996-03-04,594.0,608.85,593.0,602.85,2000.0,0.019791930981984285,1.0
1996-03-06,600.0,605.0,590.0,600.0,2300.0,-0.004727544165215258,1.0
1996-03-07,600.0,602.0,592.0,595.0,1550.0,-0.008333333333333304,1.0
1996-03-08,595.0,585.0,580.25,584.05,550.0,-0.018403361344537905,1.0
1996-03-11,575.0,575.0,568.0,573.95,1450.0,-0.01729303997945364,1.0
1996-03-12,573.95,580.0,551.0,575.0,2000.0,0.0018294276504922102,1.0
1996-03-14,575.0,580.0,580.0,580.0,150.0,0.008695652173912993,1.0
1996-03-15,575.0,585.0,570.0,570.0,200.0,-0.017241379310344862,1.0
1996-03-18,570.0,570.0,555.0,570.0,150.0,0.0,1.0
1996-03-19,570.0,565.0,559.0,565.0,350.0,-0.00877192982456143,1.0
1996-03-21,565.0,585.0,560.0,585.0,700.0,0.03539823008849563,1.0
1996-03-22,585.0,596.0,580.0,580.0,550.0,-0.008547008547008517,1.0
1996-03-25,578.0,589.0,578.0,589.0,200.0,0.01551724137931032,1.0
1996-03-26,589.0,595.0,580.0,594.95,250.0,0.010101867572156253,1.0
1996-03-27,594.95,606.0,595.0,605.5,300.0,0.017732582569963684,1.0
