Date,Open,High,Low,Close,Volume,Returns,Anomaly
2016-11-07,,,,,,,
2016-11-08,,,,,,,
2016-11-09,852.0,948.7,812.2,922.2,3674905.0,-0.057007004448080156,1.0
2016-11-10,945.0,974.4,905.0,933.1,2047064.0,0.011819561917154608,1.0
2016-11-11,911.7,947.9,908.2,928.9,1486727.0,-0.004501125281320406,1.0
2016-11-15,925.0,925.0,798.0,808.8,1525700.0,-0.1292927118096674,1.0
2016-11-16,851.1,864.8,791.75,797.7,1816031.0,-0.013724035608308482,1.0
2016-11-17,807.25,815.3,796.5,809.1,644793.0,0.014291086874764991,1.0
2016-11-18,814.0,826.0,802.7,813.9,428795.0,0.005932517612161625,1.0
2016-11-21,816.0,816.85,793.3,799.6,440349.0,-0.01756972601056639,1.0
2016-11-22,805.0,813.9,796.35,808.25,384137.0,0.010817908954477318,1.0
2016-11-23,815.0,832.0,796.5,824.4,415021.0,0.019981441385709786,1.0
2016-11-24,815.0,822.35,807.55,811.3,166715.0,-0.01589034449296456,1.0
2016-11-25,813.0,887.0,811.25,869.45,1141424.0,0.07167508936275135,1.0
2016-11-28,859.9,864.0,841.7,847.75,319524.0,-0.02495830697567436,1.0
2016-11-29,854.85,903.0,851.0,892.4,857796.0,0.05266882925390748,1.0
2016-11-30,898.1,922.0,896.5,906.85,385650.0,0.016192290452711866,1.0
2016-12-01,913.0,920.0,901.0,906.0,389816.0,-0.000937310470309316,1.0
2016-12-02,902.0,914.9,890.0,906.45,233893.0,0.000496688741721929,1.0
2016-12-05,900.0,905.75,845.0,854.65,1316337.0,-0.05714600915659995,1.0
2016-12-06,860.0,873.0,859.95,865.65,496977.0,0.012870765810565787,1.0
2016-12-07,871.05,877.4,852.0,860.15,801131.0,-0.006353607116039939,1.0
2016-12-08,864.5,898.8,861.95,891.8,437545.0,0.0367959076905191,1.0
2016-12-09,892.0,895.4,868.55,875.7,383676.0,-0.01805337519623229,1.0
2016-12-12,863.25,873.3,851.0,854.65,137695.0,-0.024037912527121286,1.0
2016-12-13,854.95,869.0,851.35,856.0,202170.0,0.001579593985842287,1.0
2016-12-14,857.45,864.5,850.55,852.45,294155.0,-0.00414719626168214,1.0
2016-12-15,852.0,860.0,850.0,857.9,234265.0,0.006393336852601239,1.0
2016-12-16,862.25,874.6,853.3,870.0,573841.0,0.01410420794964451,1.0
2016-12-19,863.4,883.4,856.35,868.05,118349.0,-0.0022413793103448487,1.0
2016-12-20,873.0,879.0,846.15,856.85,246534.0,-0.012902482575888441,1.0
2016-12-21,855.0,885.0,835.55,877.25,272623.0,0.02380813444593577,1.0
2016-12-22,878.0,878.0,837.55,840.7,126205.0,-0.041664291821031596,1.0
2016-12-23,845.0,852.95,831.2,836.65,100586.0,-0.004817414059712255,1.0
2016-12-26,832.0,841.7,807.05,810.5,205665.0,-0.03125560270124905,1.0
2016-12-27,815.0,836.1,815.0,830.35,120896.0,0.024491054904379972,1.0
2016-12-28,833.0,841.95,825.0,826.65,83260.0,-0.004455952309267208,1.0
2016-12-29,826.0,834.45,822.0,829.4,33398.0,0.003326679973386648,1.0
2016-12-30,829.4,857.7,829.4,840.1,144394.0,0.012900892211237025,1.0
2017-01-02,847.0,854.0,825.75,832.6,124507.0,-0.008927508629924974,1.0
2017-01-03,834.95,839.7,828.0,830.45,360636.0,-0.0025822723997117603,1.0
2017-01-04,837.0,839.0,815.35,817.35,74419.0,-0.015774580046962527,1.0
2017-01-05,820.1,837.0,819.85,821.05,145394.0,0.004526824493790826,1.0
2017-01-06,825.75,825.75,810.0,813.1,74414.0,-0.009682723342061883,1.0
2017-01-09,818.95,821.0,812.0,814.55,51720.0,0.001783298487270768,1.0
2017-01-10,813.1,819.25,810.0,810.95,55122.0,-0.004419618194094754,1.0
2017-01-11,812.0,827.7,810.4,812.15,264849.0,0.0014797459769404497,1.0
2017-01-12,813.1,820.0,810.0,811.45,105914.0,-0.0008619097457365221,1.0
2017-01-13,813.0,816.0,806.0,808.35,219152.0,-0.0038203216464354206,1.0
2017-01-16,811.85,814.8,801.0,803.3,122601.0,-0.006247293870229598,1.0
2017-01-17,810.8,840.5,800.2,828.0,318060.0,0.030748163824225072,1.0
2017-01-18,833.0,837.9,825.1,829.7,262088.0,0.002053140096618389,1.0
2017-01-19,830.3,839.0,822.2,832.7,92005.0,0.003615764734241189,1.0
2017-01-20,833.5,836.8,827.55,829.25,138741.0,-0.0041431487930827515,1.0
2017-01-23,827.8,835.0,825.25,829.65,154007.0,0.00048236358154962744,1.0
2017-01-24,830.0,869.9,829.0,860.7,721010.0,0.037425420357982464,1.0
2017-01-25,876.85,949.7,870.0,939.25,1341314.0,0.0912629255257349,1.0
2017-01-27,935.0,945.0,922.75,925.8,188456.0,-0.014319936119244092,1.0
2017-01-30,917.2,920.85,908.0,910.35,63600.0,-0.016688269604666184,1.0
2017-01-31,911.75,944.0,889.75,904.7,220013.0,-0.006206404130279508,1.0
2017-02-01,901.7,926.4,900.35,914.85,293718.0,0.011219188681330872,1.0
2017-02-02,916.25,932.75,915.0,926.55,214623.0,0.012788981800295085,1.0
2017-02-03,928.0,944.0,924.15,939.95,476658.0,0.014462252441854284,1.0
2017-02-06,940.0,995.0,932.1,983.6,796452.0,0.046438640353210214,1.0
2017-02-07,973.0,1002.0,961.9,991.75,230831.0,0.008285888572590494,1.0
2017-02-08,992.45,1078.0,978.0,1053.8,737781.0,0.0625661709100076,1.0
2017-02-09,1046.0,1080.0,1030.0,1055.5,610896.0,0.001613209337635313,1.0
2017-02-10,1053.0,1133.4,1045.25,1123.0,645550.0,0.06395073424917097,1.0
2017-02-13,1130.0,1131.0,1070.0,1092.1,326383.0,-0.027515583259127396,1.0
2017-02-14,1090.0,1139.3,1078.05,1112.7,331226.0,0.01886274150718803,1.0
2017-02-15,1114.7,1124.4,1081.0,1100.15,265472.0,-0.01127887121416371,1.0
2017-02-16,1090.1,1129.9,1090.1,1122.3,140682.0,0.020133618142980314,1.0
2017-02-17,1122.6,1129.4,1080.25,1087.45,253963.0,-0.031052303305711404,1.0
2017-02-20,1076.0,1133.9,1055.95,1110.65,278709.0,0.021334314221343575,1.0
2017-02-21,1101.1,1128.45,1101.1,1115.0,192130.0,0.00391662539954063,1.0
2017-02-22,1114.8,1120.0,1095.75,1099.2,97558.0,-0.014170403587443925,1.0
2017-02-23,1083.05,1118.0,1083.05,1097.1,195833.0,-0.001910480349345156,1.0
2017-02-27,1094.0,1105.0,1060.0,1067.5,249617.0,-0.026980220581533043,1.0
2017-02-28,1071.0,1090.2,1063.0,1073.15,182414.0,0.005292740046838551,1.0
2017-03-01,1081.9,1081.9,1042.5,1048.8,137736.0,-0.022690211060895638,1.0
2017-03-02,1052.0,1062.4,1016.65,1022.8,182393.0,-0.024790236460716986,1.0
2017-03-03,1020.0,1028.25,995.1,1002.4,161661.0,-0.019945248337895904,1.0
2017-03-06,999.0,1015.0,995.05,1001.55,248348.0,-0.000847964884277741,1.0
2017-03-07,1009.8,1013.7,971.25,994.95,299790.0,-0.006589785831960349,1.0
2017-03-08,990.0,998.0,974.0,979.15,146677.0,-0.015880194984672635,1.0
