Date,Open,High,Low,Close,Volume,Returns,Anomaly
2016-07-12,,,,,,,
2016-07-13,503.0,507.45,462.0,467.7,2440691.0,-0.07036374478234952,1.0
2016-07-14,495.0,502.67499999999995,468.575,479.575,1858653.5,-0.03133729580720923,1.0
2016-07-15,487.0,497.9,475.15,491.45,1276616.0,0.007689153167931062,1.0
2016-07-18,492.0,512.0,487.0,501.95,1506745.0,0.021365347441245186,1.0
2016-07-19,502.35,507.35,490.0,495.05,669521.0,-0.013746389082577859,1.0
2016-07-20,495.05,507.7,490.9,496.3,756119.0,0.002524997475002566,1.0
2016-07-21,496.9,499.45,486.4,487.9,331922.0,-0.016925246826516305,1.0
2016-07-22,490.0,492.8,481.0,482.8,329187.0,-0.010452961672473782,1.0
2016-07-25,485.85,495.05,475.1,481.95,296699.0,-0.0017605633802817433,1.0
2016-07-26,485.85,496.9,482.8,489.9,356432.0,0.016495487083722393,1.0
2016-07-27,494.7,531.9,491.1,523.75,1565742.0,0.0690957338232292,1.0
2016-07-28,527.0,541.9,521.1,524.8,780663.0,0.0020047732696897302,1.0
2016-07-29,526.8,530.5,508.05,510.2,298546.0,-0.027820121951219412,1.0
2016-08-01,562.4,574.65,544.1,556.35,1091200.5,-0.005814260672017124,1.0
2016-08-02,598.0,618.8,580.15,602.5,1883855.0,0.016191600607185164,1.0
2016-08-03,602.0,602.8,576.2,588.3,678231.0,-0.023568464730290506,1.0
2016-08-04,614.0,617.4,594.725,604.8,577213.0,-0.012467347369565451,1.0
2016-08-05,626.0,632.0,613.25,621.3,476195.0,-0.0013662300088403967,1.0
2016-08-08,625.75,625.75,556.25,559.05,1581862.0,-0.10019314340898122,1.0
2016-08-09,561.5,571.5,530.05,535.6,1375277.0,-0.04194615866201579,1.0
2016-08-10,539.7,556.0,536.25,550.3,1002765.0,0.027445855115757922,1.0
2016-08-11,552.0,555.45,531.0,532.35,363157.0,-0.03261857168816995,1.0
2016-08-12,535.9,542.8,527.05,529.8,254952.0,-0.004790081713158756,1.0
2016-08-16,530.1,534.45,505.6,519.35,413017.0,-0.019724424311060695,1.0
2016-08-17,518.9,530.0,518.0,525.65,165209.0,0.012130547800134783,1.0
2016-08-18,528.0,557.35,521.0,543.8,489208.0,0.03452867877865495,1.0
2016-08-19,544.9,561.0,536.35,542.5,305984.0,-0.0023905847738138197,1.0
2016-08-22,546.4,573.7,543.9,569.45,608750.0,0.049677419354838825,1.0
2016-08-23,573.8,573.8,550.1,553.5,169895.0,-0.028009482834313926,1.0
2016-08-24,552.2,563.8,545.5,549.85,162799.0,-0.0065943992773260796,1.0
2016-08-25,550.25,563.5,540.55,541.8,176349.0,-0.014640356460853043,1.0
2016-08-26,542.0,555.0,537.0,541.7,158455.0,-0.0001845699520116595,1.0
2016-08-29,544.4,546.45,528.45,531.6,131200.0,-0.018645006461140867,1.0
2016-08-30,532.1,557.4,532.1,548.8,306524.0,0.03235515425131674,1.0
2016-08-31,543.1,559.0,543.1,550.8,187513.0,0.0036443148688045657,1.0
2016-09-01,553.05,555.7,540.6,545.25,88041.0,-0.010076252723311474,1.0
2016-09-02,548.75,549.9,535.0,536.55,86255.0,-0.015955983493810222,1.0
2016-09-06,542.8,555.45,537.5,552.4,202703.0,0.029540583356630457,1.0
2016-09-07,550.0,553.25,540.05,542.55,70291.0,-0.01783128167994208,1.0
2016-09-08,542.4,548.0,535.5,543.8,96553.0,0.002303935121187095,1.0
2016-09-09,544.8,551.75,535.5,540.15,90962.0,-0.006712026480323652,1.0
2016-09-12,534.6,534.7,516.5,520.0,102587.0,-0.03730445246690728,1.0
2016-09-14,517.15,534.9,517.15,531.45,93389.0,0.022019230769230846,1.0
2016-09-15,525.0,563.9,525.0,548.85,335891.0,0.03274061529777028,1.0
2016-09-16,552.0,556.0,544.05,548.5,213728.0,-0.0006376970028241224,1.0
2016-09-19,549.0,550.0,535.85,544.4,140395.0,-0.00747493163172297,1.0
2016-09-20,545.25,546.0,533.55,536.0,63363.0,-0.01542983100661277,1.0
2016-09-21,539.0,550.0,536.0,544.65,158475.0,0.016138059701492402,1.0
2016-09-22,545.6,550.95,542.5,546.5,271641.0,0.003396676764894968,1.0
2016-09-23,549.9,567.95,546.5,563.6,517305.0,0.03129002744739262,1.0
2016-09-26,565.0,569.3,545.0,549.6,149408.0,-0.024840312278211485,1.0
2016-09-27,548.65,566.2,543.0,555.15,160599.0,0.010098253275109048,1.0
2016-09-28,565.15,568.45,545.35,548.3,217857.0,-0.012339007475457131,1.0
2016-09-29,550.0,575.5,510.0,556.8,413911.0,0.015502462155754237,1.0
2016-09-30,552.2,574.7,541.4,559.1,187528.0,0.004130747126436907,1.0
2016-10-03,561.0,592.4,561.0,583.0,443267.0,0.042747272402074765,1.0
2016-10-04,584.35,600.0,578.2,593.35,255994.0,0.017753001715265837,1.0
2016-10-05,589.7,618.95,589.7,607.15,546197.0,0.023257773658043268,1.0
2016-10-06,609.0,624.5,607.6,616.25,256471.0,0.014988058964012119,1.0
2016-10-07,618.1,635.9,610.55,629.45,208119.0,0.02141987829614611,1.0
2016-10-10,630.2,634.95,608.05,616.85,166054.0,-0.020017475573913757,1.0
2016-10-13,614.8,614.8,566.65,592.95,180593.0,-0.038745237902245266,1.0
2016-10-14,597.0,599.9,584.0,591.1,54380.0,-0.0031199932540686426,1.0
2016-10-17,591.95,611.8,583.1,601.4,230508.0,0.01742513957029268,1.0
2016-10-18,607.0,610.0,596.2,605.6,129136.0,0.006983704689058845,1.0
2016-10-19,610.0,612.0,585.2,594.75,177726.0,-0.017916116248348768,1.0
2016-10-20,616.0,672.0,607.0,630.55,1924287.0,0.0601933585540142,1.0
2016-10-21,633.0,638.85,617.0,626.05,239438.0,-0.007136626754420727,1.0
2016-10-24,627.0,628.8,600.25,604.6,165594.0,-0.03426243910230797,1.0
2016-10-25,609.0,611.0,591.8,593.8,109588.0,-0.017863049950380572,1.0
2016-10-26,590.0,609.0,582.25,587.0,169607.0,-0.011451667228022822,1.0
2016-10-27,590.0,594.25,573.15,587.1,102020.0,0.00017035775127771657,1.0
2016-10-28,589.9,610.0,585.0,597.15,158987.0,0.017118037812978937,1.0
2016-10-30,599.0,606.7,592.1,598.8,46588.0,0.0027631248430042277,1.0
2016-11-01,600.2,613.0,594.0,610.35,157664.0,0.01928857715430876,1.0
2016-11-02,596.2,602.7,592.0,594.25,71389.0,-0.02637830752846726,1.0
2016-11-03,594.15,599.55,580.1,585.15,55056.0,-0.015313420277660916,1.0
2016-11-04,584.5,585.35,551.2,555.7,74529.0,-0.050328975476373494,1.0
2016-11-07,561.0,576.55,561.0,567.2,55604.0,0.020694619398956338,1.0
2016-11-08,570.0,580.0,566.2,571.65,67046.0,0.007845557122707847,1.0
2016-11-09,550.0,579.0,515.0,570.25,244989.0,-0.002449050992740287,1.0
2016-11-10,579.0,598.0,579.0,591.15,61632.0,0.036650591845681646,1.0
2016-11-11,581.1,594.9,566.45,582.8,52003.0,-0.014125010572612728,1.0
2016-11-15,585.0,603.3,557.35,594.2,164000.0,0.01956074124914231,1.0
2016-11-16,590.0,601.0,584.05,590.7,108151.0,-0.005890272635476257,1.0
2016-11-17,585.05,599.95,585.05,596.4,62642.0,0.00964956830878605,1.0
2016-11-18,592.85,599.8,587.0,592.9,87986.0,-0.005868544600938996,1.0
2016-11-21,593.6,598.0,551.5,578.05,288388.0,-0.02504638218923938,1.0
2016-11-22,586.0,601.9,575.75,596.5,58861.0,0.03191765418216419,1.0
