Date,Open,High,Low,Close,Volume,Returns,Anomaly
2007-03-16,,,,,,,
2007-03-19,,,,,,,
2007-03-20,233.15,234.5,216.0,219.05,1081612.0,-0.05234696084793422,1.0
2007-03-21,202.35,219.0,200.35,202.45,1002076.0,-0.07578178498059818,1.0
2007-03-22,201.7625,215.5,199.0125,201.02499999999998,985922.5,-0.06345434962114876,1.0
2007-03-23,201.175,212.0,197.675,199.6,969769.0,-0.05112691426169935,1.0
2007-03-26,200.5875,208.5,196.3375,198.175,953615.5,-0.03879947890224994,1.0
2007-03-28,200.0,205.0,195.0,196.75,937462.0,-0.026472043542800527,1.0
2007-03-29,201.5,206.725,199.0,201.65,855720.0,-0.003739228480822976,1.0
2007-03-30,203.0,208.45,203.0,206.55,773978.0,0.018993586581154576,1.0
2007-04-02,206.35,206.35,190.2,197.25,270487.0,-0.04502541757443723,1.0
2007-04-03,196.6,201.0,195.1,196.15,191447.0,-0.005576679340937862,1.0
2007-04-04,201.95,202.0,196.5,200.6,232743.0,0.022686719347438045,1.0
2007-04-05,199.25,203.65,196.5,198.6,219622.0,-0.009970089730807596,1.0
2007-04-09,199.0,208.0,199.0,203.45,304282.0,0.02442094662638472,1.0
2007-04-10,203.0,213.35,200.5,201.95,1049917.0,-0.00737281887441632,1.0
2007-04-11,202.5,206.45,198.9,200.0,304131.0,-0.009655855409754888,1.0
2007-04-12,198.5,203.4,197.1,201.1,260621.0,0.00550000000000006,1.0
2007-04-13,201.0,205.0,198.3,199.1,218039.0,-0.009945300845350613,1.0
2007-04-16,201.8,202.4,195.4,196.85,257717.0,-0.011300853842290293,1.0
2007-04-17,197.0,198.6,191.0,191.75,246422.0,-0.02590805181610356,1.0
2007-04-18,193.0,194.9,187.55,188.3,139935.0,-0.0179921773142111,1.0
2007-04-19,186.1,186.8,180.6,182.1,105745.0,-0.03292618162506644,1.0
2007-04-20,185.1,190.0,182.2,183.5,180980.0,0.007688083470620555,1.0
2007-04-23,186.8,195.0,183.2,187.8,537840.0,0.023433242506812002,1.0
2007-04-24,191.4,191.4,185.1,185.75,125436.0,-0.01091586794462196,1.0
2007-04-25,184.0,189.7,184.0,186.7,121943.0,0.005114401076715902,1.0
2007-04-26,188.0,191.5,185.0,186.4,112305.0,-0.0016068559185858922,1.0
2007-04-27,186.5,188.5,179.15,180.85,108057.0,-0.02977467811158807,1.0
2007-04-30,174.15,183.25,174.15,179.9,92124.0,-0.0052529720763062615,1.0
2007-05-03,180.0,184.9,180.0,180.8,78464.0,0.005002779321845452,1.0
2007-05-04,182.1,183.4,177.4,178.95,83951.0,-0.010232300884955858,1.0
2007-05-07,179.5,187.5,179.5,185.75,291158.0,0.037999441184688454,1.0
2007-05-08,187.0,195.55,186.65,189.85,758688.0,0.022072678331090057,1.0
2007-05-09,191.0,194.4,189.0,192.75,405687.0,0.015275217276797592,1.0
2007-05-10,194.7,195.6,185.6,186.65,132131.0,-0.03164721141374838,1.0
2007-05-11,186.0,188.25,181.6,182.85,120517.0,-0.020358960621484123,1.0
2007-05-14,185.0,190.0,185.0,188.65,104319.0,0.03171998906207274,1.0
2007-05-15,202.14285714285714,208.28571428571428,201.47857142857143,207.12857142857143,140626.2857142857,0.04149651668290349,1.0
2007-05-16,219.28571428571428,226.57142857142856,217.95714285714286,225.60714285714286,176933.57142857142,0.051273044303734236,1.0
2007-05-17,236.42857142857144,244.85714285714286,234.4357142857143,244.0857142857143,213240.85714285716,0.06104957192456498,1.0
2007-05-18,253.57142857142856,263.1428571428571,250.9142857142857,262.5642857142857,249548.14285714287,0.07082609954539573,1.0
2007-05-21,270.7142857142857,281.42857142857144,267.39285714285717,281.04285714285714,285855.4285714286,0.08060262716622647,1.0
2007-05-22,287.8571428571429,299.7142857142857,283.8714285714286,299.5214285714286,322162.7142857143,0.09037915478705721,1.0
2007-05-23,305.0,318.0,300.35,318.0,358470.0,0.10015568240788797,1.0
