Date,Open,High,Low,Close,Volume,Returns,Anomaly
2006-05-09,478.85,482.4,436.85,439.95,22742.0,,1.0
2006-05-10,459.0,459.0,425.25,435.9,10343.0,-0.00920559154449374,1.0
2006-05-11,428.0,432.0,414.5,416.6,2337.0,-0.04427621013994021,1.0
2006-05-12,412.5,423.9,400.0,401.75,3596.0,-0.03564570331253003,1.0
2006-05-15,399.9,415.0,382.0,395.8,3989.0,-0.014810205351586725,1.0
2006-05-16,391.0,403.95,385.0,403.95,1162.0,0.020591207680646706,1.0
2006-05-17,409.0,424.15,409.0,424.15,527.0,0.05000618888476294,1.0
2006-05-18,420.0,445.0,410.3,419.35,6189.0,-0.011316751149357485,1.0
2006-05-19,412.0,412.0,400.25,400.3,1635.0,-0.045427447239775876,1.0
2006-05-22,382.0,400.0,380.3,380.3,550.0,-0.0499625281039221,1.0
2006-05-23,365.0,399.0,365.0,372.95,321.0,-0.01932684722587441,1.0
2006-05-24,370.0,383.0,357.5,369.1,180.0,-0.010323099611207809,1.0
2006-05-25,367.0,387.55,351.15,387.25,543.0,0.049173665673259315,1.0
2006-05-26,406.65,406.65,372.0,383.25,174.0,-0.010329244673983218,1.0
2006-05-29,378.9,397.9,376.0,376.95,5451.0,-0.016438356164383605,1.0
2006-05-30,379.9,389.95,378.1,389.95,50.0,0.034487332537471715,1.0
2006-05-31,370.5,370.5,370.45,370.45,130.0,-0.05000641107834336,1.0
2006-06-01,353.1,367.75,351.95,351.95,265.0,-0.04993926305844243,1.0
2006-06-02,335.0,335.0,335.0,335.0,2.0,-0.04816025003551638,1.0
2006-06-05,332.0,332.0,332.0,332.0,350.0,-0.008955223880596996,1.0
2006-06-09,315.4,315.4,315.4,315.4,2.0,-0.050000000000000044,1.0
2006-06-14,299.65,299.65,299.65,299.65,25.0,-0.04993658845909954,1.0
2006-06-15,285.0,311.95,285.0,290.6,273.0,-0.030201902219255672,1.0
2006-06-16,300.0,305.15,300.0,305.15,283.0,0.05006882312456962,1.0
2006-06-19,319.0,320.45,316.0,320.45,1398.0,0.050139275766016844,1.0
2006-06-20,330.0,336.5,330.0,336.5,285.0,0.05008581682009683,1.0
2006-06-21,340.0,353.35,340.0,353.35,302.0,0.05007429420505205,1.0
2006-06-22,371.0,371.0,355.3,356.25,864.0,0.008207160039620742,1.0
2006-06-23,355.3,360.0,339.0,347.95,1191.0,-0.02329824561403515,1.0
2006-06-25,359.0,364.0,347.0,353.65,99.0,0.016381664032188548,1.0
2006-06-26,336.2,336.2,336.0,336.0,42.0,-0.049908101230029644,1.0
2006-06-27,320.0,329.0,320.0,323.0,724.0,-0.038690476190476164,1.0
2006-06-28,323.0,330.0,323.0,330.0,258.0,0.021671826625387025,1.0
2006-06-29,328.1,328.1,320.05,322.0,61.0,-0.024242424242424288,1.0
2006-06-30,333.0,338.1,327.0,337.45,372.0,0.04798136645962736,1.0
2006-07-03,339.5,339.5,339.5,339.5,20.0,0.006074974070232608,1.0
2006-07-04,335.0,339.9,335.0,339.9,110.0,0.001178203240058906,1.0
2006-07-05,330.0,331.0,330.0,331.0,55.0,-0.026184171815239687,1.0
2006-07-06,331.0,336.0,331.0,331.25,109.0,0.0007552870090634656,1.0
2006-07-07,330.9,330.9,330.9,330.9,8.0,-0.0010566037735849632,1.0
2006-07-10,329.0,329.0,316.0,317.15,267.0,-0.04155333937745542,1.0
2006-07-11,315.0,330.0,315.0,330.0,45.0,0.0405171054705975,1.0
2006-07-12,339.0,340.0,324.0,337.15,150.0,0.0216666666666665,1.0
2006-07-13,335.05,340.0,335.0,340.0,1658.0,0.008453210737060735,1.0
2006-07-14,325.0,339.95,325.0,331.0,30.0,-0.026470588235294135,1.0
2006-07-17,338.0,340.0,338.0,340.0,150.0,0.027190332326284095,1.0
2006-07-18,357.0,357.0,323.0,323.2,181.0,-0.04941176470588238,1.0
2006-07-19,307.5,307.5,307.5,307.5,1.0,-0.04857673267326734,1.0
2006-07-20,300.0,300.0,293.15,294.25,66.0,-0.043089430894308944,1.0
2006-07-21,280.0,280.0,280.0,280.0,200.0,-0.048428207306711935,1.0
2006-07-24,282.0,285.0,266.0,285.0,146.0,0.017857142857142794,1.0
2006-07-25,285.0,285.0,275.0,280.0,425.0,-0.01754385964912286,1.0
2006-07-26,285.0,294.0,285.0,290.1,10829.0,0.036071428571428754,1.0
2006-07-27,300.0,304.5,300.0,304.5,260.0,0.04963805584281267,1.0
2006-07-28,290.0,311.5,290.0,305.0,338.0,0.0016420361247948545,1.0
2006-07-31,291.15,320.2,291.15,320.2,1777.0,0.049836065573770405,1.0
2006-08-01,310.05,326.95,310.0,326.95,60.0,0.02108057464084956,1.0
2006-08-02,320.0,334.0,310.65,315.0,199.0,-0.036549931182137896,1.0
2006-08-03,325.0,325.0,300.0,310.3,216.0,-0.01492063492063489,1.0
2006-08-04,321.0,321.0,302.0,316.85,125.0,0.02110860457621655,1.0
2006-08-07,302.5,314.0,302.5,305.6,131.0,-0.03550575982326021,1.0
2006-08-08,319.7,320.0,310.0,313.3,267.0,0.025196335078534027,1.0
2006-08-09,320.0,329.0,310.5,329.0,303.0,0.050111714012128994,1.0
2006-08-10,327.35,344.8,327.35,341.7,267.0,0.03860182370820664,1.0
2006-08-11,358.0,358.0,330.0,332.55,184.0,-0.026777875329236145,1.0
2006-08-14,345.0,345.0,342.0,343.2,98.0,0.03202525935949474,1.0
2006-08-16,349.9,358.0,340.0,349.35,247.0,0.017919580419580416,1.0
2006-08-17,359.3,359.8,341.0,341.0,260.0,-0.02390153141548601,1.0
2006-08-18,350.0,350.0,341.0,341.0,218.0,0.0,1.0
2006-08-21,340.1,356.0,340.0,356.0,70.0,0.04398826979472137,1.0
2006-08-22,360.0,373.8,360.0,373.75,785.0,0.049859550561797805,1.0
2006-08-23,374.0,374.0,355.15,355.15,278.0,-0.04976588628762546,1.0
2006-08-24,341.0,341.0,341.0,341.0,25.0,-0.039842320146416976,1.0
2006-08-25,345.0,350.0,335.5,350.0,556.0,0.02639296187683282,1.0
2006-08-28,354.5,354.5,353.95,353.95,60.0,0.011285714285714343,1.0
2006-08-29,340.1,350.0,336.5,337.1,295.0,-0.04760559401045339,1.0
2006-08-31,347.9,348.85,331.3,331.3,195.0,-0.017205576980124593,1.0
2006-09-01,343.8,347.85,336.2,341.0,280.0,0.02927859945668576,1.0
2006-09-04,346.0,357.0,345.0,348.0,725.0,0.02052785923753664,1.0
2006-09-05,350.0,359.0,349.0,349.35,446.0,0.00387931034482758,1.0
2006-09-06,350.0,355.0,342.0,344.0,150.0,-0.015314154859023987,1.0
2006-09-07,344.0,345.0,341.55,344.0,214.0,0.0,1.0
2006-09-08,343.0,355.0,334.2,354.9,503.0,0.03168604651162776,1.0
2006-09-11,354.0,355.8,348.05,349.75,906.0,-0.014511129895745212,1.0
2006-09-12,345.0,354.5,342.0,354.0,150.0,0.012151536812008645,1.0
2006-09-13,351.5,352.0,346.2,346.55,135.0,-0.02104519774011293,1.0
