Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,138.8,139.45,138.05,138.3,8300.0,,1.0
1996-01-02,138.3,138.15,134.25,135.35,36300.0,-0.021330441070137485,1.0
1996-01-03,135.35,137.9,136.3,136.45,13800.0,0.00812707794606582,1.0
1996-01-04,136.45,137.0,135.0,135.8,12650.0,-0.00476364968853038,1.0
1996-01-05,135.8,135.5,133.35,133.95,6950.0,-0.013622974963181322,1.0
1996-01-08,133.95,134.0,132.25,133.05,23150.0,-0.006718924972004325,1.0
1996-01-09,133.05,133.35,130.0,132.1,28950.0,-0.007140172867343253,1.0
1996-01-10,132.1,144.85,132.0,132.7,12300.0,0.004542013626040786,1.0
1996-01-11,132.7,133.5,131.75,133.15,9850.0,0.0033911077618689056,1.0
1996-01-12,133.15,134.5,132.55,133.95,11100.0,0.006008261359369049,1.0
1996-01-15,133.95,133.0,131.55,132.0,5100.0,-0.014557670772676334,1.0
1996-01-16,132.0,133.9,131.25,131.9,18500.0,-0.0007575757575757347,1.0
1996-01-17,131.9,132.5,130.4,131.1,10450.0,-0.006065200909780244,1.0
1996-01-18,131.1,130.0,125.05,128.1,15400.0,-0.022883295194508046,1.0
1996-01-19,128.1,129.0,125.0,125.6,14700.0,-0.01951600312256052,1.0
1996-01-22,125.6,126.5,124.3,124.6,17250.0,-0.0079617834394905,1.0
1996-01-23,124.6,125.4,122.0,123.85,15750.0,-0.006019261637239204,1.0
1996-01-24,123.75,123.75,122.05,122.9,11100.0,-0.007670569236980174,1.0
1996-01-25,122.9,125.5,122.5,125.35,28800.0,0.019934906427990118,1.0
1996-01-29,125.35,128.75,124.0,128.25,19400.0,0.023135221380135684,1.0
1996-01-30,128.25,131.0,129.0,130.2,34050.0,0.015204678362572999,1.0
1996-01-31,130.2,134.0,130.0,130.25,12250.0,0.00038402457757302777,1.0
1996-02-01,130.25,133.15,130.0,132.45,14350.0,0.016890595009596776,1.0
1996-02-02,132.45,141.05,134.0,140.5,125950.0,0.060777651944129873,1.0
1996-02-05,140.5,145.9,137.0,139.05,94500.0,-0.010320284697508786,1.0
1996-02-06,139.05,141.2,137.25,139.95,118200.0,0.006472491909385036,1.0
1996-02-07,139.95,146.0,137.0,144.45,363600.0,0.03215434083601276,1.0
1996-02-08,150.0,159.0,150.0,156.95,175200.0,0.08653513326410534,1.0
