Date,Open,High,Low,Close,Volume,Returns,Anomaly
2005-12-22,,,,,,,
2005-12-23,,,,,,,
2005-12-26,,,,,,,
2005-12-27,,,,,,,
2005-12-28,225.0,226.5,218.6,219.95,482320.0,-0.01983065953654195,1.0
2005-12-29,227.83333333333334,229.31666666666666,219.91666666666666,221.26666666666665,418956.6666666667,-0.025826083581588038,1.0
2005-12-30,230.66666666666666,232.13333333333333,221.23333333333335,222.58333333333334,355593.3333333333,-0.031821507626634125,1.0
2006-01-02,233.5,234.95,222.55,223.9,292230.0,-0.03781693167168021,1.0
2006-01-03,225.35,227.95,223.75,225.5,132392.0,0.007146047342563522,1.0
2006-01-04,221.0,233.0,220.1,223.65,255626.0,-0.008203991130820376,1.0
2006-01-05,225.0,229.0,219.55,221.4,121404.0,-0.010060362173038184,1.0
2006-01-06,222.5,225.95,215.0,216.7,59796.0,-0.021228545618789618,1.0
2006-01-09,218.25,232.0,218.0,230.9,300730.0,0.06552838024919261,1.0
2006-01-10,225.4,238.85,224.05,234.525,344452.5,0.03582713900503576,1.0
2006-01-12,232.55,245.7,230.1,238.15,388175.0,0.006125897760878907,1.0
2006-01-13,239.0,243.0,228.2,230.45,139989.0,-0.03233256351039271,1.0
2006-01-16,232.5,234.5,223.1,224.25,71892.0,-0.026903883705792997,1.0
2006-01-17,233.5,236.1,225.05,227.35,145060.5,-0.024173810218076963,1.0
2006-01-18,234.5,237.7,227.0,230.45,218229.0,-0.02144373673036093,1.0
2006-01-19,232.9,236.5,231.15,232.25,94655.0,0.007810804946843275,1.0
2006-01-20,232.3,242.4,232.3,236.3,181716.0,0.01743810548977409,1.0
2006-01-23,240.5,249.92000000000002,237.24,241.22,208280.0,0.002325935655357169,1.0
2006-01-24,248.70000000000002,257.44,242.18,246.14,234844.0,-0.012786234179059754,1.0
2006-01-25,256.90000000000003,264.96,247.12,251.06,261408.0,-0.02789840401347668,1.0
2006-01-27,265.1,272.48,252.06,255.98,287972.0,-0.0430105738478936,1.0
2006-01-30,273.3,280.0,257.0,260.9,314536.0,-0.05812274368231052,1.0
2006-01-31,262.0,272.7,258.0,259.55,263313.0,-0.005174396320429153,1.0
2006-02-01,262.7,263.4,241.5,244.45,167715.0,-0.058177615103063074,1.0
2006-02-02,246.85,252.0,230.0,234.2,257858.0,-0.041930865207608914,1.0
2006-02-03,236.35,245.4,233.1,237.15,192785.0,0.012596071733561143,1.0
2006-02-06,239.45,246.9,232.0,235.65,163595.0,-0.006325110689437086,1.0
2006-02-07,237.45,242.75,233.0,235.5,82491.0,-0.0006365372374284028,1.0
2006-02-08,238.75,238.75,231.1,234.5,48334.0,-0.00424628450106157,1.0
2006-02-10,237.35,253.8,234.5,242.85,200186.0,0.03560767590618341,1.0
2006-02-13,244.0,248.4,238.0,241.6,92867.0,-0.005147210212065101,1.0
2006-02-14,243.95,258.0,240.2,242.45,182717.0,0.0035182119205297013,1.0
2006-02-15,240.15,248.0,232.55,234.85,72539.0,-0.03134666941637454,1.0
2006-02-16,238.0,246.0,235.05,238.9,77387.0,0.017245050031935216,1.0
2006-02-17,238.9,243.65,235.0,235.35,59792.0,-0.014859773964001732,1.0
2006-02-20,236.0,239.8,230.5,236.6,52700.0,0.005311238580837152,1.0
2006-02-21,235.5,242.8,234.0,235.5,47643.0,-0.004649196956889257,1.0
2006-02-22,238.0,238.0,233.0,235.05,28209.0,-0.0019108280254777066,1.0
2006-02-23,237.75,237.75,234.5,235.1,14719.0,0.00021272069772382274,1.0
2006-02-24,236.6,242.0,225.15,228.4,55444.0,-0.028498511271799143,1.0
2006-02-27,228.5,233.5,225.05,227.9,33992.0,-0.002189141856392296,1.0
2006-02-28,232.0,232.0,219.0,220.65,17900.0,-0.03181219833260207,1.0
2006-03-01,224.0,229.0,218.5,226.45,36502.0,0.026285973260820272,1.0
2006-03-02,226.0,236.0,224.0,225.95,52187.0,-0.0022079929344226423,1.0
2006-03-03,225.95,230.95,224.25,227.9,21733.0,0.008630227926532452,1.0
2006-03-06,232.0,232.0,221.0,225.05,23494.0,-0.01250548486178149,1.0
2006-03-07,224.5,227.9,221.5,225.35,28556.0,0.0013330371028659194,1.0
2006-03-08,227.8,227.8,210.1,213.8,32375.0,-0.051253605502551536,1.0
2006-03-09,218.95,218.95,208.0,214.85,29763.0,0.004911131898970966,1.0
2006-03-10,219.9,220.05,208.35,210.35,19556.0,-0.020944845240865706,1.0
2006-03-13,211.75,214.9,209.2,210.15,17090.0,-0.000950796291894429,1.0
2006-03-14,235.5,235.5,201.3,203.25,27692.0,-0.032833690221270584,1.0
2006-03-16,214.95,214.95,203.0,204.2,8556.0,0.004674046740467341,1.0
2006-03-17,202.2,207.0,201.0,205.05,11689.0,0.004162585700294041,1.0
2006-03-20,219.5,224.7,200.5,215.2,65578.0,0.04950012192148234,1.0
2006-03-21,222.0,222.0,210.0,211.55,13442.0,-0.01696096654275081,1.0
2006-03-22,205.5,211.9,205.5,208.35,6418.0,-0.01512644764831017,1.0
2006-03-23,225.0,225.0,205.0,207.35,7608.0,-0.004799616030717546,1.0
2006-03-24,208.6,209.8,204.3,205.95,6347.0,-0.006751868820834339,1.0
2006-03-27,212.0,212.0,205.0,205.35,49454.0,-0.0029133284777858037,1.0
2006-03-28,209.0,209.8,202.35,205.25,16390.0,-0.00048697345994641594,1.0
2006-03-29,185.35,238.0,185.35,223.7,108188.0,0.08989037758830687,1.0
2006-03-30,227.2,234.1,225.0,228.8,41336.0,0.022798390701832982,1.0
2006-03-31,229.0,229.8,220.0,221.8,10227.0,-0.030594405594405627,1.0
