Date,Open,High,Low,Close,Volume,Returns,Anomaly
2009-12-03,177.0,181.5,152.0,173.9,10656.0,,1.0
2009-12-04,172.0,177.0,171.5,173.8,2678.0,-0.0005750431282345314,1.0
2009-12-07,175.1,178.0,174.0,176.35,4246.0,0.014672036823935475,1.0
2009-12-08,172.1,190.0,172.1,180.35,23520.0,0.022682166146867022,1.0
2009-12-09,184.0,188.9,180.0,182.75,33291.0,0.01330745772109787,1.0
2009-12-10,181.0,186.0,178.2,180.7,4208.0,-0.011217510259918018,1.0
2009-12-11,184.5,184.9,178.1,179.55,4893.0,-0.006364139457664564,1.0
2009-12-14,178.0,181.45,177.1,177.2,5222.0,-0.013088276246171149,1.0
2009-12-15,177.0,183.5,176.1,176.2,4787.0,-0.0056433408577878375,1.0
2009-12-16,176.0,179.0,170.1,175.0,3855.0,-0.006810442678774065,1.0
2009-12-17,171.05,175.9,171.05,175.35,1191.0,0.0020000000000000018,1.0
2009-12-18,177.4,180.0,171.45,173.9,5341.0,-0.008269175933846573,1.0
2009-12-21,176.25,177.0,172.1,174.95,4366.0,0.006037952846463357,1.0
2009-12-22,174.25,187.9,174.25,183.9,19325.0,0.051157473563875566,1.0
2009-12-23,184.3,194.0,183.1,189.05,27548.0,0.02800435019032088,1.0
2009-12-24,189.9,202.0,189.9,195.35,54667.0,0.03332451732345931,1.0
2009-12-29,199.0,225.5,197.0,216.85,213071.0,0.11005886869721015,1.0
2009-12-30,217.0,222.0,211.0,212.3,30782.0,-0.020982245792022014,1.0
2009-12-31,215.0,216.4,205.8,207.0,19589.0,-0.024964672633066454,1.0
2010-01-04,209.6,246.8,207.0,243.15,341514.0,0.17463768115942035,1.0
2010-01-05,244.9,248.7,231.2,232.6,83667.0,-0.04338885461649189,1.0
2010-01-06,235.0,245.0,232.7,237.35,38838.0,0.020421324161650878,1.0
2010-01-07,239.95,242.0,231.0,233.35,17173.0,-0.016852749104697695,1.0
2010-01-08,229.2,238.5,229.2,232.9,11253.0,-0.001928433683308306,1.0
2010-01-11,236.0,238.0,228.0,229.5,20958.0,-0.014598540145985384,1.0
2010-01-12,227.25,234.0,214.0,221.0,67394.0,-0.03703703703703709,1.0
2010-01-13,222.0,229.0,221.5,224.9,14964.0,0.01764705882352935,1.0
2010-01-14,228.8,238.0,224.55,234.75,24212.0,0.043797243219208415,1.0
2010-01-15,238.9,243.0,231.1,238.3,29517.0,0.015122470713525127,1.0
2010-01-18,239.9,239.9,230.05,230.85,9144.0,-0.03126311372219903,1.0
2010-01-19,231.0,233.0,225.0,226.0,4516.0,-0.021009313406974206,1.0
2010-01-20,232.7,232.7,217.05,220.15,10993.0,-0.02588495575221239,1.0
2010-01-21,222.0,234.5,210.0,215.7,16788.0,-0.020213490801726186,1.0
2010-01-22,214.9,225.8,204.05,223.7,15764.0,0.03708854891052393,1.0
2010-01-25,220.0,226.65,215.1,220.4,8600.0,-0.01475189986589176,1.0
2010-01-27,219.0,230.9,206.0,208.35,34371.0,-0.05467332123411983,1.0
2010-01-28,220.0,220.0,190.5,194.45,21541.0,-0.06671466282697391,1.0
2010-01-29,191.0,205.0,186.0,202.75,21733.0,0.042684494728722155,1.0
2010-02-01,202.0,215.0,198.0,205.5,11336.0,0.013563501849568338,1.0
2010-02-02,205.5,219.0,205.5,209.1,17623.0,0.01751824817518255,1.0
2010-02-03,213.25,224.0,213.25,216.35,26322.0,0.034672405547584884,1.0
2010-02-04,218.85,222.0,209.0,214.3,24678.0,-0.009475387104229127,1.0
2010-02-05,200.35,204.0,196.0,198.85,25625.0,-0.0720951936537565,1.0
2010-02-06,207.0,207.0,201.1,202.65,771.0,0.0191098818204678,1.0
2010-02-08,205.75,206.85,196.3,204.6,5306.0,0.009622501850480969,1.0
