Date,Open,High,Low,Close,Volume,Returns,Anomaly
2007-01-19,132.0,133.0,121.05,122.55,75656.0,,1.0
2007-01-22,125.5,127.9,116.25,119.9,23351.0,-0.02162382700938381,1.0
2007-01-23,116.2,121.7,115.0,120.25,4056.0,0.0029190992493743906,1.0
2007-01-24,116.1,121.7,116.0,119.5,36399.0,-0.006237006237006182,1.0
2007-01-25,123.0,125.0,121.1,125.0,2637.0,0.046025104602510414,1.0
2007-01-29,115.5,123.8,115.5,122.75,1814.0,-0.018000000000000016,1.0
2007-01-31,122.5,124.5,120.0,124.15,4130.0,0.01140529531568224,1.0
2007-02-01,132.0,132.0,120.0,120.4,2434.0,-0.030205396697543296,1.0
2007-02-02,124.95,124.95,120.0,120.0,1890.0,-0.0033222591362126463,1.0
2007-02-05,116.9,120.0,115.25,120.0,329.0,0.0,1.0
2007-02-06,115.5,130.0,115.0,120.4,10213.0,0.0033333333333334103,1.0
2007-02-07,121.0,124.0,120.0,120.7,2221.0,0.002491694352159346,1.0
2007-02-08,117.5,121.9,115.0,115.0,3990.0,-0.047224523612261815,1.0
2007-02-09,115.0,116.9,115.0,116.35,2357.0,0.011739130434782474,1.0
2007-02-12,115.0,124.5,110.3,121.45,3420.0,0.04383326171035673,1.0
2007-02-13,115.5,123.4,111.2,113.05,1379.0,-0.06916426512968299,1.0
2007-02-14,112.5,120.0,101.0,119.5,3070.0,0.05705440070765144,1.0
2007-02-15,119.25,127.2,114.2,123.4,15545.0,0.03263598326359829,1.0
2007-02-19,118.0,120.0,118.0,120.0,334.0,-0.027552674230145957,1.0
2007-02-20,124.75,130.0,119.0,123.0,2225.0,0.02499999999999991,1.0
2007-02-21,125.0,125.0,117.5,118.7,1050.0,-0.03495934959349589,1.0
2007-02-23,117.5,122.0,117.5,117.5,2135.0,-0.010109519797809607,1.0
2007-02-26,117.65,120.0,117.65,120.0,1840.0,0.02127659574468077,1.0
2007-02-27,121.9,121.9,117.5,119.75,300.0,-0.002083333333333326,1.0
2007-03-01,115.0,120.0,115.0,116.95,1875.0,-0.023382045929018713,1.0
2007-03-02,119.2,119.8,112.15,115.65,140.0,-0.011115861479264577,1.0
2007-03-05,109.5,110.0,105.0,108.3,442.0,-0.0635538261997407,1.0
2007-03-06,115.95,116.0,104.25,113.95,1170.0,0.0521698984302863,1.0
2007-03-08,105.0,105.0,105.0,105.0,500.0,-0.07854322071083808,1.0
2007-03-12,105.1,115.0,105.1,107.2,3014.0,0.020952380952381056,1.0
2007-03-13,115.5,115.95,110.0,115.95,2020.0,0.08162313432835822,1.0
2007-03-14,110.1,112.0,108.55,108.55,116.0,-0.06382061233290215,1.0
2007-03-15,108.75,108.75,100.15,100.15,133.0,-0.07738369415016111,1.0
2007-03-16,102.05,102.05,100.1,101.8,49.0,0.016475287069395828,1.0
2007-03-19,105.0,114.0,105.0,113.85,3103.0,0.11836935166994111,1.0
2007-03-20,110.05,116.95,105.15,106.5,785.0,-0.064558629776021,1.0
2007-03-21,113.95,114.25,102.0,111.55,365.0,0.04741784037558672,1.0
2007-03-22,107.65,115.0,107.65,114.5,2320.0,0.026445540116539767,1.0
2007-03-26,107.0,113.0,106.25,112.95,101.0,-0.013537117903930085,1.0
2007-03-28,110.0,116.0,110.0,113.2,1265.0,0.002213368747233213,1.0
2007-03-29,117.0,117.0,108.0,108.0,4000.0,-0.04593639575971731,1.0
2007-04-03,117.8,119.8,104.2,111.0,142.0,0.02777777777777768,1.0
2007-04-04,110.0,115.0,109.0,109.1,114.0,-0.017117117117117164,1.0
2007-04-05,110.0,110.05,109.0,110.0,55.0,0.008249312557286892,1.0
2007-04-09,110.0,111.75,107.6,110.7,3313.0,0.006363636363636349,1.0
2007-04-10,111.1,115.0,111.1,114.95,951.0,0.03839205058717243,1.0
2007-04-11,110.0,115.0,110.0,115.0,4.0,0.00043497172683770735,1.0
2007-04-12,110.0,112.5,110.0,112.5,103.0,-0.021739130434782594,1.0
2007-04-13,112.3,112.35,112.25,112.25,1099.0,-0.0022222222222222365,1.0
2007-04-16,109.0,112.0,109.0,112.0,200.0,-0.00222717149220486,1.0
2007-04-17,113.0,113.0,113.0,113.0,50.0,0.008928571428571397,1.0
2007-04-18,107.15,116.0,106.5,116.0,4260.0,0.026548672566371723,1.0
2007-04-19,115.0,115.0,110.25,115.0,122.0,-0.008620689655172376,1.0
2007-04-23,115.0,115.0,115.0,115.0,150.0,0.0,1.0
2007-04-24,113.5,115.0,113.2,115.0,585.0,0.0,1.0
2007-04-25,107.05,117.0,107.05,112.4,50.0,-0.022608695652173827,1.0
2007-04-26,110.5,110.75,110.35,110.6,130.0,-0.016014234875444955,1.0
2007-04-27,116.0,116.0,106.5,107.6,3903.0,-0.027124773960216952,1.0
2007-04-30,112.2,118.4,112.2,118.3,261.0,0.09944237918215615,1.0
2007-05-03,118.5,118.5,115.0,115.0,200.0,-0.02789518174133554,1.0
2007-05-04,119.0,122.0,112.75,115.05,607.0,0.00043478260869567187,1.0
2007-05-07,110.5,120.5,108.5,112.1,485.0,-0.02564102564102566,1.0
