Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,44.0,44.0,43.0,43.0,250.0,,1.0
1996-01-02,41.0,41.0,41.0,41.0,50.0,-0.046511627906976716,1.0
1996-01-03,43.25,43.25,43.25,43.25,200.0,0.054878048780487854,1.0
1996-01-08,41.5,41.5,41.5,41.5,150.0,-0.040462427745664775,1.0
1996-01-09,41.5,41.5,41.5,41.5,50.0,0.0,1.0
1996-01-23,40.0,40.0,38.0,38.0,350.0,-0.08433734939759041,1.0
1996-01-29,38.0,38.0,38.0,38.0,300.0,0.0,1.0
1996-01-30,38.5,38.5,37.0,37.0,450.0,-0.02631578947368418,1.0
1996-02-01,38.0,38.0,38.0,38.0,100.0,0.027027027027026973,1.0
1996-02-02,38.0,38.0,38.0,38.0,100.0,0.0,1.0
1996-02-05,40.0,42.0,40.0,42.0,200.0,0.10526315789473695,1.0
1996-02-06,46.0,46.0,43.5,43.5,700.0,0.03571428571428581,1.0
1996-02-07,43.0,45.0,43.0,45.0,250.0,0.034482758620689724,1.0
1996-02-08,45.0,46.0,45.0,46.0,400.0,0.022222222222222143,1.0
1996-02-12,44.75,44.75,44.75,44.75,350.0,-0.02717391304347827,1.0
1996-02-13,44.75,46.0,44.75,46.0,450.0,0.027932960893854775,1.0
1996-02-14,47.0,50.0,47.0,50.0,1050.0,0.08695652173913038,1.0
1996-02-15,50.0,50.0,50.0,50.0,200.0,0.0,1.0
1996-02-20,47.0,47.05,47.0,47.05,300.0,-0.05900000000000005,1.0
1996-02-22,48.0,48.0,48.0,48.0,200.0,0.020191285866099973,1.0
1996-02-26,48.0,48.5,48.0,48.5,1150.0,0.01041666666666674,1.0
1996-02-27,48.0,48.25,48.0,48.25,1100.0,-0.005154639175257714,1.0
1996-02-28,45.0,51.0,45.0,50.0,600.0,0.03626943005181338,1.0
1996-02-29,45.5,45.5,45.5,45.5,100.0,-0.08999999999999997,1.0
1996-03-01,45.0,45.0,42.5,44.0,950.0,-0.03296703296703296,1.0
1996-03-04,44.0,42.5,42.0,42.5,350.0,-0.03409090909090906,1.0
1996-03-06,46.75,46.75,46.75,46.75,150.0,0.10000000000000009,1.0
1996-03-07,50.0,51.7,50.0,51.7,700.0,0.10588235294117654,1.0
1996-03-08,51.7,54.0,52.75,53.7,1200.0,0.03868471953578334,1.0
1996-03-12,49.5,49.5,48.4,48.4,1100.0,-0.09869646182495351,1.0
1996-03-13,47.9,47.9,47.9,47.9,100.0,-0.010330578512396715,1.0
1996-03-14,47.9,47.0,45.5,47.0,500.0,-0.018789144050104345,1.0
1996-03-15,46.0,46.0,46.0,46.0,50.0,-0.021276595744680882,1.0
1996-03-18,46.05,46.05,46.0,46.0,200.0,0.0,1.0
1996-03-19,46.0,46.0,45.0,45.05,850.0,-0.020652173913043526,1.0
1996-03-21,42.2,42.2,42.2,42.2,100.0,-0.06326304106548264,1.0
1996-03-25,45.0,46.0,45.0,45.0,550.0,0.06635071090047395,1.0
1996-03-26,45.0,45.0,45.0,45.0,50.0,0.0,1.0
1996-03-27,43.0,43.5,42.6,42.6,800.0,-0.053333333333333344,1.0
1996-03-28,43.9,43.9,43.9,43.9,100.0,0.030516431924882514,1.0
1996-04-01,43.9,45.0,45.0,45.0,100.0,0.02505694760820054,1.0
1996-04-02,45.0,48.0,46.0,48.0,450.0,0.06666666666666665,1.0
1996-04-03,47.0,47.0,47.0,47.0,100.0,-0.02083333333333337,1.0
1996-04-04,44.5,44.5,44.5,44.5,300.0,-0.05319148936170215,1.0
1996-04-08,44.0,44.0,44.0,44.0,200.0,-0.011235955056179803,1.0
1996-04-09,44.95,44.95,42.5,43.5,700.0,-0.011363636363636354,1.0
1996-04-11,40.55,40.55,40.5,40.5,450.0,-0.06896551724137934,1.0
1996-04-12,41.25,42.0,41.25,42.0,550.0,0.03703703703703698,1.0
1996-04-18,39.0,39.0,39.0,39.0,200.0,-0.0714285714285714,1.0
1996-04-19,39.0,39.5,39.0,39.5,450.0,0.012820512820512775,1.0
1996-04-22,39.5,39.5,39.5,39.5,100.0,0.0,1.0
1996-04-23,39.5,39.5,39.0,39.0,400.0,-0.012658227848101222,1.0
1996-04-24,42.0,42.0,42.0,42.0,150.0,0.07692307692307687,1.0
1996-04-25,40.0,42.0,40.0,42.0,400.0,0.0,1.0
1996-04-26,40.0,40.0,40.0,40.0,300.0,-0.04761904761904767,1.0
1996-04-30,38.0,38.0,37.0,37.0,500.0,-0.07499999999999996,1.0
1996-05-03,38.9,38.9,38.9,38.9,100.0,0.05135135135135127,1.0
1996-05-06,38.5,38.5,37.0,37.0,250.0,-0.04884318766066831,1.0
1996-05-07,38.0,38.0,37.5,37.7,800.0,0.018918918918918948,1.0
1996-05-09,39.0,39.0,39.0,39.0,100.0,0.0344827586206895,1.0
1996-05-13,39.0,37.0,36.0,36.25,900.0,-0.07051282051282048,1.0
1996-05-14,36.75,38.95,36.75,38.95,900.0,0.07448275862068976,1.0
1996-05-15,39.0,39.0,39.0,39.0,350.0,0.0012836970474967568,1.0
1996-05-16,42.0,43.0,40.0,40.0,600.0,0.02564102564102555,1.0
1996-05-17,41.0,41.0,39.05,41.0,700.0,0.02499999999999991,1.0
1996-05-20,41.0,39.9,39.8,39.9,150.0,-0.02682926829268295,1.0
1996-05-21,39.5,39.5,39.25,39.25,100.0,-0.016290726817042578,1.0
1996-05-23,37.5,37.5,36.25,36.25,350.0,-0.07643312101910826,1.0
1996-05-24,37.0,37.0,37.0,37.0,50.0,0.020689655172413834,1.0
1996-05-27,35.0,35.1,35.0,35.1,500.0,-0.05135135135135127,1.0
1996-05-29,37.5,37.5,37.5,37.5,50.0,0.06837606837606836,1.0
1996-05-30,35.25,35.25,35.0,35.1,550.0,-0.06399999999999995,1.0
1996-06-04,35.1,35.05,35.0,35.0,200.0,-0.002849002849002913,1.0
1996-06-05,34.75,34.75,34.75,34.75,50.0,-0.0071428571428571175,1.0
1996-06-06,32.0,34.95,32.0,34.95,400.0,0.0057553956834532904,1.0
1996-06-13,35.5,35.5,35.5,35.5,200.0,0.01573676680972813,1.0
1996-06-18,35.0,35.0,35.0,35.0,100.0,-0.014084507042253502,1.0
1996-06-21,32.75,32.75,32.75,32.75,50.0,-0.06428571428571428,1.0
1996-06-24,32.0,32.0,32.0,32.0,100.0,-0.022900763358778664,1.0
1996-06-25,33.5,34.5,31.75,34.5,1550.0,0.078125,1.0
1996-06-26,35.0,37.5,35.0,36.5,2300.0,0.05797101449275366,1.0
1996-06-27,38.0,38.0,35.0,35.55,1000.0,-0.026027397260274032,1.0
1996-06-28,34.1,34.15,34.1,34.15,800.0,-0.039381153305203864,1.0
1996-07-02,31.25,33.25,30.75,30.75,2800.0,-0.09956076134699854,1.0
