Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,54.5,56.0,54.0,55.5,1550.0,,1.0
1996-01-02,55.5,56.0,54.25,55.75,3850.0,0.0045045045045044585,1.0
1996-01-03,55.75,55.0,55.0,55.0,300.0,-0.013452914798206317,1.0
1996-01-04,55.0,54.0,53.05,54.0,600.0,-0.018181818181818188,1.0
1996-01-05,54.0,54.0,53.0,54.0,4200.0,0.0,1.0
1996-01-08,54.0,54.0,52.0,53.25,3100.0,-0.01388888888888884,1.0
1996-01-09,53.25,53.0,52.95,53.0,1100.0,-0.0046948356807511304,1.0
1996-01-11,53.0,53.5,52.5,53.5,450.0,0.009433962264151052,1.0
1996-01-12,52.25,53.5,52.25,53.5,2250.0,0.0,1.0
1996-01-15,52.5,53.5,52.5,52.75,1250.0,-0.014018691588784993,1.0
1996-01-16,52.0,52.5,51.05,51.35,1700.0,-0.026540284360189514,1.0
1996-01-17,51.0,51.5,51.0,51.25,4100.0,-0.0019474196689386325,1.0
1996-01-18,50.05,50.05,49.5,49.5,2000.0,-0.034146341463414664,1.0
1996-01-19,49.5,49.5,48.0,48.25,350.0,-0.025252525252525304,1.0
1996-01-22,48.5,48.5,48.0,48.0,1550.0,-0.005181347150259086,1.0
1996-01-23,48.0,47.0,43.0,43.0,700.0,-0.10416666666666663,1.0
1996-01-24,45.1,46.95,45.0,46.95,1400.0,0.0918604651162791,1.0
1996-01-25,46.95,45.05,44.0,45.05,550.0,-0.04046858359957417,1.0
1996-01-29,45.05,46.0,45.05,46.0,2300.0,0.021087680355160954,1.0
1996-01-30,47.95,47.95,47.25,47.5,3150.0,0.032608695652173836,1.0
1996-01-31,47.5,48.25,47.5,47.75,1300.0,0.0052631578947368585,1.0
1996-02-01,47.75,50.0,47.0,50.0,5800.0,0.04712041884816753,1.0
1996-02-02,50.0,55.0,49.5,53.5,9550.0,0.07000000000000006,1.0
1996-02-05,53.5,56.0,52.5,54.0,6950.0,0.009345794392523255,1.0
1996-02-06,54.0,55.25,53.5,54.5,4400.0,0.0092592592592593,1.0
1996-02-07,54.5,55.0,53.0,53.35,8100.0,-0.02110091743119269,1.0
1996-02-08,53.35,55.75,53.75,55.6,5300.0,0.04217432052483594,1.0
1996-02-09,57.0,61.0,55.9,59.85,12650.0,0.07643884892086339,1.0
1996-02-12,59.85,64.0,58.0,59.85,15500.0,0.0,1.0
1996-02-13,59.85,59.95,58.0,59.5,3300.0,-0.005847953216374324,1.0
1996-02-14,60.0,64.5,60.0,61.55,17300.0,0.03445378151260492,1.0
1996-02-15,62.0,62.8,61.5,62.5,12250.0,0.015434606011372809,1.0
1996-02-16,62.0,63.0,59.5,60.7,5600.0,-0.028799999999999937,1.0
1996-02-19,60.7,62.0,60.5,61.5,6350.0,0.01317957166392092,1.0
1996-02-20,61.5,62.0,58.6,58.8,8250.0,-0.04390243902439028,1.0
1996-02-22,58.8,60.8,59.0,59.75,6000.0,0.016156462585034115,1.0
1996-02-23,60.05,60.25,57.0,58.75,1050.0,-0.01673640167364021,1.0
1996-02-26,60.5,60.5,57.5,58.5,1400.0,-0.004255319148936176,1.0
1996-02-27,58.5,59.0,56.25,56.5,2850.0,-0.03418803418803418,1.0
1996-02-28,56.5,58.2,56.0,57.5,650.0,0.017699115044247815,1.0
1996-02-29,57.5,54.5,52.5,52.6,2000.0,-0.0852173913043478,1.0
1996-03-01,52.6,54.5,52.0,53.5,9750.0,0.017110266159695797,1.0
1996-03-04,53.5,56.9,53.0,55.1,8900.0,0.029906542056074903,1.0
1996-03-06,55.1,55.0,51.25,53.0,2650.0,-0.038112522686025385,1.0
1996-03-07,53.0,55.0,50.0,52.75,10600.0,-0.004716981132075526,1.0
1996-03-08,51.0,54.0,51.0,52.55,8100.0,-0.0037914691943128354,1.0
1996-03-11,52.55,51.25,50.0,50.35,8600.0,-0.04186489058039955,1.0
1996-03-12,50.35,50.55,49.05,50.55,7600.0,0.003972194637537063,1.0
1996-03-13,50.55,50.75,49.5,50.75,3750.0,0.003956478733926794,1.0
1996-03-14,50.75,51.75,50.5,51.0,7550.0,0.0049261083743843415,1.0
1996-03-15,51.0,51.0,50.0,50.0,13500.0,-0.019607843137254943,1.0
1996-03-18,50.0,51.5,48.55,48.6,8100.0,-0.028000000000000025,1.0
1996-03-19,48.0,49.6,48.0,49.05,11000.0,0.009259259259259078,1.0
1996-03-21,49.05,51.5,49.5,50.45,16050.0,0.02854230377166167,1.0
1996-03-22,50.5,51.0,50.05,50.05,2800.0,-0.007928642220019988,1.0
1996-03-25,50.05,50.0,49.0,49.75,17200.0,-0.005994005994005902,1.0
1996-03-26,50.0,50.0,48.8,48.8,4650.0,-0.019095477386934734,1.0
1996-03-27,48.8,50.0,48.5,49.6,52900.0,0.016393442622950838,1.0
1996-03-28,49.6,51.75,50.0,51.75,13550.0,0.043346774193548265,1.0
1996-03-29,51.75,52.5,50.25,51.2,12900.0,-0.010628019323671412,1.0
1996-04-01,51.2,52.0,51.5,51.95,3450.0,0.0146484375,1.0
1996-04-02,52.5,55.5,51.5,55.35,4950.0,0.0654475457170356,1.0
1996-04-03,55.0,58.0,55.0,57.7,15750.0,0.042457091237579014,1.0
1996-04-04,57.7,56.95,55.75,56.25,5150.0,-0.02512998266897748,1.0
1996-04-08,56.25,57.5,56.0,57.0,8600.0,0.01333333333333342,1.0
1996-04-09,57.0,57.0,56.5,56.95,4700.0,-0.0008771929824561431,1.0
1996-04-10,56.75,57.0,56.5,56.95,2000.0,0.0,1.0
1996-04-11,56.05,57.0,56.0,56.8,5550.0,-0.0026338893766463256,1.0
1996-04-12,56.8,56.5,55.55,56.15,1250.0,-0.011443661971830998,1.0
1996-04-15,56.15,56.4,55.85,56.35,850.0,0.003561887800534347,1.0
1996-04-16,57.5,57.5,56.2,56.25,4000.0,-0.0017746228926353025,1.0
1996-04-17,56.25,58.85,57.0,58.2,3400.0,0.03466666666666662,1.0
1996-04-18,58.2,60.0,58.05,59.25,5300.0,0.018041237113401998,1.0
1996-04-19,59.25,59.0,58.0,58.95,3950.0,-0.005063291139240422,1.0
1996-04-22,55.55,57.0,54.0,57.0,8900.0,-0.0330788804071247,1.0
1996-04-23,57.0,56.5,54.25,55.0,2750.0,-0.03508771929824561,1.0
1996-04-24,57.0,57.5,55.25,57.05,7450.0,0.037272727272727124,1.0
1996-04-25,57.05,58.0,55.05,57.7,2900.0,0.011393514460999121,1.0
