Date,Open,High,Low,Close,Volume,Returns,Anomaly
2017-08-10,,,,,,,
2017-08-11,,,,,,,
2017-08-14,799.0,814.0,780.0,802.85,492782.0,0.04286549327791134,1.0
2017-08-16,792.5,816.0,790.0,812.55,285820.0,0.012081958024537487,1.0
2017-08-17,813.9,829.0,812.0,815.05,227731.0,0.0030767337394621563,1.0
2017-08-18,812.95,812.95,780.25,791.5,82421.0,-0.02889393288755282,1.0
2017-08-21,788.05,794.05,765.1,774.85,58365.0,-0.021036007580543248,1.0
2017-08-22,774.0,791.95,760.0,764.85,66656.0,-0.012905723688455883,1.0
2017-08-23,765.0,785.0,765.0,777.35,64421.0,0.016343073805321406,1.0
2017-08-24,775.9,782.0,763.1,767.25,34809.0,-0.012992860358911673,1.0
2017-08-28,769.9,780.0,768.05,773.05,27944.0,0.007559465623981687,1.0
2017-08-29,771.5,779.0,752.6,755.6,24820.0,-0.022572925425263457,1.0
2017-08-30,764.8,784.0,762.05,778.7,28911.0,0.030571731074642727,1.0
2017-08-31,778.7,787.9,771.05,775.55,24726.0,-0.0040452035443689915,1.0
2017-09-01,771.25,785.0,771.25,780.3,51957.0,0.00612468570691771,1.0
2017-09-04,775.0,790.0,774.1,780.5,46848.0,0.0002563116749969563,1.0
2017-09-05,784.8,786.85,768.0,771.5,34761.0,-0.011531069827034002,1.0
2017-09-06,771.8,784.0,771.0,776.1,93680.0,0.0059624108878808535,1.0
2017-09-07,776.1,781.95,772.6,776.85,26657.0,0.0009663703131039814,1.0
2017-09-08,775.0,795.45,774.0,788.15,91156.0,0.014545922636287623,1.0
2017-09-11,782.0,817.7,782.0,799.7,98123.0,0.014654570830425762,1.0
2017-09-12,795.0,805.05,780.1,783.35,19084.0,-0.020445166937601678,1.0
2017-09-13,786.6,788.15,774.0,779.85,17748.0,-0.004467990042765102,1.0
2017-09-14,787.7,787.7,765.55,770.3,16209.0,-0.012245944732961589,1.0
2017-09-15,766.05,785.0,766.05,780.65,17627.0,0.013436323510320758,1.0
2017-09-18,775.15,793.45,771.0,791.5,31185.0,0.013898674181771709,1.0
2017-09-19,782.05,790.0,777.8,779.25,52117.0,-0.015476942514213499,1.0
2017-09-20,780.0,780.1,766.5,770.65,10854.0,-0.011036252807186453,1.0
2017-09-21,768.0,780.0,768.0,775.05,33585.0,0.0057094660351650894,1.0
2017-09-22,770.5,775.0,765.0,768.0,12248.0,-0.009096187342751971,1.0
2017-09-25,766.0,778.45,753.1,769.45,29926.0,0.0018880208333333925,1.0
2017-09-26,771.85,780.0,759.5,764.1,7917.0,-0.006953018389758925,1.0
2017-09-27,764.15,782.4,764.15,778.95,50122.0,0.019434628975265156,1.0
2017-09-28,776.05,800.0,770.3,795.15,21196.0,0.020797227036394972,1.0
2017-09-29,787.05,803.15,787.05,799.6,37192.0,0.005596428346852811,1.0
2017-10-03,791.0,803.45,775.0,779.55,9376.0,-0.025075037518759502,1.0
2017-10-04,780.2,780.2,775.0,775.1,5999.0,-0.0057084215252388715,1.0
2017-10-05,775.0,780.0,772.1,774.85,13638.0,-0.00032253902722234606,1.0
2017-10-06,775.0,784.9,764.0,769.0,53174.0,-0.007549848357746636,1.0
2017-10-09,766.25,777.5,766.25,773.25,18397.0,0.005526657997399154,1.0
2017-10-10,769.0,792.0,769.0,785.1,21307.0,0.015324927255092158,1.0
2017-10-11,784.0,789.0,780.45,785.15,8017.0,6.368615462992722e-05,1.0
2017-10-12,778.25,796.95,778.25,790.05,52067.0,0.0062408456982741,1.0
2017-10-13,785.1,792.85,785.0,791.35,13833.0,0.0016454654768687238,1.0
2017-10-16,785.25,791.35,781.0,785.05,5598.0,-0.007961079168509633,1.0
2017-10-17,781.05,800.0,775.1,789.1,59048.0,0.005158907075982544,1.0
2017-10-18,780.05,800.0,780.05,787.8,60484.0,-0.0016474464579901982,1.0
2017-10-19,789.0,800.0,783.3,792.25,6726.0,0.005648641787255659,1.0
2017-10-23,781.5,797.9,777.0,781.15,2777.0,-0.01401072893657307,1.0
2017-10-24,783.0,788.0,780.55,785.05,8301.0,0.004992639057799453,1.0
2017-10-25,789.0,789.0,775.0,778.25,5133.0,-0.008661868670785222,1.0
