Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-12-11,33.0,33.0,33.0,33.0,100.0,,1.0
1998-04-23,34.0,34.0,34.0,34.0,100.0,0.030303030303030276,1.0
2008-01-25,82.3,82.3,82.3,82.3,5400.0,1.4205882352941175,1.0
2008-01-28,98.8,98.8,98.8,98.8,1950.0,0.2004860267314703,1.0
2008-01-29,118.6,118.6,118.6,118.6,1600.0,0.2004048582995952,1.0
2008-01-30,142.35,142.35,142.35,142.35,2500.0,0.2002529510961215,1.0
2008-01-31,170.85,170.85,170.85,170.85,1000.0,0.20021074815595363,1.0
2008-02-01,205.05,205.05,205.05,205.05,1350.0,0.20017559262510987,1.0
2008-02-04,246.1,246.1,246.1,246.1,525.0,0.20019507437210438,1.0
2008-02-05,270.75,270.75,270.75,270.75,223.0,0.10016253555465271,1.0
2008-02-06,297.85,297.85,297.85,297.85,3500.0,0.1000923361034165,1.0
2008-02-07,327.65,327.65,327.65,327.65,900.0,0.10005036091992592,1.0
2008-06-13,828.4333333333333,850.0999999999999,821.7666666666667,835.5666666666666,648.3333333333334,0.07055217340935009,1.0
2008-06-16,1329.2166666666667,1372.5499999999997,1315.8833333333332,1343.4833333333333,396.6666666666667,0.04105398589877426,1.0
2008-06-17,1830.0,1895.0,1810.0,1851.4,145.0,0.011555798388198424,1.0
2008-06-18,1850.0,1870.0,1815.0,1827.8,88.0,-0.012747110294912045,1.0
2008-06-19,1855.0,1918.0,1836.0,1853.55,72.0,0.014087974614290344,1.0
2008-06-20,1869.0,1939.0,1761.0,1763.5,205.0,-0.04858244989344773,1.0
2008-06-23,1836.75,1889.25,1739.5,1750.75,174.25,-0.037693264808750376,1.0
2008-06-24,1804.5,1839.5,1718.0,1738.0,143.5,-0.02680407972405302,1.0
2008-06-25,1772.25,1789.75,1696.5,1725.25,112.75,-0.015914894639355665,1.0
2008-06-26,1740.0,1740.0,1675.0,1712.5,82.0,-0.005025709554658309,1.0
2008-06-27,1629.0,1690.0,1627.0,1627.0,202.0,-0.04992700729927002,1.0
2008-06-30,1678.85,1705.0,1550.0,1558.35,264.0,-0.0421942224953904,1.0
2008-07-01,1520.0,1574.0,1480.95,1480.95,214.0,-0.04966791799018189,1.0
2008-07-02,1524.0,1524.0,1406.9,1406.9,64.0,-0.0500016881056079,1.0
2008-07-03,1336.55,1336.55,1336.55,1336.55,987.0,-0.050003553912858156,1.0
2008-07-04,1399.0,1399.0,1269.75,1384.15,1738.0,0.035614081029516464,1.0
2008-07-07,1322.0,1449.0,1322.0,1401.0,55.0,0.012173536105190896,1.0
2008-07-08,1469.9,1469.9,1331.0,1399.25,48.0,-0.0012491077801570771,1.0
2008-07-09,1449.0,1449.0,1449.0,1449.0,21.0,0.03555476147936387,1.0
2008-07-10,1400.0,1470.0,1378.0,1411.55,29.0,-0.025845410628019372,1.0
2008-07-11,1350.0,1425.0,1345.0,1382.7,56.0,-0.020438525025680887,1.0
2008-07-14,1317.0,1354.0,1314.0,1314.0,47.0,-0.04968539813408557,1.0
2008-07-15,1251.0,1296.0,1249.0,1291.75,76.0,-0.01693302891933024,1.0
2008-07-16,1231.0,1231.15,1228.0,1228.0,10.0,-0.0493516547319528,1.0
2008-07-17,1260.0,1289.0,1260.0,1288.95,146.0,0.04963355048859941,1.0
2008-07-18,1301.8,1353.4,1301.8,1350.15,291.0,0.04748050738973597,1.0
2008-07-21,1352.0,1417.0,1350.0,1409.85,123.0,0.044217309187867926,1.0
2008-07-22,1346.0,1467.9,1346.0,1460.0,43.0,0.03557116005248795,1.0
2008-07-23,1403.0,1533.0,1394.0,1533.0,183.0,0.050000000000000044,1.0
2008-07-24,1599.0,1608.0,1599.0,1603.45,34.0,0.04595564253098505,1.0
2008-07-25,1531.0,1650.0,1531.0,1557.9,198.0,-0.028407496336025462,1.0
2008-07-28,1600.0,1600.0,1598.0,1598.1,21.0,0.02580396687849018,1.0
2008-07-29,1590.0,1590.0,1555.0,1555.0,14.0,-0.02696952631249605,1.0
2008-07-30,1620.0,1620.0,1556.0,1556.0,11.0,0.0006430868167202064,1.0
2008-07-31,1630.0,1630.0,1551.0,1624.0,108.0,0.04370179948586128,1.0
2008-08-01,1690.0,1704.9,1650.0,1658.35,100.0,0.021151477832512366,1.0
2008-08-04,1601.0,1685.0,1585.0,1605.6,100.0,-0.03180872554044678,1.0
2008-08-06,1570.0,1570.0,1550.5,1550.5,55.0,-0.03431738913801685,1.0
2008-08-07,1600.0,1600.0,1585.0,1585.0,218.0,0.022250886810706305,1.0
2008-08-08,1518.0,1590.0,1505.75,1590.0,47.0,0.003154574132492094,1.0
2008-08-11,1515.0,1515.0,1511.0,1513.0,77.0,-0.04842767295597483,1.0
2008-08-12,1570.0,1570.0,1440.0,1499.45,117.0,-0.008955717118308004,1.0
2008-08-13,1432.0,1509.0,1424.5,1461.7,224.0,-0.02517589782920404,1.0
2008-08-14,1400.0,1425.0,1390.0,1390.0,35.0,-0.04905247314770478,1.0
2008-08-19,1459.0,1459.0,1425.0,1425.0,61.0,0.02517985611510798,1.0
2008-08-20,1495.0,1496.0,1440.0,1491.85,164.0,0.04691228070175435,1.0
2008-08-21,1550.0,1566.45,1520.0,1565.85,329.0,0.04960284210879107,1.0
2008-08-22,1644.0,1644.0,1565.0,1636.65,327.0,0.045215058913689266,1.0
2008-08-25,1575.0,1620.0,1554.85,1554.85,189.0,-0.0499801423639753,1.0
2008-08-26,1619.0,1619.0,1570.0,1570.0,2.0,0.009743705180564,1.0
2008-08-27,1550.0,1550.0,1510.0,1524.7,24.0,-0.02885350318471336,1.0
2008-08-28,1503.0,1503.0,1448.5,1448.5,230.0,-0.04997704466452424,1.0
2008-08-29,1497.0,1497.0,1448.0,1450.0,7.0,0.0010355540214015413,1.0
2008-09-01,1450.0,1450.0,1390.45,1450.0,27.0,0.0,1.0
2008-09-04,1520.0,1522.0,1421.0,1441.7,33.0,-0.005724137931034434,1.0
2008-09-05,1500.0,1500.0,1500.0,1500.0,5.0,0.040438371367135906,1.0
2008-09-08,1614.0,1614.0,1520.0,1523.0,471.0,0.015333333333333421,1.0
2008-09-09,1575.0,1640.0,1575.0,1598.1,235.0,0.0493105712409716,1.0
2008-09-10,1625.0,1628.5,1590.0,1591.0,108.0,-0.004442775796257958,1.0
2008-09-11,1491.0,1605.0,1480.0,1591.65,70.0,0.00040854808296675316,1.0
2008-09-12,1473.0,1623.0,1473.0,1623.0,73.0,0.019696541325040062,1.0
2008-09-15,1473.0,1555.0,1473.0,1542.65,123.0,-0.0495070856438693,1.0
2008-09-17,1473.0,1473.0,1389.0,1396.8,150.0,-0.09454510096262936,1.0
2008-09-18,1301.0,1345.0,1257.15,1316.35,27.0,-0.057595933562428425,1.0
2008-09-19,1430.0,1430.0,1300.0,1347.7,57.0,0.02381585444600609,1.0
2008-09-22,1470.0,1470.0,1232.0,1405.0,159.0,0.04251688061141201,1.0
2008-09-23,1300.0,1325.0,1280.0,1291.9,471.0,-0.08049822064056933,1.0
2008-09-24,1173.0,1320.0,1163.0,1306.95,664.0,0.011649508475888082,1.0
2008-09-25,1349.0,1349.0,1201.0,1282.05,323.0,-0.019051991277401648,1.0
2008-09-26,1300.0,1385.0,1190.0,1222.5,435.0,-0.04644904644904646,1.0
2008-09-29,1200.0,1200.0,1126.0,1150.0,40.0,-0.059304703476482645,1.0
2008-09-30,1035.0,1088.9,1035.0,1035.0,89.0,-0.09999999999999998,1.0
2008-10-01,933.0,1080.0,931.5,951.0,38.0,-0.08115942028985512,1.0
2008-10-03,989.7,990.0,947.0,947.0,55.0,-0.004206098843322792,1.0
2008-10-06,900.0,960.0,900.0,948.0,18.0,0.001055966209081216,1.0
