Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,26.5,26.5,26.5,26.5,300.0,,1.0
1996-01-02,27.5,27.5,27.5,27.5,100.0,0.037735849056603765,1.0
1996-01-03,27.5,27.25,26.0,26.0,1250.0,-0.054545454545454564,1.0
1996-01-04,26.5,26.5,26.5,26.5,100.0,0.019230769230769162,1.0
1996-01-05,27.0,27.0,27.0,27.0,100.0,0.018867924528301883,1.0
1996-01-08,26.5,26.5,26.5,26.5,300.0,-0.01851851851851849,1.0
1996-01-09,26.0,26.8,26.0,26.5,700.0,0.0,1.0
1996-01-10,27.75,27.75,26.0,26.0,300.0,-0.018867924528301883,1.0
1996-01-11,26.1,26.75,26.1,26.75,200.0,0.028846153846153744,1.0
1996-01-12,26.5,26.5,26.05,26.05,300.0,-0.0261682242990654,1.0
1996-01-15,26.25,26.25,26.25,26.25,200.0,0.007677543186180413,1.0
1996-01-16,25.0,25.0,25.0,25.0,100.0,-0.04761904761904767,1.0
1996-01-17,25.0,25.0,25.0,25.0,500.0,0.0,1.0
1996-01-18,25.0,25.0,25.0,25.0,400.0,0.0,1.0
1996-01-19,23.5,23.5,23.5,23.5,200.0,-0.06000000000000005,1.0
1996-01-22,22.75,22.75,22.5,22.5,650.0,-0.04255319148936165,1.0
1996-01-23,22.05,22.5,22.05,22.5,150.0,0.0,1.0
1996-01-29,21.1,21.1,21.1,21.1,100.0,-0.06222222222222218,1.0
1996-01-30,20.05,22.0,20.05,22.0,250.0,0.04265402843601884,1.0
1996-01-31,22.0,23.2,22.0,22.5,450.0,0.022727272727272707,1.0
1996-02-01,21.0,23.0,21.0,23.0,150.0,0.022222222222222143,1.0
1996-02-05,22.5,25.3,22.5,25.3,450.0,0.10000000000000009,1.0
1996-02-06,24.05,24.05,24.0,24.0,500.0,-0.0513833992094862,1.0
1996-02-07,22.5,22.5,22.5,22.5,100.0,-0.0625,1.0
1996-02-08,21.5,21.5,21.1,21.1,2000.0,-0.06222222222222218,1.0
1996-02-09,22.0,22.0,22.0,22.0,200.0,0.04265402843601884,1.0
1996-02-12,22.0,24.35,23.0,24.3,3800.0,0.1045454545454545,1.0
1996-02-13,25.0,25.0,23.0,25.0,3200.0,0.028806584362139898,1.0
1996-02-14,25.0,27.0,23.3,24.95,3100.0,-0.0020000000000000018,1.0
1996-02-15,25.0,27.25,24.3,27.15,4100.0,0.08817635270541069,1.0
