Date,Open,High,Low,Close,Volume,Returns,Anomaly
2006-04-03,,,,,,,
2006-04-04,,,,,,,
2006-04-05,,,,,,,
2006-04-07,,,,,,,
2006-04-10,,,,,,,
2006-04-12,255.25,255.25,236.25,238.95,242735.0,-0.06385896180215478,1.0
2006-04-13,246.125,250.525,236.125,239.075,211274.5,-0.02536446607685039,1.0
2006-04-17,237.0,245.8,236.0,239.2,179814.0,0.013130029648454,1.0
2006-04-18,241.0,243.5,237.55,238.2,159133.0,-0.004180602006689016,1.0
2006-04-19,237.9,250.5,237.9,240.95,163526.0,0.011544920235096567,1.0
2006-04-20,245.0,245.0,238.05,240.05,64631.0,-0.0037352147748495046,1.0
2006-04-21,248.41666666666666,249.66666666666666,239.04166666666669,244.525,66714.16666666667,-0.009044627187412242,1.0
2006-04-24,251.83333333333334,254.33333333333334,240.03333333333333,249.0,68797.33333333333,-0.01435403959997498,1.0
2006-04-25,255.25,259.0,241.025,253.475,70880.5,-0.01966345201253772,1.0
2006-04-26,258.6666666666667,263.6666666666667,242.01666666666668,257.95,72963.66666666667,-0.024972864425100456,1.0
2006-04-27,262.0833333333333,268.3333333333333,243.00833333333333,262.42499999999995,75046.83333333333,-0.030282276837663193,1.0
2006-04-28,265.5,273.0,244.0,266.9,77130.0,-0.03559168925022593,1.0
2006-04-29,269.9,283.0,269.9,274.05,51425.0,0.02678905957287392,1.0
2006-05-02,274.0,284.95,271.0,276.55,60889.0,0.009122422915526451,1.0
2006-05-03,278.0,290.0,270.5,275.15,109811.0,-0.005062375700596755,1.0
2006-05-04,276.0,278.7,261.55,263.8,56754.0,-0.041250227148827756,1.0
2006-05-05,263.8,271.0,255.15,258.7,53811.0,-0.0193328278999243,1.0
2006-05-08,259.0,260.0,242.1,244.5,136215.0,-0.05488983378430612,1.0
2006-05-09,255.0,255.0,246.2,250.15,57675.0,0.023108384458077724,1.0
2006-05-10,253.9,253.9,243.15,247.55,38788.0,-0.010393763741754936,1.0
2006-05-11,248.0,249.5,243.5,244.9,13765.0,-0.010704908099373855,1.0
2006-05-12,242.8,249.7,242.7,243.55,14029.0,-0.00551245406288281,1.0
2006-05-15,244.0,249.0,234.0,238.2,40963.0,-0.02196674194210646,1.0
2006-05-16,240.25,244.0,224.0,228.4,127855.0,-0.04114189756507125,1.0
2006-05-17,235.0,242.0,230.5,235.35,25468.0,0.030429071803852903,1.0
2006-05-18,235.9,236.5,226.05,231.9,65806.0,-0.014659018483110242,1.0
2006-05-19,232.1,239.95,205.0,211.15,50371.0,-0.08947822337214317,1.0
2006-05-22,207.0,210.0,170.0,186.2,25867.0,-0.11816244376036,1.0
2006-05-23,175.1,210.0,175.1,205.0,27782.0,0.10096670247046191,1.0
2006-05-24,210.0,221.8,197.5,211.25,36960.0,0.030487804878048808,1.0
2006-05-25,206.0,210.0,206.0,206.05,12547.0,-0.024615384615384595,1.0
2006-05-26,207.15,220.0,207.0,214.3,16498.0,0.040038825527784594,1.0
2006-05-29,218.95,219.9,205.15,211.65,16086.0,-0.012365842277181516,1.0
2006-05-30,219.0,222.0,204.05,205.4,29183.0,-0.029529884242853743,1.0
2006-05-31,202.0,202.0,190.0,196.5,19152.0,-0.04333008763388513,1.0
2006-06-01,204.0,207.0,181.1,187.05,16198.0,-0.04809160305343507,1.0
2006-06-02,184.0,187.85,174.0,183.5,14285.0,-0.01897888265169745,1.0
2006-06-05,185.5,186.0,178.0,180.7,10468.0,-0.015258855585831177,1.0
