Date,Open,High,Low,Close,Volume,Returns,Anomaly
2016-07-18,49.0,49.0,45.0,46.2,4158.0,,1.0
2016-07-19,47.0,47.0,45.1,45.15,299.0,-0.022727272727272818,1.0
2016-07-20,46.85,46.85,45.0,45.0,360.0,-0.0033222591362126463,1.0
2016-07-21,45.0,46.0,45.0,46.0,147.0,0.022222222222222143,1.0
2016-07-22,45.0,46.0,45.0,45.2,4207.0,-0.017391304347825987,1.0
2016-07-25,47.0,47.0,45.1,46.35,1016.0,0.025442477876106206,1.0
2016-07-27,46.0,46.0,40.1,45.0,1900.0,-0.029126213592232997,1.0
2016-07-28,43.5,47.2,43.5,47.2,2648.0,0.04888888888888898,1.0
2016-07-29,54.95,54.95,44.15,44.65,2291.0,-0.05402542372881369,1.0
2016-08-01,43.15,46.8,43.15,46.8,1554.0,0.04815229563269874,1.0
2016-08-02,46.0,46.0,44.5,44.5,1100.0,-0.04914529914529908,1.0
2016-08-03,44.55,45.5,43.95,43.95,6197.0,-0.012359550561797716,1.0
2016-08-04,44.2,44.2,44.2,44.2,500.0,0.005688282138794021,1.0
2016-08-09,45.0,47.4,43.7,46.95,13632.0,0.06221719457013575,1.0
2016-08-10,47.8,47.8,44.0,44.95,4627.0,-0.04259850905218321,1.0
2016-08-11,45.0,45.0,43.6,43.6,1040.0,-0.030033370411568394,1.0
2016-08-12,47.0,47.0,46.9,46.9,15.0,0.07568807339449535,1.0
2016-08-16,45.45,45.5,43.45,45.25,5062.0,-0.03518123667377393,1.0
2016-08-17,44.0,45.0,43.4,43.6,168.0,-0.03646408839779003,1.0
2016-08-18,47.0,47.0,46.85,46.85,103.0,0.0745412844036697,1.0
2016-08-19,47.0,47.75,43.4,46.45,3360.0,-0.008537886872998945,1.0
2016-08-23,44.95,46.0,44.3,44.3,15951.0,-0.046286329386437175,1.0
2016-08-24,47.6,47.6,43.5,44.5,559.0,0.004514672686230403,1.0
2016-08-25,45.5,45.5,44.15,44.15,341.0,-0.00786516853932584,1.0
2016-08-26,43.0,43.95,42.25,42.55,229.0,-0.03624009060022648,1.0
2016-08-29,41.1,41.95,40.0,41.3,7690.0,-0.029377203290246734,1.0
2016-08-30,42.5,42.5,42.5,42.5,10.0,0.029055690072639306,1.0
2016-08-31,42.35,42.4,42.35,42.4,42.0,-0.0023529411764706687,1.0
2016-09-01,40.05,40.05,40.05,40.05,200.0,-0.05542452830188682,1.0
2016-09-06,40.15,40.15,40.05,40.1,2096.0,0.0012484394506866447,1.0
2016-09-07,44.45,46.45,40.2,40.6,4563.0,0.012468827930174564,1.0
2016-09-08,41.7,41.7,40.2,40.3,503.0,-0.007389162561576512,1.0
2016-09-09,40.1,41.55,40.1,41.4,390.0,0.027295285359801635,1.0
2016-09-12,40.5,43.0,37.1,40.0,2851.0,-0.033816425120772875,1.0
2016-09-14,40.0,43.85,38.6,39.5,8155.0,-0.012499999999999956,1.0
2016-09-15,40.1,43.6,39.95,40.1,4910.0,0.0151898734177216,1.0
2016-09-16,40.25,43.0,39.55,40.05,4100.0,-0.0012468827930175452,1.0
2016-09-20,43.85,43.85,39.5,39.5,1542.0,-0.013732833957552981,1.0
2016-09-21,39.15,43.8,39.15,41.1,7521.0,0.040506329113924044,1.0
2016-09-22,45.0,45.0,38.55,39.1,1887.0,-0.048661800486618056,1.0
2016-09-23,39.1,42.85,39.0,40.05,487.0,0.024296675191815664,1.0
2016-09-26,40.9,40.9,38.0,38.95,1937.0,-0.027465667915105962,1.0
2016-09-27,38.1,38.2,38.0,38.0,550.0,-0.024390243902439046,1.0
2016-09-28,38.0,39.0,38.0,38.95,1449.0,0.025000000000000133,1.0
2016-09-29,39.8,44.0,31.9,36.05,19726.0,-0.074454428754814,1.0
2016-09-30,36.05,37.95,36.05,37.5,6913.0,0.04022191400832176,1.0
2016-10-03,39.95,39.95,36.85,39.0,2541.0,0.040000000000000036,1.0
2016-10-04,39.9,39.9,39.9,39.9,1000.0,0.023076923076922995,1.0
2016-10-05,39.95,40.0,38.15,38.85,6017.0,-0.02631578947368418,1.0
2016-10-06,40.0,40.6,39.15,39.9,15764.0,0.027027027027026973,1.0
2016-10-07,40.95,40.95,39.5,40.6,315.0,0.01754385964912286,1.0
2016-10-10,39.1,40.95,39.1,40.5,3610.0,-0.0024630541871921707,1.0
2016-10-13,38.55,40.9,36.1,38.9,6826.0,-0.03950617283950619,1.0
2016-10-14,41.95,41.95,39.9,39.9,6800.0,0.02570694087403602,1.0
2016-10-17,39.0,40.45,38.35,38.55,307.0,-0.03383458646616544,1.0
2016-10-18,38.5,40.5,38.5,40.4,738.0,0.0479896238651103,1.0
2016-10-19,40.0,44.0,39.35,40.25,4602.0,-0.003712871287128716,1.0
2016-10-20,40.5,40.5,39.5,40.5,7668.0,0.006211180124223503,1.0
2016-10-21,40.0,40.0,39.75,39.75,1598.0,-0.01851851851851849,1.0
2016-10-24,40.25,41.05,40.25,40.95,3300.0,0.030188679245283012,1.0
2016-10-25,43.95,43.95,40.05,41.8,20359.0,0.020757020757020683,1.0
2016-10-26,41.0,41.8,40.55,40.6,12060.0,-0.028708133971291794,1.0
2016-10-27,41.95,42.0,40.0,41.2,2519.0,0.014778325123152802,1.0
2016-10-28,41.8,41.8,40.4,41.0,236.0,-0.004854368932038944,1.0
2016-10-30,41.0,43.85,40.55,42.3,1300.0,0.03170731707317076,1.0
2016-11-01,41.8,45.25,41.8,43.15,9250.0,0.02009456264775422,1.0
2016-11-02,43.95,43.95,41.2,41.8,4075.0,-0.03128621089223638,1.0
2016-11-04,41.25,43.2,40.05,40.25,11852.0,-0.037081339712918604,1.0
2016-11-07,40.9,40.9,40.9,40.9,50.0,0.01614906832298124,1.0
2016-11-08,42.75,42.8,41.1,41.1,1248.0,0.004889975550122383,1.0
2016-11-09,38.6,40.0,38.6,40.0,891.0,-0.02676399026763998,1.0
2016-11-10,40.15,42.8,40.15,40.4,2598.0,0.010000000000000009,1.0
2016-11-11,40.0,40.1,40.0,40.1,1500.0,-0.007425742574257321,1.0
2016-11-15,39.1,43.85,37.55,37.7,6402.0,-0.05985037406483784,1.0
2016-11-16,37.3,41.8,37.3,37.55,496.0,-0.003978779840848934,1.0
2016-11-17,39.95,39.95,37.35,37.35,4980.0,-0.005326231691078487,1.0
2016-11-21,37.0,37.0,36.5,36.5,250.0,-0.022757697456492698,1.0
2016-11-22,35.5,42.95,35.5,37.05,4300.0,0.015068493150684814,1.0
2016-11-24,36.0,42.0,35.6,36.4,4404.0,-0.01754385964912275,1.0
2016-11-25,36.25,42.0,36.25,40.9,14280.0,0.12362637362637363,1.0
2016-11-28,41.5,49.05,41.5,45.7,222806.0,0.11735941320293408,1.0
2016-11-29,45.7,51.0,45.3,49.9,115615.0,0.09190371991247259,1.0
2016-11-30,52.0,53.0,47.5,48.0,43361.0,-0.038076152304609145,1.0
2016-12-01,48.75,54.8,47.5,48.15,41376.0,0.0031250000000000444,1.0
2016-12-02,47.5,51.55,45.1,50.45,33158.0,0.047767393561786164,1.0
2016-12-05,50.45,60.5,48.85,59.75,80957.0,0.18434093161546072,1.0
2016-12-06,64.9,66.9,55.0,57.35,96128.0,-0.04016736401673637,1.0
2016-12-07,58.3,60.25,48.7,54.8,30206.0,-0.04446381865736715,1.0
2016-12-08,57.0,57.0,54.1,55.65,12324.0,0.015510948905109512,1.0
2016-12-09,56.0,58.45,54.2,56.6,17168.0,0.017070979335130243,1.0
2016-12-12,58.55,60.8,56.5,57.2,38995.0,0.010600706713780994,1.0
2016-12-13,58.8,60.0,57.1,57.45,8419.0,0.004370629370629375,1.0
2016-12-14,57.7,59.25,54.5,55.55,7841.0,-0.0330722367275893,1.0
2016-12-15,57.7,57.75,55.1,55.8,7636.0,0.004500450045004545,1.0
2016-12-16,55.95,57.35,54.5,55.1,3834.0,-0.012544802867383464,1.0
2016-12-19,55.0,55.0,51.6,52.3,3798.0,-0.05081669691470059,1.0
2016-12-20,53.95,54.85,51.1,53.3,4107.0,0.019120458891013437,1.0
2016-12-21,55.225,55.675,52.075,53.7,15352.0,-0.017123935033933335,1.0
2016-12-22,56.5,56.5,53.05,54.1,26597.0,-0.05336832895888011,1.0
2016-12-23,54.5,54.5,48.5,51.55,50774.0,-0.0471349353049908,1.0
2016-12-26,52.0,52.0,47.1,48.65,15658.0,-0.0562560620756547,1.0
2016-12-27,48.1,56.0,45.75,46.7,108213.0,-0.04008221993833494,1.0
2016-12-28,47.85,49.8,47.7,48.1,17505.0,0.02997858672376874,1.0
2016-12-29,47.25,50.0,47.25,48.95,11892.0,0.017671517671517645,1.0
2016-12-30,49.0,50.8,48.55,49.05,2229.0,0.002042900919305257,1.0
2017-01-02,50.95,53.4,50.0,53.05,8319.0,0.08154943934760439,1.0
2017-01-03,55.8,55.8,53.0,53.85,11520.0,0.015080113100848447,1.0
2017-01-04,52.0,54.4,51.7,53.5,9639.0,-0.006499535747446661,1.0
