Date,Open,High,Low,Close,Volume,Returns,Anomaly
1999-07-28,404.9,404.95,382.0,388.95,6500.0,,1.0
1999-07-29,395.0,399.5,391.0,394.15,9200.0,0.013369327677079212,1.0
1999-07-30,397.0,398.0,384.2,391.35,11100.0,-0.007103894456425119,1.0
1999-08-02,397.95,422.7,390.5,422.7,36400.0,0.08010732081257177,1.0
1999-08-03,428.0,456.55,421.0,456.25,65700.0,0.07937071208895197,1.0
1999-08-04,475.0,492.75,474.0,492.55,59300.0,0.07956164383561637,1.0
1999-08-05,515.0,516.9,453.15,453.15,37700.0,-0.07999187899705618,1.0
1999-08-06,475.0,475.0,452.5,467.7,23500.0,0.03210857332009276,1.0
1999-08-09,468.0,494.95,468.0,491.1,39200.0,0.05003207184092373,1.0
1999-08-10,484.0,500.0,472.0,493.2,31700.0,0.004276114844227186,1.0
1999-08-11,488.0,491.0,471.0,485.45,12600.0,-0.015713706407137096,1.0
1999-08-12,490.0,490.9,478.25,480.8,3100.0,-0.009578741373982846,1.0
1999-08-13,482.0,482.0,465.0,471.3,8200.0,-0.019758735440931763,1.0
1999-08-16,482.0,486.9,475.0,480.25,8400.0,0.018990027583280167,1.0
1999-08-17,480.0,481.95,460.0,465.7,10500.0,-0.030296720458094728,1.0
1999-08-18,487.75,489.0,476.5,478.95,8300.0,0.028451792999785175,1.0
1999-08-19,453.0,480.0,453.0,477.25,9300.0,-0.0035494310470821633,1.0
1999-08-20,480.0,481.5,472.1,475.85,5200.0,-0.0029334730225247796,1.0
1999-08-23,483.0,493.0,476.1,482.0,9400.0,0.01292424083219501,1.0
1999-08-24,484.0,484.0,475.0,477.8,8200.0,-0.00871369294605806,1.0
1999-08-25,491.0,491.0,470.0,470.0,5900.0,-0.016324822101297598,1.0
1999-08-26,482.9,500.0,478.0,498.3,13100.0,0.060212765957446734,1.0
1999-08-27,497.05,499.0,476.5,478.85,5900.0,-0.03903271121814167,1.0
1999-08-30,471.0,480.0,468.0,475.6,4800.0,-0.006787094079565681,1.0
1999-08-31,471.0,474.0,441.05,444.3,7000.0,-0.06581160639192596,1.0
1999-09-01,446.0,455.0,443.0,445.85,4300.0,0.0034886338059869626,1.0
1999-09-02,444.0,444.0,431.0,436.0,2100.0,-0.022092632051138317,1.0
1999-09-03,409.0,448.5,409.0,431.95,3000.0,-0.009288990825688126,1.0
1999-09-06,444.9,453.0,438.05,445.15,33300.0,0.030559092487556505,1.0
1999-09-07,441.0,460.0,441.0,456.75,11500.0,0.026058631921824116,1.0
1999-09-08,470.0,485.0,468.0,483.7,6400.0,0.05900383141762444,1.0
1999-09-09,492.0,492.0,468.05,474.0,3500.0,-0.02005375232582174,1.0
1999-09-10,480.0,496.0,480.0,495.3,19100.0,0.04493670886075951,1.0
1999-09-14,497.0,534.95,495.25,534.95,19000.0,0.08005249343832022,1.0
1999-09-15,559.0,577.75,544.05,577.75,32900.0,0.08000747733433022,1.0
1999-09-16,571.0,587.0,535.05,560.05,34200.0,-0.03063608827347475,1.0
1999-09-17,548.0,604.85,540.0,604.85,30200.0,0.07999285778055554,1.0
1999-09-20,618.0,653.25,611.0,637.35,31600.0,0.05373233032983382,1.0
1999-09-21,648.0,670.0,639.0,647.4,24400.0,0.015768416097905247,1.0
1999-09-22,640.0,699.0,640.0,692.8,56100.0,0.07012666048810634,1.0
1999-09-23,680.0,709.9,668.0,672.75,23700.0,-0.02894053117782902,1.0
1999-09-24,665.0,690.0,665.0,685.05,11300.0,0.01828316610925307,1.0
1999-09-27,685.0,690.0,658.0,665.0,17700.0,-0.029267936646960035,1.0
1999-09-28,663.0,664.0,620.05,633.7,22600.0,-0.04706766917293226,1.0
1999-09-29,648.0,680.0,644.0,672.0,9500.0,0.060438693388038534,1.0
1999-09-30,675.0,685.0,650.0,651.0,8200.0,-0.03125,1.0
1999-10-01,664.95,664.95,645.25,664.0,5300.0,0.019969278033794113,1.0
1999-10-04,671.0,685.0,655.05,678.95,15600.0,0.022515060240963836,1.0
1999-10-05,674.95,733.3,661.3,733.3,14200.0,0.08005007732528147,1.0
