Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-02,71.0,71.95,70.0,71.95,500.0,,1.0
1996-01-03,71.5,71.5,71.5,71.5,200.0,-0.006254343293954134,1.0
1996-01-04,71.0,71.0,70.0,70.0,300.0,-0.020979020979020935,1.0
1996-01-08,69.0,69.0,65.0,65.0,200.0,-0.0714285714285714,1.0
1996-01-09,65.0,65.0,63.0,64.5,400.0,-0.007692307692307665,1.0
1996-01-11,64.0,65.0,64.0,65.0,200.0,0.007751937984496138,1.0
1996-01-12,65.0,64.0,63.0,64.0,200.0,-0.01538461538461533,1.0
1996-01-15,68.0,68.0,68.0,68.0,100.0,0.0625,1.0
1996-01-16,68.0,68.0,65.0,65.0,500.0,-0.044117647058823484,1.0
1996-01-17,65.0,63.0,62.0,62.0,400.0,-0.0461538461538461,1.0
1996-01-18,60.0,60.0,60.0,60.0,100.0,-0.032258064516129004,1.0
1996-01-19,61.0,61.1,60.5,60.6,700.0,0.010000000000000009,1.0
1996-01-22,57.85,61.95,57.8,59.5,900.0,-0.018151815181518205,1.0
1996-01-23,57.5,62.0,57.5,59.5,800.0,0.0,1.0
1996-01-24,59.5,57.0,55.15,57.0,200.0,-0.04201680672268904,1.0
1996-01-25,56.75,57.5,55.05,57.0,1000.0,0.0,1.0
1996-01-29,54.25,54.5,54.0,54.5,400.0,-0.04385964912280704,1.0
1996-01-30,56.0,56.0,55.25,56.0,400.0,0.02752293577981657,1.0
1996-01-31,61.0,61.5,57.8,59.95,500.0,0.07053571428571437,1.0
1996-02-01,60.0,62.0,60.0,62.0,500.0,0.034195162635529464,1.0
1996-02-02,62.0,70.0,68.2,70.0,300.0,0.12903225806451624,1.0
1996-02-06,73.3,73.3,73.0,73.0,700.0,0.04285714285714293,1.0
1996-02-07,71.5,71.5,68.0,68.0,600.0,-0.06849315068493156,1.0
1996-02-08,68.0,68.0,67.95,68.0,1400.0,0.0,1.0
1996-02-09,69.0,71.95,69.0,69.0,700.0,0.014705882352941124,1.0
1996-02-12,72.0,72.0,71.1,71.1,700.0,0.030434782608695476,1.0
1996-02-13,72.95,72.95,69.75,70.0,900.0,-0.015471167369901506,1.0
1996-02-14,70.0,75.0,72.0,73.0,500.0,0.04285714285714293,1.0
1996-02-15,72.0,74.0,71.0,73.0,800.0,0.0,1.0
1996-02-16,72.05,73.0,71.5,72.0,900.0,-0.013698630136986356,1.0
1996-02-19,72.0,70.0,69.5,70.0,500.0,-0.02777777777777779,1.0
1996-02-20,70.0,70.0,67.25,69.0,500.0,-0.014285714285714235,1.0
1996-02-22,69.0,71.5,67.5,71.0,600.0,0.02898550724637672,1.0
1996-02-23,71.0,70.45,70.0,70.0,400.0,-0.014084507042253502,1.0
1996-02-26,68.1,70.0,68.1,70.0,2100.0,0.0,1.0
1996-02-27,68.0,69.4,68.0,69.4,600.0,-0.008571428571428452,1.0
1996-02-28,68.0,68.0,68.0,68.0,100.0,-0.02017291066282434,1.0
1996-02-29,68.0,68.0,68.0,68.0,300.0,0.0,1.0
1996-03-01,62.5,63.5,62.5,63.0,300.0,-0.07352941176470584,1.0
1996-03-04,60.8,62.5,60.8,62.5,300.0,-0.007936507936507908,1.0
1996-03-06,63.0,63.5,63.0,63.5,200.0,0.016000000000000014,1.0
1996-03-07,64.0,64.0,64.0,64.0,200.0,0.007874015748031482,1.0
1996-03-08,64.0,65.0,63.95,65.0,900.0,0.015625,1.0
1996-03-11,62.75,62.75,62.75,62.75,100.0,-0.0346153846153846,1.0
1996-03-13,61.05,62.5,61.05,62.5,300.0,-0.003984063745019917,1.0
1996-03-14,62.15,62.5,61.6,62.5,500.0,0.0,1.0
1996-03-15,61.75,63.0,61.75,63.0,500.0,0.008000000000000007,1.0
1996-03-18,62.5,62.5,62.5,62.5,500.0,-0.007936507936507908,1.0
1996-03-19,62.0,62.0,57.0,57.5,400.0,-0.07999999999999996,1.0
1996-03-21,57.5,63.0,58.0,60.25,400.0,0.047826086956521685,1.0
1996-03-22,60.25,60.0,59.0,60.0,300.0,-0.004149377593360981,1.0
1996-03-25,60.0,59.75,57.5,58.15,500.0,-0.03083333333333338,1.0
1996-03-26,58.15,59.0,53.5,54.6,1200.0,-0.06104901117798789,1.0
1996-03-27,54.6,58.0,55.0,55.55,1500.0,0.017399267399267337,1.0
1996-03-28,55.55,57.15,56.0,56.05,600.0,0.00900090009000909,1.0
1996-03-29,56.05,58.45,57.0,58.45,1600.0,0.04281891168599472,1.0
1996-04-01,58.45,59.0,58.0,59.0,1100.0,0.009409751924722043,1.0
1996-04-02,59.0,58.5,57.25,58.5,600.0,-0.008474576271186418,1.0
1996-04-03,58.5,59.0,59.0,59.0,100.0,0.008547008547008517,1.0
1996-04-04,59.0,63.0,59.0,61.95,500.0,0.050000000000000044,1.0
1996-04-08,63.0,65.75,61.6,61.65,500.0,-0.004842615012106588,1.0
1996-04-09,61.65,65.0,59.0,64.25,1400.0,0.0421735604217357,1.0
1996-04-10,64.25,62.5,62.25,62.25,300.0,-0.0311284046692607,1.0
1996-04-11,62.0,62.75,62.0,62.5,700.0,0.004016064257028162,1.0
1996-04-12,62.5,63.0,62.05,63.0,500.0,0.008000000000000007,1.0
1996-04-15,63.0,61.25,61.25,61.25,200.0,-0.02777777777777779,1.0
1996-04-16,61.25,62.5,62.0,62.5,500.0,0.020408163265306145,1.0
1996-04-17,62.5,68.5,62.0,67.25,900.0,0.07600000000000007,1.0
1996-04-18,67.25,68.0,67.0,67.0,500.0,-0.0037174721189591198,1.0
1996-04-19,70.0,72.5,67.3,69.4,2100.0,0.03582089552238821,1.0
1996-04-22,71.0,71.0,69.0,69.0,600.0,-0.0057636887608070175,1.0
1996-04-23,66.0,66.5,65.0,65.0,800.0,-0.05797101449275366,1.0
1996-04-24,65.0,66.0,65.15,66.0,600.0,0.01538461538461533,1.0
1996-04-25,66.0,67.1,65.05,65.05,800.0,-0.014393939393939403,1.0
1996-04-26,65.05,66.0,64.5,66.0,400.0,0.01460415065334364,1.0
1996-04-29,66.0,63.25,63.25,63.25,100.0,-0.04166666666666663,1.0
1996-04-30,63.0,64.0,62.0,62.0,600.0,-0.01976284584980237,1.0
1996-05-01,62.0,63.3,63.0,63.0,1700.0,0.016129032258064502,1.0
1996-05-02,63.0,63.35,63.3,63.35,200.0,0.005555555555555536,1.0
1996-05-03,63.35,64.0,64.0,64.0,500.0,0.010260457774269982,1.0
1996-05-06,64.0,64.0,63.25,63.25,300.0,-0.01171875,1.0
1996-05-07,63.25,64.0,63.5,63.5,200.0,0.0039525691699604515,1.0
1996-05-08,63.5,63.6,63.6,63.6,100.0,0.0015748031496063408,1.0
1996-05-09,62.95,63.55,62.95,63.0,800.0,-0.009433962264150941,1.0
1996-05-10,63.0,63.0,60.5,61.0,4200.0,-0.031746031746031744,1.0
1996-05-13,61.0,62.0,61.05,61.5,400.0,0.008196721311475308,1.0
1996-05-14,61.5,64.0,61.5,62.0,500.0,0.008130081300812941,1.0
1996-05-15,62.0,63.9,62.05,63.9,800.0,0.030645161290322465,1.0
1996-05-16,63.9,63.5,63.0,63.3,1600.0,-0.009389671361502372,1.0
