Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,276.0,276.0,276.0,276.0,100.0,,1.0
1996-01-02,276.0,274.0,265.0,265.0,100.0,-0.03985507246376807,1.0
1996-01-05,265.0,265.0,265.0,265.0,50.0,0.0,1.0
1996-01-23,240.0,240.0,240.0,240.0,50.0,-0.09433962264150941,1.0
1996-01-24,235.0,235.0,235.0,235.0,100.0,-0.02083333333333337,1.0
1996-01-25,222.0,222.0,222.0,222.0,50.0,-0.05531914893617018,1.0
1996-01-29,222.0,200.0,200.0,200.0,50.0,-0.09909909909909909,1.0
1996-02-14,180.0,180.0,180.0,180.0,50.0,-0.09999999999999998,1.0
1996-02-15,198.0,198.0,198.0,198.0,100.0,0.10000000000000009,1.0
1996-02-16,198.0,196.0,195.0,195.0,150.0,-0.015151515151515138,1.0
1996-02-19,200.0,200.0,200.0,200.0,50.0,0.02564102564102555,1.0
1996-02-26,200.0,200.0,195.0,195.0,100.0,-0.025000000000000022,1.0
1996-02-27,195.0,210.0,200.0,210.0,100.0,0.07692307692307687,1.0
1996-02-29,200.0,215.0,200.0,215.0,250.0,0.023809523809523725,1.0
1996-03-01,210.0,212.0,210.0,211.0,200.0,-0.018604651162790753,1.0
1996-03-06,210.0,210.0,210.0,210.0,50.0,-0.004739336492891044,1.0
1996-03-07,209.0,210.0,209.0,209.5,200.0,-0.0023809523809523725,1.0
1996-03-08,214.7,215.0,214.0,215.0,550.0,0.026252983293556076,1.0
1996-03-11,220.0,220.0,220.0,220.0,50.0,0.023255813953488413,1.0
1996-03-12,220.0,225.0,225.0,225.0,100.0,0.022727272727272707,1.0
1996-03-13,225.0,247.5,247.5,247.5,100.0,0.10000000000000009,1.0
1996-03-15,245.0,245.0,235.25,236.4,150.0,-0.044848484848484804,1.0
1996-03-19,240.0,245.0,240.0,245.0,300.0,0.03637901861252102,1.0
1996-03-25,240.0,240.0,240.0,240.0,100.0,-0.020408163265306145,1.0
1996-03-26,260.0,264.5,252.25,262.0,2350.0,0.09166666666666656,1.0
1996-03-27,269.0,287.0,269.0,287.0,200.0,0.09541984732824438,1.0
1996-03-28,287.0,287.0,287.0,287.0,50.0,0.0,1.0
1996-03-29,287.0,310.0,290.0,310.0,500.0,0.08013937282229966,1.0
1996-04-01,311.0,313.0,310.0,312.0,400.0,0.006451612903225712,1.0
1996-04-02,290.0,295.0,279.5,280.0,650.0,-0.10256410256410253,1.0
1996-04-03,290.0,290.0,255.0,285.0,6550.0,0.017857142857142794,1.0
1996-04-04,275.0,275.0,270.0,270.0,100.0,-0.052631578947368474,1.0
1996-04-08,275.0,290.0,275.0,275.0,200.0,0.0185185185185186,1.0
1996-04-09,275.0,282.75,267.25,267.25,350.0,-0.028181818181818197,1.0
1996-04-10,267.25,280.0,275.0,280.0,650.0,0.04770813844714694,1.0
1996-04-11,290.0,290.0,290.0,290.0,50.0,0.03571428571428581,1.0
1996-04-12,288.0,289.9,285.0,285.0,200.0,-0.017241379310344862,1.0
1996-04-16,275.0,275.0,275.0,275.0,50.0,-0.03508771929824561,1.0
1996-04-23,260.0,260.0,260.0,260.0,50.0,-0.054545454545454564,1.0
1996-04-24,280.0,280.0,279.0,280.0,200.0,0.07692307692307687,1.0
1996-04-25,280.0,280.0,280.0,280.0,150.0,0.0,1.0
1996-04-26,290.0,295.0,290.0,291.0,250.0,0.03928571428571437,1.0
1996-04-29,293.0,295.0,290.0,290.7,400.0,-0.0010309278350515427,1.0
1996-04-30,295.0,295.0,293.0,293.0,500.0,0.007911936704506406,1.0
1996-05-01,293.0,296.0,290.0,296.0,1000.0,0.010238907849829282,1.0
1996-05-02,295.0,297.0,290.0,295.0,1000.0,-0.0033783783783783994,1.0
1996-05-03,295.0,276.0,276.0,276.0,100.0,-0.06440677966101693,1.0
1996-05-06,270.0,270.0,250.0,250.0,250.0,-0.09420289855072461,1.0
1996-05-07,250.0,250.0,235.0,235.0,150.0,-0.06000000000000005,1.0
1996-05-08,230.0,230.0,212.0,230.0,150.0,-0.021276595744680882,1.0
1996-05-09,230.0,225.0,225.0,225.0,100.0,-0.021739130434782594,1.0
1996-05-16,205.0,205.0,205.0,205.0,100.0,-0.0888888888888889,1.0
1996-05-20,190.0,190.0,185.0,185.0,150.0,-0.09756097560975607,1.0
1996-05-21,180.0,180.0,180.0,180.0,50.0,-0.027027027027026973,1.0
1996-05-22,180.0,180.0,180.0,180.0,50.0,0.0,1.0
1996-05-23,182.0,182.0,180.0,180.0,150.0,0.0,1.0
1996-05-24,179.0,179.0,179.0,179.0,100.0,-0.005555555555555536,1.0
1996-05-31,165.0,165.0,165.0,165.0,100.0,-0.07821229050279332,1.0
1996-06-04,169.0,169.0,169.0,169.0,300.0,0.024242424242424176,1.0
1996-06-07,155.0,155.0,155.0,155.0,100.0,-0.08284023668639051,1.0
1996-06-10,155.0,155.0,155.0,155.0,100.0,0.0,1.0
1996-06-11,158.0,158.0,150.0,150.0,250.0,-0.032258064516129004,1.0
1996-06-12,160.0,165.0,160.0,165.0,250.0,0.10000000000000009,1.0
1996-06-13,165.0,165.0,160.0,160.0,100.0,-0.030303030303030276,1.0
1996-06-17,162.0,162.95,160.0,160.0,450.0,0.0,1.0
1996-06-25,145.0,145.0,145.0,145.0,50.0,-0.09375,1.0
1996-06-27,138.0,138.0,138.0,138.0,50.0,-0.0482758620689655,1.0
1996-07-09,138.0,139.95,138.0,139.4,200.0,0.010144927536231974,1.0
1996-07-11,140.0,140.0,140.0,140.0,50.0,0.00430416068866557,1.0
1996-07-22,130.0,130.0,130.0,130.0,50.0,-0.0714285714285714,1.0
1996-07-23,123.0,123.0,123.0,123.0,100.0,-0.05384615384615388,1.0
1996-07-24,121.0,121.0,121.0,121.0,150.0,-0.016260162601625994,1.0
1996-08-08,120.0,120.0,120.0,120.0,50.0,-0.008264462809917328,1.0
1996-08-09,125.0,125.0,125.0,125.0,50.0,0.04166666666666674,1.0
1996-08-12,120.0,137.5,120.0,130.0,700.0,0.040000000000000036,1.0
1996-08-13,125.05,125.05,125.0,125.0,300.0,-0.038461538461538436,1.0
1996-08-14,134.2,134.25,118.0,118.0,850.0,-0.05600000000000005,1.0
1996-08-16,115.0,115.0,115.0,115.0,400.0,-0.025423728813559365,1.0
1996-08-20,108.0,108.0,108.0,108.0,50.0,-0.060869565217391286,1.0
1996-08-23,118.75,118.75,118.75,118.75,50.0,0.09953703703703698,1.0
1996-09-02,108.25,108.25,108.25,108.25,150.0,-0.08842105263157896,1.0
1996-09-03,112.0,112.0,112.0,112.0,50.0,0.03464203233256358,1.0
1996-09-04,121.95,122.0,121.95,122.0,500.0,0.08928571428571419,1.0
1996-09-05,118.0,118.0,118.0,118.0,50.0,-0.032786885245901676,1.0
1996-09-06,118.1,118.1,117.0,117.0,500.0,-0.008474576271186418,1.0
1996-09-10,107.1,107.1,107.1,107.1,100.0,-0.08461538461538465,1.0
