Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-08-22,270.0,270.0,270.0,270.0,100.0,,1.0
1996-08-23,250.0,250.0,250.0,250.0,50.0,-0.07407407407407407,1.0
1996-08-26,250.0,250.0,240.0,240.0,150.0,-0.040000000000000036,1.0
1996-08-27,245.0,250.0,245.0,250.0,150.0,0.04166666666666674,1.0
1996-08-29,245.0,248.0,240.0,246.0,500.0,-0.016000000000000014,1.0
1996-09-02,246.05,248.5,246.05,248.5,150.0,0.010162601626016343,1.0
1996-09-03,242.0,245.0,242.0,245.0,100.0,-0.014084507042253502,1.0
1996-09-04,239.0,240.0,238.0,240.0,200.0,-0.020408163265306145,1.0
1996-09-05,238.8,239.0,235.0,235.0,200.0,-0.02083333333333337,1.0
1996-09-10,239.0,240.0,239.0,240.0,100.0,0.02127659574468077,1.0
1996-09-11,239.0,239.5,239.0,239.5,100.0,-0.002083333333333326,1.0
1996-09-23,218.0,218.0,217.0,217.0,150.0,-0.09394572025052195,1.0
1996-09-25,217.0,217.0,217.0,217.0,100.0,0.0,1.0
1996-09-26,210.0,210.0,210.0,210.0,50.0,-0.032258064516129004,1.0
1996-09-27,210.0,210.0,210.0,210.0,100.0,0.0,1.0
1996-09-30,190.05,190.05,190.0,190.0,100.0,-0.09523809523809523,1.0
1996-10-01,183.5,198.0,183.5,190.75,100.0,0.003947368421052699,1.0
1996-10-03,209.0,209.0,209.0,209.0,50.0,0.09567496723460023,1.0
1996-10-07,209.0,209.0,189.0,189.0,150.0,-0.09569377990430628,1.0
1996-10-10,195.0,199.0,195.0,199.0,150.0,0.05291005291005302,1.0
1996-10-11,195.0,195.0,195.0,195.0,200.0,-0.02010050251256279,1.0
1996-10-14,195.0,195.0,195.0,195.0,50.0,0.0,1.0
1996-10-15,200.0,200.0,190.0,190.0,450.0,-0.02564102564102566,1.0
1996-10-16,196.0,196.0,192.0,192.0,200.0,0.010526315789473717,1.0
1996-10-17,206.0,206.0,188.5,189.25,200.0,-0.01432291666666663,1.0
