Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,48.0,48.0,48.0,48.0,500.0,,1.0
1996-01-02,48.0,52.5,47.0,49.65,800.0,0.034375000000000044,1.0
1996-01-03,49.65,49.0,48.0,48.0,300.0,-0.033232628398791486,1.0
1996-01-04,48.0,48.0,47.95,47.95,800.0,-0.0010416666666666075,1.0
1996-01-05,47.75,50.0,47.75,48.7,1400.0,0.01564129301355588,1.0
1996-01-08,48.7,50.0,48.0,49.5,1200.0,0.01642710472279263,1.0
1996-01-09,48.0,48.0,47.95,47.95,300.0,-0.03131313131313129,1.0
1996-01-10,45.5,47.5,45.5,47.25,400.0,-0.014598540145985495,1.0
1996-01-12,47.25,47.0,44.5,47.0,300.0,-0.005291005291005346,1.0
1996-01-15,47.0,47.0,46.5,47.0,1100.0,0.0,1.0
1996-01-16,46.9,46.9,46.9,46.9,100.0,-0.0021276595744681437,1.0
1996-01-17,46.9,45.0,45.0,45.0,100.0,-0.04051172707889128,1.0
1996-01-18,42.0,43.0,42.0,43.0,400.0,-0.0444444444444444,1.0
1996-01-19,42.0,43.5,42.0,42.6,1400.0,-0.009302325581395321,1.0
1996-01-22,42.6,43.25,41.5,43.25,800.0,0.015258215962441257,1.0
1996-01-23,43.25,43.25,43.0,43.0,1800.0,-0.005780346820809301,1.0
1996-01-24,40.0,41.0,40.0,41.0,300.0,-0.046511627906976716,1.0
1996-01-31,41.0,44.95,44.55,44.95,700.0,0.09634146341463423,1.0
1996-02-01,44.95,48.9,45.5,48.9,700.0,0.08787541713014457,1.0
1996-02-02,48.9,52.0,48.5,52.0,900.0,0.0633946830265848,1.0
1996-02-05,53.5,53.5,49.0,50.0,1300.0,-0.038461538461538436,1.0
1996-02-06,50.0,50.95,50.0,50.95,15700.0,0.019000000000000128,1.0
1996-02-07,50.95,49.95,49.0,49.95,1300.0,-0.01962708537782143,1.0
1996-02-09,49.0,49.0,48.0,48.0,500.0,-0.03903903903903905,1.0
1996-02-12,48.0,49.5,49.5,49.5,100.0,0.03125,1.0
1996-02-13,49.5,54.0,49.0,53.8,900.0,0.08686868686868676,1.0
1996-02-14,55.0,55.0,52.0,53.0,300.0,-0.014869888475836368,1.0
1996-02-15,51.0,53.0,51.0,53.0,600.0,0.0,1.0
1996-02-16,52.0,52.0,49.0,49.0,700.0,-0.07547169811320753,1.0
1996-02-19,48.5,48.5,48.5,48.5,200.0,-0.010204081632653073,1.0
1996-02-20,48.5,48.75,46.0,46.0,600.0,-0.05154639175257736,1.0
1996-02-22,48.5,48.5,46.0,47.0,800.0,0.021739130434782705,1.0
1996-02-23,46.0,49.0,46.0,49.0,600.0,0.042553191489361764,1.0
1996-02-26,49.0,50.0,48.5,50.0,900.0,0.020408163265306145,1.0
1996-02-27,50.0,51.0,49.5,49.5,400.0,-0.010000000000000009,1.0
1996-02-28,50.0,51.0,48.0,49.25,1600.0,-0.005050505050505083,1.0
1996-02-29,47.05,52.0,47.05,50.05,500.0,0.01624365482233503,1.0
1996-03-01,50.0,52.0,49.0,51.0,2100.0,0.018981018981019115,1.0
1996-03-04,51.0,52.5,49.3,52.5,1200.0,0.02941176470588225,1.0
1996-03-06,51.0,51.0,50.0,50.5,800.0,-0.03809523809523807,1.0
1996-03-07,50.75,50.75,50.5,50.5,900.0,0.0,1.0
1996-03-08,48.5,53.0,48.5,53.0,500.0,0.04950495049504955,1.0
1996-03-11,51.0,51.5,50.25,51.2,600.0,-0.03396226415094339,1.0
1996-03-12,51.2,50.5,50.0,50.0,700.0,-0.0234375,1.0
1996-03-13,50.0,50.0,50.0,50.0,200.0,0.0,1.0
1996-03-14,50.0,50.5,50.0,50.5,3800.0,0.010000000000000009,1.0
1996-03-15,51.0,51.0,49.5,50.0,8000.0,-0.00990099009900991,1.0
1996-03-18,50.0,51.0,48.0,49.0,1200.0,-0.020000000000000018,1.0
1996-03-19,49.0,49.0,46.0,46.4,1300.0,-0.053061224489796,1.0
1996-03-21,49.7,49.7,49.7,49.7,100.0,0.0711206896551726,1.0
1996-03-22,48.0,51.45,48.0,48.55,1300.0,-0.023138832997988024,1.0
1996-03-25,47.0,50.0,47.0,49.0,3600.0,0.009268795056642798,1.0
1996-03-26,49.0,48.0,46.25,46.25,600.0,-0.056122448979591844,1.0
