Date,Open,High,Low,Close,Volume,Returns,Anomaly
1996-01-01,120.0,120.85,119.05,120.5,3200.0,,1.0
1996-01-02,120.5,121.65,118.1,119.0,17000.0,-0.012448132780082943,1.0
1996-01-03,119.0,120.2,118.05,118.25,10100.0,-0.006302521008403339,1.0
1996-01-04,118.25,118.0,115.6,116.5,7500.0,-0.014799154334038,1.0
1996-01-05,116.5,119.0,115.0,118.8,10950.0,0.019742489270386132,1.0
1996-01-08,118.8,120.75,117.25,119.8,83350.0,0.008417508417508435,1.0
1996-01-09,119.8,122.5,117.0,121.55,30450.0,0.014607679465776346,1.0
1996-01-10,121.55,122.65,119.05,120.5,73800.0,-0.008638420403126235,1.0
1996-01-11,120.5,126.0,120.5,124.9,24250.0,0.036514522821576856,1.0
1996-01-12,124.9,127.75,125.0,127.4,119450.0,0.02001601281024823,1.0
1996-01-15,127.4,127.65,124.5,127.6,112050.0,0.0015698587127157548,1.0
1996-01-16,127.6,126.2,124.15,125.75,28850.0,-0.014498432601880884,1.0
1996-01-17,125.75,127.0,123.5,124.15,83750.0,-0.012723658051689846,1.0
1996-01-18,124.15,126.0,120.1,125.55,92600.0,0.011276681433749491,1.0
1996-01-19,123.05,126.85,123.05,126.05,120350.0,0.0039824771007566095,1.0
1996-01-22,127.0,127.0,124.15,124.3,18800.0,-0.0138833796112654,1.0
1996-01-23,124.3,126.0,123.5,125.75,21200.0,0.01166532582461799,1.0
1996-01-24,125.75,125.65,124.0,125.65,66800.0,-0.0007952286282305598,1.0
1996-01-25,125.65,126.0,124.5,125.0,30050.0,-0.005173099880620868,1.0
1996-01-29,125.0,127.5,124.05,127.0,33550.0,0.016000000000000014,1.0
1996-01-30,127.0,129.0,126.3,127.65,68050.0,0.005118110236220552,1.0
1996-01-31,127.65,129.0,125.55,128.0,114650.0,0.0027418723070895545,1.0
1996-02-01,128.0,130.0,127.5,129.45,51650.0,0.011328124999999911,1.0
1996-02-02,129.45,138.5,132.0,137.05,189400.0,0.05870992661259189,1.0
1996-02-05,137.05,141.0,134.8,136.05,236000.0,-0.00729660707770885,1.0
1996-02-06,136.05,138.7,133.05,135.85,93350.0,-0.0014700477765529074,1.0
1996-02-07,135.85,139.0,134.0,135.9,25950.0,0.0003680529996319404,1.0
1996-02-08,135.9,148.9,137.0,145.6,76750.0,0.07137601177336261,1.0
1996-02-09,145.6,148.75,142.0,146.75,49250.0,0.007898351648351731,1.0
1996-02-12,146.75,151.0,142.0,146.1,99000.0,-0.004429301533219854,1.0
1996-02-13,146.1,151.0,144.5,150.0,79900.0,0.026694045174538106,1.0
1996-02-14,150.0,162.0,152.0,158.6,96600.0,0.057333333333333236,1.0
1996-02-15,158.6,162.0,155.05,157.75,130700.0,-0.005359394703656983,1.0
1996-02-16,157.75,158.0,152.0,152.7,42900.0,-0.03201267828843113,1.0
1996-02-19,152.7,157.25,150.3,151.4,31850.0,-0.008513425016371867,1.0
1996-02-20,151.4,155.2,150.5,153.2,116350.0,0.011889035667106862,1.0
1996-02-22,153.2,155.25,152.5,154.85,27350.0,0.010770234986945182,1.0
1996-02-23,154.85,160.0,154.0,156.35,47800.0,0.009686793671294769,1.0
1996-02-26,156.35,157.45,152.95,153.35,21150.0,-0.01918771985929002,1.0
1996-02-27,153.35,154.5,150.0,151.25,48000.0,-0.013694163677861027,1.0
1996-02-28,151.25,157.5,148.05,155.25,65750.0,0.026446280991735627,1.0
