Date,Open,High,Low,Close,Volume,Returns,Anomaly
2012-05-23,116.0,122.0,110.0,117.55,103993.0,,1.0
2012-05-24,117.5,118.0,115.65,117.0,34185.0,-0.004678860059549095,1.0
2012-05-25,117.9,117.9,115.0,116.45,25050.0,-0.004700854700854684,1.0
2012-05-28,115.65,122.0,115.65,118.65,29046.0,0.01889222842421634,1.0
2012-05-29,118.55,120.95,115.35,116.55,11267.0,-0.017699115044247815,1.0
2012-05-30,117.0,117.0,114.5,114.75,5577.0,-0.015444015444015413,1.0
2012-05-31,114.05,116.5,110.1,112.25,18043.0,-0.02178649237472763,1.0
2012-06-01,107.0,112.8,105.05,107.2,18974.0,-0.044988864142539,1.0
2012-06-04,109.9,109.9,103.55,105.9,7819.0,-0.012126865671641784,1.0
2012-06-05,106.05,116.0,106.05,109.9,47829.0,0.037771482530689404,1.0
2012-06-06,112.45,116.9,110.65,113.65,70017.0,0.034121929026387665,1.0
2012-06-07,115.9,115.95,110.2,112.4,29957.0,-0.010998680158381013,1.0
2012-06-08,114.0,114.0,108.95,109.95,25423.0,-0.02179715302491103,1.0
2012-06-11,110.0,110.95,108.0,110.0,13880.0,0.00045475216007262453,1.0
2012-06-12,108.05,111.3,107.0,110.65,9305.0,0.005909090909090864,1.0
2012-06-13,110.0,114.4,109.0,110.2,13064.0,-0.004066877541798464,1.0
2012-06-14,110.5,110.5,107.05,107.75,6977.0,-0.022232304900181465,1.0
2012-06-15,109.95,109.95,108.0,108.05,3584.0,0.0027842227378189754,1.0
2012-06-18,111.5,111.9,108.15,108.5,12543.0,0.004164738546968971,1.0
2012-06-19,111.75,111.75,106.5,107.1,9267.0,-0.012903225806451646,1.0
2012-06-20,108.0,109.5,107.9,108.8,4600.0,0.015873015873015817,1.0
2012-06-21,108.0,110.5,108.0,109.05,3707.0,0.0022977941176469674,1.0
2012-06-22,109.85,110.0,108.0,108.95,19373.0,-0.0009170105456212108,1.0
2012-06-25,109.95,110.5,108.0,108.15,43900.0,-0.007342817806333168,1.0
2012-06-26,104.35,109.4,104.35,108.0,9126.0,-0.001386962552011095,1.0
2012-06-27,109.0,109.75,107.4,107.65,3584.0,-0.003240740740740655,1.0
2012-06-28,108.7,112.0,106.05,107.5,35239.0,-0.0013934045517882687,1.0
2012-06-29,107.55,111.0,103.0,107.3,17706.0,-0.0018604651162791308,1.0
2012-07-02,107.0,119.0,105.55,113.55,299013.0,0.058247903075489216,1.0
2012-07-03,114.75,118.5,113.0,113.5,70011.0,-0.00044033465433723773,1.0
2012-07-04,112.25,115.0,111.1,111.5,20956.0,-0.017621145374449365,1.0
2012-07-05,113.0,116.0,110.05,114.45,37303.0,0.026457399103138934,1.0
2012-07-06,113.95,120.95,113.0,119.35,288341.0,0.04281345565749217,1.0
2012-07-09,114.4,117.1,108.0,111.7,384638.0,-0.06409719312945117,1.0
2012-07-10,112.0,116.5,111.55,112.05,144093.0,0.003133393017009878,1.0
