Date,Open,High,Low,Close,Volume,Returns,Anomaly
2002-01-22,26.5,26.5,26.5,26.5,100.0,,1.0
2002-01-23,24.0,24.0,24.0,24.0,50.0,-0.09433962264150941,1.0
2002-01-24,24.0,24.0,24.0,24.0,100.0,0.0,1.0
2002-01-28,25.0,25.0,25.0,25.0,20.0,0.04166666666666674,1.0
2002-01-29,25.0,25.0,25.0,25.0,100.0,0.0,1.0
2002-01-30,25.0,25.5,25.0,25.05,252.0,0.0020000000000000018,1.0
2002-01-31,24.0,26.5,24.0,26.5,267.0,0.05788423153692612,1.0
2002-02-01,29.0,29.0,24.0,24.0,46.0,-0.09433962264150941,1.0
2002-02-04,25.0,25.0,25.0,25.0,850.0,0.04166666666666674,1.0
2002-02-05,25.1,25.1,25.1,25.1,556.0,0.0040000000000000036,1.0
2002-02-06,20.15,30.0,20.1,24.5,9760.0,-0.02390438247011961,1.0
2002-02-07,25.5,25.5,23.6,24.0,10469.0,-0.020408163265306145,1.0
2002-02-08,24.05,24.05,24.0,24.0,5000.0,0.0,1.0
2002-02-11,24.0,25.0,23.0,23.85,15002.0,-0.006249999999999978,1.0
2002-02-13,23.3,23.3,23.3,23.3,132.0,-0.023060796645702375,1.0
2002-02-14,25.0,25.0,23.3,24.0,552.0,0.030042918454935563,1.0
2002-02-15,24.9,24.9,24.9,24.9,687.0,0.03749999999999987,1.0
2002-02-22,26.0,26.9,24.55,26.9,400.0,0.08032128514056236,1.0
2002-02-26,27.0,28.1,27.0,28.1,337.0,0.04460966542750944,1.0
2002-02-27,25.75,25.75,25.75,25.75,2000.0,-0.08362989323843417,1.0
2002-02-28,25.0,26.0,25.0,26.0,167.0,0.009708737864077666,1.0
2002-03-01,23.5,24.05,23.5,24.05,1737.0,-0.07499999999999996,1.0
2002-03-04,25.0,25.0,25.0,25.0,50.0,0.03950103950103956,1.0
2002-03-05,21.55,27.2,21.5,25.5,1454.0,0.020000000000000018,1.0
2002-03-06,22.5,23.3,22.5,23.3,700.0,-0.0862745098039216,1.0
2002-03-07,26.95,26.95,24.5,24.5,66.0,0.05150214592274671,1.0
2002-03-08,24.5,24.5,24.5,24.5,68.0,0.0,1.0
2002-03-11,25.0,25.0,25.0,25.0,68.0,0.020408163265306145,1.0
2002-03-12,24.0,25.0,24.0,25.0,1134.0,0.0,1.0
2002-03-15,25.0,25.0,25.0,25.0,1000.0,0.0,1.0
2002-03-18,24.05,25.5,24.05,24.5,296.0,-0.020000000000000018,1.0
2002-03-19,24.0,25.25,24.0,24.85,776.0,0.014285714285714235,1.0
2002-03-20,24.0,24.0,24.0,24.0,267.0,-0.03420523138832998,1.0
2002-03-21,24.5,24.5,24.0,24.0,166.0,0.0,1.0
2002-03-22,25.8,25.9,25.8,25.85,10.0,0.07708333333333339,1.0
2002-03-26,25.0,25.0,23.25,23.25,1033.0,-0.10058027079303677,1.0
2002-03-28,26.0,26.0,26.0,26.0,500.0,0.11827956989247301,1.0
2002-04-03,24.0,25.0,24.0,25.0,100.0,-0.038461538461538436,1.0
2002-04-05,25.5,27.0,25.5,27.0,1051.0,0.08000000000000007,1.0
2002-04-09,25.25,25.4,25.25,25.4,275.0,-0.059259259259259345,1.0
2002-04-10,28.5,28.5,28.5,28.5,400.0,0.1220472440944882,1.0
2002-04-11,25.1,27.8,25.1,27.8,128.0,-0.024561403508771895,1.0
2002-04-12,28.4,28.5,28.4,28.5,533.0,0.02517985611510798,1.0
2002-04-15,25.7,25.7,25.7,25.7,34.0,-0.09824561403508769,1.0
2002-04-16,26.0,26.0,24.0,24.0,2770.0,-0.06614785992217898,1.0
2002-04-17,25.25,25.25,25.15,25.2,300.0,0.050000000000000044,1.0
2002-04-18,25.25,25.25,25.15,25.15,134.0,-0.001984126984126977,1.0
2002-04-19,25.25,25.25,25.2,25.2,134.0,0.001988071570576677,1.0
2002-04-22,25.0,25.05,25.0,25.05,201.0,-0.005952380952380931,1.0
2002-04-23,24.5,24.5,24.5,24.5,4.0,-0.021956087824351322,1.0
2002-04-24,28.0,29.4,28.0,29.4,3354.0,0.19999999999999996,1.0
2002-04-25,32.9,32.95,28.3,30.25,2588.0,0.028911564625850428,1.0
2002-04-26,28.5,32.0,28.5,30.9,1101.0,0.02148760330578514,1.0
2002-04-29,30.0,34.0,30.0,31.0,1234.0,0.003236245954692629,1.0
2002-04-30,29.5,33.25,29.5,31.25,983.0,0.008064516129032251,1.0
2002-05-02,30.1,31.75,29.1,29.3,316.0,-0.06240000000000001,1.0
2002-05-03,27.6,27.6,27.6,27.6,68.0,-0.058020477815699634,1.0
2002-05-06,27.5,27.55,26.5,27.55,58.0,-0.0018115942028985588,1.0
2002-05-07,31.4,31.4,28.25,28.25,231.0,0.025408348457350183,1.0
2002-05-08,27.75,29.75,27.55,29.75,73.0,0.053097345132743445,1.0
2002-05-09,27.15,29.65,27.15,27.95,638.0,-0.060504201680672276,1.0
2002-05-10,27.0,28.5,27.0,28.35,218.0,0.014311270125223707,1.0
2002-05-13,26.7,27.4,25.75,27.35,944.0,-0.03527336860670194,1.0
2002-05-14,26.0,27.5,26.0,27.5,186.0,0.005484460694698212,1.0
2002-05-15,27.1,27.25,27.1,27.1,674.0,-0.014545454545454528,1.0
2002-05-16,26.15,27.75,26.1,27.75,927.0,0.023985239852398532,1.0
2002-05-17,27.0,28.3,25.0,26.0,1911.0,-0.06306306306306309,1.0
2002-05-20,25.15,25.15,25.05,25.15,2050.0,-0.0326923076923078,1.0
2002-05-21,24.75,24.8,24.75,24.8,179.0,-0.013916500994035741,1.0
2002-05-22,27.05,27.1,26.5,26.5,626.0,0.06854838709677424,1.0
2002-05-23,25.0,25.0,25.0,25.0,1.0,-0.05660377358490565,1.0
2002-05-24,26.8,26.8,26.8,26.8,30.0,0.07200000000000006,1.0
2002-05-27,29.0,29.5,27.2,29.4,995.0,0.09701492537313428,1.0
2002-05-28,28.0,28.0,27.35,27.35,436.0,-0.0697278911564625,1.0
