Date,Open,High,Low,Close,Volume,Returns,Anomaly
2018-12-18,264.0,274.45,252.9,260.2,132419.0,,1.0
2018-12-19,263.0,267.0,260.5,261.6,43171.0,0.005380476556495095,1.0
2018-12-20,261.5,261.5,254.75,258.15,104473.0,-0.01318807339449557,1.0
2018-12-21,258.5,259.7,255.65,258.0,38311.0,-0.0005810575246948391,1.0
2018-12-24,260.85,265.0,260.85,261.85,55392.0,0.01492248062015511,1.0
2018-12-26,264.0,264.0,254.5,255.15,77811.0,-0.025587168226083645,1.0
2018-12-27,256.05,260.0,255.2,259.1,28397.0,0.015481089555163585,1.0
2018-12-28,259.95,260.0,256.4,259.85,45026.0,0.0028946352759551264,1.0
2018-12-31,260.0,275.0,260.0,264.3,107921.0,0.017125264575716725,1.0
2019-01-01,266.5,266.5,260.75,261.65,81585.0,-0.010026485054862033,1.0
2019-01-02,252.05,252.05,237.35,247.7,99617.0,-0.05331549780240774,1.0
2019-01-03,237.5,249.0,237.5,241.85,15318.0,-0.023617278966491684,1.0
2019-01-04,240.0,242.8,238.25,240.0,51454.0,-0.00764936944387018,1.0
2019-01-07,243.45,252.3,240.0,248.1,45525.0,0.03374999999999995,1.0
2019-01-08,246.0,246.0,240.1,245.0,6674.0,-0.01249496170898834,1.0
2019-01-09,242.1,245.5,240.95,245.0,8169.0,0.0,1.0
2019-01-10,248.95,248.95,241.15,245.0,4051.0,0.0,1.0
2019-01-11,243.05,249.85,240.6,241.75,5149.0,-0.013265306122449028,1.0
2019-01-14,242.45,247.4,240.6,243.55,19059.0,0.007445708376421889,1.0
2019-01-15,242.15,244.9,242.1,244.0,25730.0,0.0018476698829807958,1.0
2019-01-16,249.75,257.95,243.0,253.3,14398.0,0.038114754098360626,1.0
2019-01-17,254.75,260.0,246.05,247.1,67942.0,-0.02447690485590215,1.0
2019-01-18,245.3,249.55,242.75,245.5,14431.0,-0.006475111290975333,1.0
2019-01-21,244.05,248.0,243.5,246.6,8357.0,0.004480651731160856,1.0
2019-01-22,245.8,249.0,244.05,246.55,9447.0,-0.000202757502027473,1.0
2019-01-23,244.55,252.0,244.5,249.95,7949.0,0.013790306225917481,1.0
2019-01-24,248.0,254.3,246.0,251.95,6860.0,0.008001600320064028,1.0
2019-01-25,250.05,260.0,245.45,249.95,105061.0,-0.00793808295296683,1.0
2019-01-28,243.1,248.15,243.1,243.65,12448.0,-0.025205041008201534,1.0
2019-01-29,243.0,244.9,242.1,243.05,4063.0,-0.002462548737943715,1.0
2019-01-30,245.0,255.1,236.2,237.7,5155.0,-0.022011931701296117,1.0
2019-01-31,239.65,247.9,234.4,240.9,256928.0,0.01346234749684494,1.0
2019-02-01,244.25,244.3,235.0,237.3,7399.0,-0.01494396014943955,1.0
2019-02-04,237.55,240.75,235.0,235.2,4704.0,-0.008849557522124019,1.0
2019-02-05,241.05,241.05,234.5,235.1,9423.0,-0.00042517006802722523,1.0
2019-02-06,243.9,243.9,220.2,228.5,37410.0,-0.02807316035729479,1.0
2019-02-07,231.8,236.0,225.05,227.95,4186.0,-0.0024070021881839043,1.0
2019-02-08,229.95,234.5,222.35,232.15,7768.0,0.018425093222197875,1.0
2019-02-11,230.0,230.0,223.1,226.25,19510.0,-0.025414602627611527,1.0
2019-02-12,225.05,231.0,219.05,221.15,32648.0,-0.02254143646408835,1.0
2019-02-13,223.4,223.9,218.0,221.65,9084.0,0.002260908885372004,1.0
2019-02-14,221.05,232.0,215.85,229.0,10217.0,0.033160387999097596,1.0
2019-02-15,231.95,241.0,219.5,236.9,33770.0,0.03449781659388651,1.0
2019-02-18,235.05,253.5,235.05,250.9,337524.0,0.05909666525960322,1.0
2019-02-19,250.2,250.2,242.3,246.85,15467.0,-0.01614188919888404,1.0
2019-02-20,245.05,255.85,245.05,253.7,9532.0,0.027749645533724943,1.0
2019-02-21,252.05,266.35,250.0,262.6,224502.0,0.03508080409933001,1.0
2019-02-22,263.15,270.0,256.9,267.75,26275.0,0.019611576542269527,1.0
2019-02-25,264.0,268.95,259.05,265.65,343363.0,-0.007843137254902044,1.0
2019-02-26,253.0,260.5,247.0,249.8,19997.0,-0.059664972708450836,1.0
2019-02-27,253.0,253.0,244.3,245.35,46760.0,-0.017814251401120917,1.0
2019-02-28,249.0,249.0,233.55,233.95,16834.0,-0.04646423476665995,1.0
2019-03-01,241.875,241.875,228.15,232.225,28211.0,-0.02817197992628534,1.0
2019-03-05,234.75,234.75,222.75,230.5,39588.0,-0.009879725085910729,1.0
2019-03-06,230.9,236.9,228.25,235.15,41129.0,0.02017353579175718,1.0
2019-03-07,236.0,236.9,231.1,233.65,69047.0,-0.00637890708058686,1.0
2019-03-08,233.0,234.85,229.0,233.8,7944.0,0.0006419858763107023,1.0
2019-03-11,233.9,237.4,231.0,236.0,196221.0,0.009409751924722043,1.0
2019-03-12,236.8,238.0,233.0,236.95,215777.0,0.0040254237288135375,1.0
2019-03-13,236.5,247.9,231.35,243.1,12347.0,0.025954842793838306,1.0
