Date,Open,High,Low,Close,Volume,Returns,Anomaly
2011-10-14,,,,,,,
2011-10-17,,,,,,,
2011-10-18,,,,,,,
2011-10-19,,,,,,,
2011-10-20,,,,,,,
2011-10-21,,,,,,,
2011-10-24,,,,,,,
2011-10-24,,,,,,,
2011-10-25,,,,,,,
2011-10-26,12.9,13.9,12.9,13.55,113247.0,0.011194029850746245,1.0
2011-10-28,13.55,14.25,13.35,13.55,400702.0,0.0,1.0
2011-10-31,13.15,13.6,13.15,13.25,192942.0,-0.022140221402214055,1.0
2011-11-01,13.0,13.1,12.1,12.25,383266.0,-0.07547169811320753,1.0
2011-11-02,12.683333333333334,12.883333333333333,11.983333333333333,12.25,333072.0,-0.04478196195099038,1.0
2011-11-03,12.366666666666667,12.666666666666666,11.866666666666667,12.25,282878.0,-0.014092225788773227,1.0
2011-11-04,12.05,12.45,11.75,12.25,232684.0,0.016597510373443924,1.0
2011-11-08,12.0,12.95,12.0,12.8,298333.0,0.044897959183673564,1.0
2011-11-09,13.450000000000001,14.083333333333334,13.450000000000001,13.983333333333334,233792.33333333334,0.04708095456832262,1.0
2011-11-11,14.9,15.216666666666667,14.9,15.166666666666668,169251.6666666667,0.049263949952971675,1.0
2011-11-14,16.35,16.35,16.35,16.35,104711.0,0.05144694533762073,1.0
2011-11-15,17.2,17.2,15.55,15.55,64573.0,-0.04892966360856277,1.0
2011-11-16,14.8,14.8,14.8,14.8,53977.0,-0.048231511254019255,1.0
2011-11-17,14.1,14.7,14.1,14.15,191746.0,-0.04391891891891897,1.0
2011-11-18,13.5,14.4,13.45,14.25,237017.0,0.007067137809187329,1.0
2011-11-21,14.15,14.45,13.85,14.0,220907.0,-0.01754385964912286,1.0
2011-11-22,14.0,14.3,13.3,13.8,107308.0,-0.014285714285714235,1.0
2011-11-23,13.9,13.9,13.15,13.15,57877.0,-0.047101449275362306,1.0
2011-11-24,12.6,12.95,12.5,12.55,74331.0,-0.04562737642585546,1.0
2011-11-25,12.0,13.2,12.0,13.2,104267.0,0.05179282868525892,1.0
2011-11-28,13.25,13.8,12.9,13.0,69818.0,-0.015151515151515138,1.0
2011-11-29,12.75,13.35,12.6,12.95,147336.0,-0.0038461538461539435,1.0
2011-11-30,12.5,12.65,12.3,12.3,39173.0,-0.05019305019305009,1.0
2011-12-01,12.8,12.8,12.1,12.5,61705.0,0.016260162601625883,1.0
2011-12-02,12.15,12.7,12.1,12.35,38934.0,-0.01200000000000001,1.0
2011-12-05,12.0,12.55,12.0,12.25,37965.0,-0.0080971659919028,1.0
2011-12-07,12.0,12.5,11.7,12.0,51753.0,-0.020408163265306145,1.0
2011-12-08,12.0,12.6,11.45,11.65,67887.0,-0.029166666666666674,1.0
2011-12-09,11.15,12.15,11.15,11.85,56785.0,0.01716738197424883,1.0
2011-12-12,12.2,12.4,11.4,11.65,70242.0,-0.016877637130801593,1.0
2011-12-13,11.6,11.8,11.1,11.1,52520.0,-0.047210300429184615,1.0
2011-12-14,11.5,11.5,10.55,10.7,45792.0,-0.03603603603603611,1.0
2011-12-15,10.7,10.75,10.25,10.3,42518.0,-0.03738317757009335,1.0
2011-12-16,10.25,10.5,9.8,9.8,37700.0,-0.04854368932038833,1.0
2011-12-19,10.2,10.25,9.35,10.25,87968.0,0.04591836734693877,1.0
2011-12-20,10.0,10.65,9.75,10.55,88564.0,0.029268292682926855,1.0
2011-12-21,10.2,10.8,10.2,10.75,51520.0,0.018957345971563955,1.0
2011-12-22,10.45,10.75,10.35,10.6,23309.0,-0.013953488372093092,1.0
2011-12-23,10.2,10.8,10.2,10.4,24694.0,-0.01886792452830177,1.0
2011-12-26,10.1,10.8,10.1,10.35,22719.0,-0.004807692307692402,1.0
2011-12-27,10.25,10.6,10.2,10.3,21089.0,-0.004830917874396046,1.0
2011-12-28,10.05,10.5,10.05,10.25,29757.0,-0.004854368932038944,1.0
2011-12-29,9.9,9.9,9.75,9.75,23798.0,-0.04878048780487809,1.0
2011-12-30,9.3,10.0,9.3,9.3,106631.0,-0.0461538461538461,1.0
2012-01-02,8.85,9.25,8.85,8.85,16910.0,-0.048387096774193616,1.0
2012-01-03,8.5,8.85,8.45,8.45,91285.0,-0.04519774011299438,1.0
2012-01-04,8.15,8.6,8.1,8.35,22989.0,-0.011834319526627168,1.0
2012-01-05,8.2,8.5,8.1,8.35,30148.0,0.0,1.0
2012-01-06,8.25,8.6,8.1,8.3,32037.0,-0.0059880239520956335,1.0
2012-01-07,8.2,8.55,8.2,8.4,5228.0,0.012048192771084265,1.0
2012-01-09,8.7,8.7,8.15,8.4,29979.0,0.0,1.0
2012-01-10,8.35,8.7,8.3,8.55,36193.0,0.017857142857142794,1.0
2012-01-11,8.3,8.95,8.3,8.95,31356.0,0.04678362573099393,1.0
2012-01-12,9.0,9.4,8.95,9.4,46491.0,0.05027932960893877,1.0
2012-01-13,9.1,9.85,9.0,9.65,37087.0,0.02659574468085113,1.0
2012-01-16,9.4,9.95,9.25,9.9,55673.0,0.02590673575129543,1.0
2012-01-17,9.8,10.4,9.55,10.1,54904.0,0.02020202020202011,1.0
2012-01-18,10.0,10.4,9.6,9.6,31969.0,-0.04950495049504955,1.0
2012-01-19,9.7,9.7,9.15,9.35,29256.0,-0.02604166666666663,1.0
2012-01-20,9.15,9.5,8.9,9.1,25458.0,-0.0267379679144385,1.0
2012-01-23,9.0,9.35,8.85,8.9,37467.0,-0.0219780219780219,1.0
2012-01-24,8.8,8.95,8.65,8.8,27909.0,-0.011235955056179692,1.0
2012-01-25,9.0,9.0,8.7,8.8,19515.0,0.0,1.0
2012-01-27,9.0,9.2,8.4,8.8,54449.0,0.0,1.0
2012-01-30,8.6,9.1,8.5,8.6,26211.0,-0.022727272727272818,1.0
2012-01-31,8.55,9.0,8.5,8.95,36699.0,0.0406976744186045,1.0
2012-02-01,8.75,9.05,8.75,8.95,20825.0,0.0,1.0
2012-02-02,8.8,9.25,8.8,9.1,38490.0,0.016759776536312998,1.0
2012-02-03,8.85,9.05,8.75,8.95,26612.0,-0.016483516483516536,1.0
2012-02-06,9.25,9.3,8.9,8.95,49459.0,0.0,1.0
2012-02-07,9.0,9.15,8.6,8.95,75703.0,0.0,1.0
2012-02-08,9.0,9.0,8.7,8.7,37180.0,-0.027932960893854775,1.0
2012-02-09,8.7,9.0,8.5,8.8,63917.0,0.011494252873563315,1.0
2012-02-10,8.8,8.95,8.7,8.85,29432.0,0.005681818181818121,1.0
2012-02-13,9.0,9.25,8.8,9.25,72624.0,0.04519774011299438,1.0
2012-02-14,9.0,9.7,9.0,9.7,51837.0,0.048648648648648596,1.0
2012-02-15,10.1,10.15,9.7,9.95,106313.0,0.025773195876288568,1.0
2012-02-16,10.35,10.4,9.5,9.7,50618.0,-0.025125628140703515,1.0
2012-02-17,9.7,10.0,9.5,9.55,33282.0,-0.01546391752577303,1.0
2012-02-21,9.5,9.85,9.2,9.4,32672.0,-0.015706806282722585,1.0
2012-02-22,9.4,9.75,8.95,9.0,20478.0,-0.042553191489361764,1.0
2012-02-23,8.65,9.1,8.65,8.85,15244.0,-0.01666666666666672,1.0
2012-02-24,9.1,9.2,8.6,8.8,31831.0,-0.005649717514124131,1.0
2012-02-27,8.55,8.75,8.4,8.5,15167.0,-0.03409090909090917,1.0
2012-02-28,8.25,8.9,8.25,8.9,22611.0,0.04705882352941182,1.0
2012-02-29,9.15,9.2,8.55,8.65,51665.0,-0.028089887640449396,1.0
2012-03-01,8.95,8.95,8.5,8.65,21866.0,0.0,1.0
2012-03-02,8.45,8.75,8.45,8.65,19534.0,0.0,1.0
2012-03-03,8.5,8.95,8.5,8.9,7601.0,0.028901734104046284,1.0
2012-03-05,8.7,8.95,8.5,8.5,14902.0,-0.0449438202247191,1.0
2012-03-06,8.3,8.5,8.2,8.25,26364.0,-0.02941176470588236,1.0
2012-03-07,8.05,8.6,7.9,8.05,16193.0,-0.024242424242424176,1.0
2012-03-09,8.5,8.55,8.0,8.4,31766.0,0.04347826086956519,1.0
2012-03-12,8.5,8.5,8.0,8.15,57472.0,-0.029761904761904767,1.0
2012-03-13,8.05,8.4,8.05,8.3,40212.0,0.01840490797546024,1.0
2012-03-14,8.15,8.45,8.0,8.05,27498.0,-0.030120481927710885,1.0
2012-03-15,8.2,8.35,8.05,8.1,28795.0,0.006211180124223503,1.0
2012-03-16,8.2,8.3,8.1,8.15,20873.0,0.006172839506172867,1.0
2012-03-19,8.45,8.45,7.95,7.95,14698.0,-0.024539877300613466,1.0
2012-03-20,8.0,8.1,7.7,7.85,20164.0,-0.012578616352201366,1.0
2012-03-21,7.85,7.9,7.65,7.85,23036.0,0.0,1.0
2012-03-22,7.7,8.0,7.7,7.85,14484.0,0.0,1.0
2012-03-23,7.85,7.85,7.25,7.65,74837.0,-0.02547770700636931,1.0
2012-03-26,7.8,7.8,7.2,7.4,11741.0,-0.0326797385620915,1.0
2012-03-27,7.0,7.65,7.0,7.05,30542.0,-0.04729729729729737,1.0
2012-03-28,7.4,7.4,6.55,6.6,163997.0,-0.06382978723404253,1.0
2012-03-29,6.5,6.95,6.0,6.75,27774.0,0.022727272727272707,1.0
2012-03-30,6.8,7.1,6.7,6.85,32538.0,0.014814814814814836,1.0
2012-04-02,7.25,7.5,6.2,7.5,58790.0,0.0948905109489051,1.0
2012-04-03,7.9,8.25,7.6,8.25,51909.0,0.10000000000000009,1.0
2012-04-04,8.75,8.75,7.8,8.4,57254.0,0.0181818181818183,1.0
2012-04-09,8.1,8.55,8.1,8.2,16008.0,-0.023809523809523947,1.0
2012-04-10,8.05,8.35,7.95,8.05,12485.0,-0.018292682926829062,1.0
2012-04-11,7.75,7.95,7.75,7.8,6898.0,-0.03105590062111807,1.0
2012-04-12,7.7,7.9,7.6,7.8,6598.0,0.0,1.0
